case_id,view,a0_a1_silhouette_iou,a1_a2_byte_equal
step_px100,front,1.0,True
step_px100,rear,1.0,True
step_px100,left,1.0,True
step_px100,right,1.0,True
step_px100,top,1.0,True
step_px100,isometric,1.0,True
step_rx150,front,1.0,True
step_rx150,rear,1.0,True
step_rx150,left,1.0,True
step_rx150,right,1.0,True
step_rx150,top,1.0,True
step_rx150,isometric,1.0,True
step_vx300s,front,1.0,True
step_vx300s,rear,1.0,True
step_vx300s,left,1.0,True
step_vx300s,right,1.0,True
step_vx300s,top,1.0,True
step_vx300s,isometric,1.0,True
step_wx200,front,1.0,True
step_wx200,rear,1.0,True
step_wx200,left,1.0,True
step_wx200,right,1.0,True
step_wx200,top,1.0,True
step_wx200,isometric,1.0,True
step_wx250s,front,1.0,True
step_wx250s,rear,1.0,True
step_wx250s,left,1.0,True
step_wx250s,right,1.0,True
step_wx250s,top,1.0,True
step_wx250s,isometric,1.0,True
