replicate,case_id,condition,status,component_id,matched_region_id,reported_component_id,identity_correct,best_view_bbox_iou,recall_at_0_5,mean_target_purity,blank_crop
replicate_01,step_px100,A0_controlled,SUCCESS,C00,R00,C00,1,0.5175485875527097,1,0.6608235961753387,0.0
replicate_01,step_px100,A0_controlled,SUCCESS,C01,R01,C01,1,0.6228724992535088,1,0.5627877720997035,0.0
replicate_01,step_px100,A0_controlled,SUCCESS,C02,R02,C02,1,0.356206630686199,0,0.06878838637632607,0.0
replicate_01,step_px100,A0_controlled,SUCCESS,C03,R04,C04,0,0.31416549789621334,0,0.352288387726162,0.0
replicate_01,step_px100,A0_controlled,SUCCESS,C04,R06,C06,0,0.21283783783783763,0,0.31891878365262194,0.3333333333333333
replicate_01,step_px100,A0_controlled,SUCCESS,C05,R05,C05,1,0.23761375126390327,0,0.14597731637475092,0.0
replicate_01,step_px100,A0_controlled,SUCCESS,C06,R03,C03,0,0.43421434795236735,0,0.8394456792618037,0.0
replicate_01,step_px100,A1_color_only,SUCCESS,C00,R00,C00,1,0.8565228098257709,1,0.7834717323070702,0.16666666666666666
replicate_01,step_px100,A1_color_only,SUCCESS,C01,R02,C02,0,0.9728155339805817,1,0.7817225891036501,0.0
replicate_01,step_px100,A1_color_only,SUCCESS,C02,R04,C04,0,0.7074866310160424,1,0.7718114905126959,0.0
replicate_01,step_px100,A1_color_only,SUCCESS,C03,R05,C05,0,0.6978582355940846,1,0.941135124306207,0.0
replicate_01,step_px100,A1_color_only,SUCCESS,C04,R06,C06,0,0.5716642606723039,1,0.4575096083788195,0.0
replicate_01,step_px100,A1_color_only,SUCCESS,C05,R01,C01,0,0.0,0,0.0,0.0
replicate_01,step_px100,A1_color_only,SUCCESS,C06,R03,C03,0,0.7636363636363639,1,0.8433887164978127,0.0
replicate_01,step_px100,A2_color_legend,SUCCESS,C00,R00,C00,1,0.8806486880466474,1,0.9070433748211655,0.0
replicate_01,step_px100,A2_color_legend,SUCCESS,C01,R01,C01,1,0.6466019417475737,1,0.8495221293700205,0.0
replicate_01,step_px100,A2_color_legend,SUCCESS,C02,R02,C02,1,0.7843803056027162,1,0.6973970949408717,0.0
replicate_01,step_px100,A2_color_legend,SUCCESS,C03,R03,C03,1,0.8393094289508625,1,0.9553923358321708,0.0
replicate_01,step_px100,A2_color_legend,SUCCESS,C04,R04,C04,1,0.7449324324324322,1,0.7136882723526687,0.0
replicate_01,step_px100,A2_color_legend,SUCCESS,C05,R06,C06,0,0.6634304207119736,1,0.4940038101143662,0.0
replicate_01,step_px100,A2_color_legend,SUCCESS,C06,R05,C05,0,0.6943701547107219,1,0.7913065113581293,0.0
replicate_01,step_rx150,A0_controlled,SUCCESS,C00,R02,C02,0,0.7850010713520463,1,0.8331135787649943,0.0
replicate_01,step_rx150,A0_controlled,SUCCESS,C01,R01,C01,1,0.2601697836766352,0,0.9967587960646991,0.0
replicate_01,step_rx150,A0_controlled,SUCCESS,C02,R03,C03,0,0.3214347600069307,0,0.46308509640514933,0.0
replicate_01,step_rx150,A0_controlled,SUCCESS,C03,R04,C04,0,0.2683289914402678,0,0.7845038791343405,0.0
replicate_01,step_rx150,A0_controlled,SUCCESS,C04,R06,C06,0,0.49405833633417473,0,0.7901576930061763,0.0
replicate_01,step_rx150,A0_controlled,SUCCESS,C05,R07,C07,0,0.7509167533249412,1,0.5988132511380285,0.0
replicate_01,step_rx150,A0_controlled,SUCCESS,C06,R00,C00,0,0.4587338152355235,0,0.1473775050340397,0.0
replicate_01,step_rx150,A0_controlled,SUCCESS,C07,R08,C08,0,0.5731681713205965,1,0.4003077907739172,0.0
replicate_01,step_rx150,A0_controlled,SUCCESS,C08,R05,C05,0,0.0,0,0.0,0.0
replicate_01,step_rx150,A1_color_only,SUCCESS,C00,R00,,0,0.303586113196754,0,0.7298214293845133,0.0
replicate_01,step_rx150,A1_color_only,SUCCESS,C01,R02,,0,0.2241012860798319,0,0.4443659620440265,0.0
replicate_01,step_rx150,A1_color_only,SUCCESS,C02,R03,,0,0.1860213747097912,0,0.29194644699621014,0.0
replicate_01,step_rx150,A1_color_only,SUCCESS,C03,R04,,0,0.18884001555202679,0,0.8940993307740049,0.0
replicate_01,step_rx150,A1_color_only,SUCCESS,C04,R06,,0,0.27087487537387844,0,0.5655012552264641,0.0
replicate_01,step_rx150,A1_color_only,SUCCESS,C05,R07,,0,0.4292540483143088,0,0.31402796784420356,0.0
replicate_01,step_rx150,A1_color_only,SUCCESS,C06,R08,,0,0.7431212537011621,1,0.39917767152035605,0.0
replicate_01,step_rx150,A1_color_only,SUCCESS,C07,R10,,0,0.4633747547416616,0,0.5960284567733217,0.0
replicate_01,step_rx150,A1_color_only,SUCCESS,C08,R09,,0,0.3203883495145632,0,0.48681818398399157,0.0
replicate_01,step_rx150,A2_color_legend,FAILURE,C00,,,0,0,0,0,1
replicate_01,step_rx150,A2_color_legend,FAILURE,C01,,,0,0,0,0,1
replicate_01,step_rx150,A2_color_legend,FAILURE,C02,,,0,0,0,0,1
replicate_01,step_rx150,A2_color_legend,FAILURE,C03,,,0,0,0,0,1
replicate_01,step_rx150,A2_color_legend,FAILURE,C04,,,0,0,0,0,1
replicate_01,step_rx150,A2_color_legend,FAILURE,C05,,,0,0,0,0,1
replicate_01,step_rx150,A2_color_legend,FAILURE,C06,,,0,0,0,0,1
replicate_01,step_rx150,A2_color_legend,FAILURE,C07,,,0,0,0,0,1
replicate_01,step_rx150,A2_color_legend,FAILURE,C08,,,0,0,0,0,1
replicate_01,step_vx300s,A0_controlled,SUCCESS,C00,R00,C00,1,0.7521144408478648,1,0.967907025077307,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C01,R03,C03,0,0.36125048243921315,0,0.49668447495732204,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C02,R04,C04,0,0.3243916618221079,0,0.9936446647534568,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C03,R07,C07,0,0.37786774628879927,0,1.0,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C04,R08,C08,0,0.2105663468289259,0,0.5164198922312824,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C05,R09,C09,0,0.5794314381270905,1,0.4610212649171803,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C06,R02,C02,0,0.0,0,0.0,0.4
replicate_01,step_vx300s,A0_controlled,SUCCESS,C07,R06,C06,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C08,R11,C11,0,0.7843830570902399,1,0.3407959899517628,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C09,R01,C01,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C10,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C11,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C12,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C13,R05,C05,0,0.42696629213483117,0,0.1479606945523842,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C14,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C15,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C16,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C17,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C18,R10,C10,0,0.743128114451052,1,0.5990239703120968,0.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C19,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C20,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C21,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C22,,,0,0.0,0,0.0,1.0
replicate_01,step_vx300s,A0_controlled,SUCCESS,C23,R12,C12,0,0.7667207327545078,1,0.9046018030544689,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C00,R01,,0,0.8025334380455169,1,0.952303967123155,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C01,R03,,0,0.5972299168975075,1,0.9854796139234915,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C02,R04,,0,0.2711267605633804,0,0.9968445787176904,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C03,R13,,0,0.638505553685629,1,0.22641089639435638,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C04,R09,,0,0.6667179400409181,1,1.0,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C05,R10,,0,0.5501478892175323,1,0.4314392603581731,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C06,R11,,0,0.46645146414572336,0,0.29950885004728756,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C07,R00,,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C08,R19,,0,0.481572481572482,0,0.5443438268908234,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C09,R22,,0,0.24571428571428547,0,0.1398679329652785,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C10,R07,,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C11,R02,,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C12,R12,,0,0.08057888154368432,0,0.018197942791512347,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C13,R05,,0,0.35928809788654026,0,0.23580054864501795,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C14,R08,,0,0.43771051382327025,0,0.1166573016170319,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C15,R16,,0,0.3334693877551013,0,0.07471136874721494,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C16,R15,,0,0.4407407407407411,0,0.12064526715653817,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C17,R06,,0,0.4829162132752995,0,0.2214201716056052,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C18,R21,,0,0.554089709762534,1,0.48730141486208733,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C19,R17,,0,0.4994775339602932,0,0.28094542301490394,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C20,R23,,0,0.37212296797038535,0,0.09657569051717071,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C21,R20,,0,0.30012150668286725,0,0.4322523755078582,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C22,R14,,0,0.5186462953836054,1,0.563630330287273,0.0
replicate_01,step_vx300s,A1_color_only,SUCCESS,C23,R18,,0,0.49515789473684263,0,0.9736039303052122,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C00,R00,C00,1,0.6839102741622819,1,0.8923110597894137,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C01,R13,C13,0,0.5623678646934467,1,0.8603454524846857,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C02,R02,C02,1,0.33977637167374597,0,0.8765048395911513,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C03,R10,C10,0,0.4216519966184293,0,0.8281909221640493,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C04,R04,C04,1,0.642808912896693,1,0.9510251226973478,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C05,R21,C21,0,0.4927099044746113,0,0.459105796848488,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C06,R07,C07,0,0.6703717899578394,1,0.19539705002687785,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C07,R12,C12,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C08,R23,C23,0,0.46917666528754765,0,0.25,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C09,R11,C11,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C10,R01,C01,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C11,R05,C05,0,0.05857142857142847,0,0.0162809167233946,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C12,R03,C03,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C13,R19,C19,0,0.241423125794155,0,0.185135516993671,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C14,R08,C08,0,0.612167300380228,1,0.2088097214855223,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C15,R20,C20,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C16,R09,C09,0,0.4690332326283983,0,0.19898644095402265,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C17,R17,C17,1,0.4901960784313728,0,0.48389089622737713,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C18,R18,C18,1,0.8351627906976765,1,0.7799844008361503,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C19,R15,C15,0,0.0,0,0.0,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C20,R16,C16,0,0.19631901840490834,0,0.056210964607911175,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C21,R14,C14,0,0.277541772868876,0,0.2336453582855098,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C22,R06,C06,0,0.47871939736346475,0,0.19854331337479864,0.0
replicate_01,step_vx300s,A2_color_legend,SUCCESS,C23,R22,C22,0,0.3482587064676627,0,0.23534084253850754,0.0
replicate_01,step_wx200,A0_controlled,SUCCESS,C00,R00,C00,1,0.1456608314471535,0,0.5213339717342734,0.0
replicate_01,step_wx200,A0_controlled,SUCCESS,C01,R05,C05,0,0.2637681159420289,0,0.20703125,0.0
replicate_01,step_wx200,A0_controlled,SUCCESS,C02,R04,C04,0,0.18956649522410043,0,0.612424424067677,0.0
replicate_01,step_wx200,A0_controlled,SUCCESS,C03,R06,C06,0,0.22781495490253137,0,0.4659782331486368,0.0
replicate_01,step_wx200,A0_controlled,SUCCESS,C04,R02,C02,0,0.21955151692803732,0,0.1747010961868892,0.16666666666666666
replicate_01,step_wx200,A0_controlled,SUCCESS,C05,R03,C03,0,0.0,0,0.0,0.0
replicate_01,step_wx200,A0_controlled,SUCCESS,C06,R07,C07,0,0.2221153846153845,0,0.26169817836484505,0.0
replicate_01,step_wx200,A0_controlled,SUCCESS,C07,R01,C01,0,0.3000546746856208,0,0.3296908214700596,0.16666666666666666
replicate_01,step_wx200,A1_color_only,SUCCESS,C00,R00,,0,0.8892717665977485,1,0.7890834425743535,0.0
replicate_01,step_wx200,A1_color_only,SUCCESS,C01,R01,,0,0.8245192307692304,1,0.7961630288164686,0.0
replicate_01,step_wx200,A1_color_only,SUCCESS,C02,R04,,0,0.378467778931357,0,0.5929081732975028,0.3333333333333333
replicate_01,step_wx200,A1_color_only,SUCCESS,C03,R05,,0,0.7047413793103449,1,0.8024606599762868,0.0
replicate_01,step_wx200,A1_color_only,SUCCESS,C04,R06,,0,0.684459965078573,1,0.918473099131974,0.0
replicate_01,step_wx200,A1_color_only,SUCCESS,C05,R07,,0,0.671789906813506,1,0.4285123171602896,0.0
replicate_01,step_wx200,A1_color_only,SUCCESS,C06,R03,,0,0.005814603600581526,0,0.000880503144654088,0.0
replicate_01,step_wx200,A1_color_only,SUCCESS,C07,R02,,0,0.6185133239831702,1,0.9973584108199492,0.0
replicate_01,step_wx200,A2_color_legend,SUCCESS,C00,R00,C00,1,0.9349277266754269,1,0.8440968514025787,0.0
replicate_01,step_wx200,A2_color_legend,SUCCESS,C01,R01,C01,1,0.6910256410256422,1,0.788858371937517,0.0
replicate_01,step_wx200,A2_color_legend,SUCCESS,C02,R03,C02,1,0.7297748123436198,1,0.7913068011883263,0.0
replicate_01,step_wx200,A2_color_legend,SUCCESS,C03,R04,C03,1,0.7189244038559086,1,0.8439881933154024,0.0
replicate_01,step_wx200,A2_color_legend,SUCCESS,C04,R05,C04,1,0.5578400936434434,1,0.9158292915972739,0.0
replicate_01,step_wx200,A2_color_legend,SUCCESS,C05,R06,C06,0,0.6645914396887164,1,0.4425292345670479,0.0
replicate_01,step_wx200,A2_color_legend,SUCCESS,C06,R07,C05,0,0.23517765968531812,0,0.22015866346086205,0.0
replicate_01,step_wx200,A2_color_legend,SUCCESS,C07,R02,C07,1,0.7469264671769883,1,0.9503527565458508,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C00,R00,,0,0.4882601434325581,0,0.7617480430725401,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C01,R01,,0,0.8300675675675678,1,0.6891068300652333,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C02,R03,,0,0.3714908345083967,0,0.26213197330365157,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C03,R07,,0,0.5208929593589019,1,0.9955272835702216,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C04,R08,,0,0.6480044345898012,1,0.8613145970067908,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C05,R04,,0,0.0,0,0.0,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C06,R06,,0,0.4556663168940191,0,0.3419884319230834,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C07,R10,,0,0.5443548387096787,1,0.7349589248865714,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C08,R09,,0,0.5670867309117875,1,0.3373152253712171,0.0
replicate_01,step_wx250s,A0_controlled,SUCCESS,C09,R02,,0,0.0,0,0.0,0.3333333333333333
replicate_01,step_wx250s,A1_color_only,SUCCESS,C00,R00,C00,1,0.8488471391972676,1,0.930061057142999,0.0
replicate_01,step_wx250s,A1_color_only,SUCCESS,C01,R01,C01,1,0.8432207902865054,1,0.7853241892695833,0.0
