case_id,condition,status,gt_components,predicted_regions,mean_bbox_iou,recall_at_0_5,mean_target_purity,wrong_link_rate,blank_crop_rate,identity_accuracy,feature_candidates,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error
step_px100,A0_controlled,SUCCESS,7,7,0.38506559320610556,0.2857142857142857,0.42128998880952956,0.5787100111904704,0.047619047619047616,0.5714285714285714,7,8261,1697,9958,28.493496417999268,,
step_px100,A1_color_only,SUCCESS,7,7,0.6528548335321639,0.8571428571428571,0.6541484658723221,0.3458515341276779,0.023809523809523808,0.14285714285714285,7,8263,1792,10055,31.727483987808228,,
step_px100,A2_color_legend,SUCCESS,7,7,0.750524767457561,1.0,0.772621932684199,0.227378067315801,0.0,0.7142857142857143,7,8408,1949,10357,30.244231462478638,,
step_rx150,A0_controlled,SUCCESS,9,9,0.4346457425212351,0.3333333333333333,0.5571241767023716,0.4428758232976284,0.0,0.1111111111111111,9,8261,2551,10812,46.84647870063782,,
step_rx150,A1_color_only,SUCCESS,9,11,0.34772911902044196,0.1111111111111111,0.5246429671718992,0.4753570328281008,0.0,0.0,11,8263,2993,11256,43.22724962234497,,
step_rx150,A2_color_legend,FAILURE,9,0,0,0,0,1,1,0,0,0,0,0,0,APITimeoutError,Request timed out.
step_vx300s,A0_controlled,SUCCESS,24,13,0.22195084636602636,0.20833333333333334,0.2678358241586359,0.7321641758413642,0.47500000000000003,0.041666666666666664,13,8265,2788,11053,38.996095418930054,,
step_vx300s,A1_color_only,SUCCESS,24,24,0.3997633113918391,0.2916666666666667,0.38324752881157004,0.61675247118843,0.0,0.0,24,8267,5678,13945,83.24803638458252,,
step_vx300s,A2_color_legend,SUCCESS,24,24,0.3454236096405319,0.25,0.32957119231786997,0.6704288076821301,0.0,0.20833333333333334,24,8755,4417,13172,63.331045627593994,,
step_wx200,A0_controlled,SUCCESS,8,8,0.1960664967181071,0.0,0.3216072468715476,0.6783927531284524,0.041666666666666664,0.125,8,8263,2014,10277,26.1660099029541,,
step_wx200,A1_color_only,SUCCESS,8,8,0.597197244385564,0.75,0.6657299543651848,0.3342700456348152,0.041666666666666664,0.0,18,8265,2456,10721,154.9696023464203,,
step_wx200,A2_color_legend,SUCCESS,8,8,0.659898530511883,0.875,0.7246400205018574,0.2753599794981426,0.0,0.75,9,8431,2487,10918,39.938167333602905,,
step_wx250s,A0_controlled,SUCCESS,10,12,0.4425823825972711,0.5,0.4984091309199309,0.5015908690800691,0.03333333333333333,0.0,12,8265,2416,10681,38.766448974609375,,
step_wx250s,A1_color_only,SUCCESS,10,10,0.6594547490378184,0.8,0.7324784070114854,0.26752159298851463,0.0,0.4,10,8267,3606,11873,59.13605618476868,,
step_wx250s,A2_color_legend,SUCCESS,10,10,0.6364340650972713,0.8,0.7193019424207183,0.2806980575792817,0.0,1.0,12,8473,3662,12135,57.58197736740112,,
