case_id,condition,status,schema_valid,expected_regions,output_components,complete_region_rate,duplicate_region_ids,total_evidence_refs,evidence_traceability_rate,unsupported_reference_rate,joint_region_count,joint_region_per_component,visible_feature_count,visible_feature_per_component,unknown_role_rate,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error
step_px100,A0_controlled,SUCCESS,1,7,7,1.0,0,80,1.0,0.0,10,1.4285714285714286,14,2.0,0.0,10401,3520,13921,67.94833421707153,,
step_px100,A1_color_only,SUCCESS,1,7,7,1.0,0,68,1.0,0.0,8,1.1428571428571428,11,1.5714285714285714,0.0,10357,3129,13486,33.012261629104614,,
step_px100,A2_color_legend,SUCCESS,1,7,7,1.0,0,74,1.0,0.0,10,1.4285714285714286,11,1.5714285714285714,0.0,10546,3516,14062,63.80250787734985,,
step_rx150,A0_controlled,SUCCESS,1,9,9,1.0,0,75,1.0,0.0,8,0.8888888888888888,10,1.1111111111111112,0.0,10827,3665,14492,66.6184253692627,,
step_rx150,A1_color_only,SUCCESS,1,11,11,1.0,0,89,1.0,0.0,10,0.9090909090909091,13,1.1818181818181819,0.0,11332,4334,15666,68.79162430763245,,
step_rx150,A2_color_legend,UPSTREAM_FAILURE,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,E1_FAILURE,component grounding artifact missing
step_vx300s,A0_controlled,SUCCESS,1,13,13,1.0,0,135,1.0,0.0,11,0.8461538461538461,16,1.2307692307692308,0.0,11254,5666,16920,87.02111768722534,,
step_vx300s,A1_color_only,SUCCESS,1,24,24,1.0,0,115,1.0,0.0,14,0.5833333333333334,24,1.0,0.0,13812,6006,19818,86.01201891899109,,
step_vx300s,A2_color_legend,SUCCESS,1,24,24,1.0,0,172,1.0,0.0,20,0.8333333333333334,20,0.8333333333333334,0.0,13638,6871,20509,120.51015305519104,,
step_wx200,A0_controlled,SUCCESS,1,8,8,1.0,0,71,1.0,0.0,8,1.0,12,1.5,0.0,10541,3316,13857,66.3399555683136,,
step_wx200,A1_color_only,SUCCESS,1,8,8,1.0,0,82,1.0,0.0,8,1.0,15,1.875,0.0,10950,3441,14391,69.87800550460815,,
step_wx200,A2_color_legend,SUCCESS,1,8,8,1.0,0,87,1.0,0.0,10,1.25,16,2.0,0.0,10792,3982,14774,70.71975779533386,,
step_wx250s,A0_controlled,SUCCESS,1,12,12,1.0,0,89,1.0,0.0,11,0.9166666666666666,15,1.25,0.0,11146,4095,15241,78.62784600257874,,
step_wx250s,A1_color_only,SUCCESS,1,10,10,1.0,0,66,1.0,0.0,7,0.7,10,1.0,0.0,10911,3351,14262,58.15813708305359,,
step_wx250s,A2_color_legend,SUCCESS,1,10,10,1.0,0,102,1.0,0.0,10,1.0,19,1.9,0.0,11281,4174,15455,67.70996809005737,,
