version,case_id,link_id,status,operation_count,errors
R1,dev_arm-dcc2b0ce1e,L2,SUCCESS,10,[]
R1,dev_arm-dcc2b0ce1e,L3,SUCCESS,10,[]
R1,dev_arm-dcc2b0ce1e,L4,SUCCESS,10,[]
R1,dev_arm-ab15a75247,L0,SUCCESS,8,[]
R1,dev_arm-ab15a75247,L2,SUCCESS,9,[]
R1,dev_arm-ab15a75247,L4,SUCCESS,8,[]
R2,dev_arm-dcc2b0ce1e,L2,SUCCESS,10,[]
R2,dev_arm-dcc2b0ce1e,L3,SUCCESS,9,[]
R2,dev_arm-dcc2b0ce1e,L4,SUCCESS,10,[]
R2,dev_arm-ab15a75247,L0,SUCCESS,13,[]
R2,dev_arm-ab15a75247,L2,SUCCESS,9,[]
R2,dev_arm-ab15a75247,L4,SUCCESS,9,[]
