version,case_id,link_id,role,joint_side,status,local_chamfer,local_hd95,local_iou
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,proximal,SUCCESS,0.021276364289631665,0.05907140579683122,0.6048780487804878
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,distal,SUCCESS,0.0289150504838211,0.09141534616275676,0.4956896551724138
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,proximal,GT_OR_PRED_MESH_MISSING,,,
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,distal,GT_OR_PRED_MESH_MISSING,,,
R0,dev_arm-dcc2b0ce1e,L4,forearm,proximal,SUCCESS,0.027639805829516917,0.08878786463213392,0.46258503401360546
R0,dev_arm-dcc2b0ce1e,L4,forearm,distal,SUCCESS,0.030493160882284723,0.08702290168025338,0.3496932515337423
R0,dev_arm-ab15a75247,L0,base_or_shoulder,proximal,SUCCESS,0.056357655751209115,0.16455893090702692,0.132890365448505
R0,dev_arm-ab15a75247,L0,base_or_shoulder,distal,SUCCESS,0.056134719102382886,0.1600373156738971,0.17320261437908496
R0,dev_arm-ab15a75247,L2,main_link,proximal,SUCCESS,0.08236660706500842,0.24440727472007792,0.18181818181818182
R0,dev_arm-ab15a75247,L2,main_link,distal,SUCCESS,0.09551381582727256,0.2717979339961188,0.18360655737704917
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,proximal,SUCCESS,0.030557497680526714,0.06628432172460372,0.3020527859237537
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,distal,SUCCESS,0.03139809865426865,0.07645398570852203,0.29069767441860467
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,proximal,SUCCESS,0.04583892346965488,0.09330873737000245,0.17194570135746606
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,distal,SUCCESS,0.041038724115474656,0.11031244732516848,0.26180257510729615
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,proximal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,distal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-dcc2b0ce1e,L4,forearm,proximal,SUCCESS,0.04944996597490821,0.09758806204271903,0.08203125
R1,dev_arm-dcc2b0ce1e,L4,forearm,distal,SUCCESS,0.04458331709127367,0.10461909646452153,0.1760299625468165
R1,dev_arm-ab15a75247,L0,base_or_shoulder,proximal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L0,base_or_shoulder,distal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L2,main_link,proximal,SUCCESS,0.04819947108411495,0.09377754110188033,0.09230769230769231
R1,dev_arm-ab15a75247,L2,main_link,distal,SUCCESS,0.040124441611335916,0.11115500887963252,0.21825396825396826
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,proximal,SUCCESS,0.038836729612889566,0.10183790063482721,0.24257425742574257
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,distal,SUCCESS,0.040968113257436094,0.09643479749501332,0.3004807692307692
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,proximal,SUCCESS,0.0461246686805382,0.09073151125188116,0.076
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,distal,SUCCESS,0.041924026422473004,0.11240589178393494,0.17692307692307693
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,proximal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,distal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-dcc2b0ce1e,L4,forearm,proximal,SUCCESS,0.04688727172401591,0.0949594569343351,0.08013937282229965
R2,dev_arm-dcc2b0ce1e,L4,forearm,distal,SUCCESS,0.04462527066600283,0.11734210616724239,0.1476510067114094
R2,dev_arm-ab15a75247,L0,base_or_shoulder,proximal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-ab15a75247,L0,base_or_shoulder,distal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-ab15a75247,L2,main_link,proximal,SUCCESS,0.04733199025543465,0.09338394459607019,0.16818181818181818
R2,dev_arm-ab15a75247,L2,main_link,distal,SUCCESS,0.039688042058526204,0.10746565578098072,0.28054298642533937
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,proximal,SUCCESS,0.03317367927718902,0.08290207590697085,0.31466666666666665
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,distal,SUCCESS,0.03484875915033066,0.08287059875408946,0.30730478589420657
