case_id,link_id,crop_id,crop_path,crop_source_view,bbox_xyxy,localization_method,related_link,related_joint,gt_geometry_used
dev_arm-dcc2b0ce1e,L2,link_level_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-dcc2b0ce1e\L2\local_evidence\link_level_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-dcc2b0ce1e\07_arm-dcc2b0ce1e_front.png,"[54, 38, 306, 342]",deterministic_non_gt_render_crop,L2,,False
dev_arm-dcc2b0ce1e,L2,proximal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-dcc2b0ce1e\L2\local_evidence\proximal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-dcc2b0ce1e\07_arm-dcc2b0ce1e_iso.png,"[18, 76, 198, 323]",deterministic_non_gt_render_crop,L2,proximal,False
dev_arm-dcc2b0ce1e,L2,distal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-dcc2b0ce1e\L2\local_evidence\distal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-dcc2b0ce1e\07_arm-dcc2b0ce1e_top.png,"[162, 57, 342, 304]",deterministic_non_gt_render_crop,L2,distal,False
dev_arm-dcc2b0ce1e,L3,link_level_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-dcc2b0ce1e\L3\local_evidence\link_level_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-dcc2b0ce1e\07_arm-dcc2b0ce1e_front.png,"[54, 38, 306, 342]",deterministic_non_gt_render_crop,L3,,False
dev_arm-dcc2b0ce1e,L3,proximal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-dcc2b0ce1e\L3\local_evidence\proximal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-dcc2b0ce1e\07_arm-dcc2b0ce1e_iso.png,"[18, 76, 198, 323]",deterministic_non_gt_render_crop,L3,proximal,False
dev_arm-dcc2b0ce1e,L3,distal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-dcc2b0ce1e\L3\local_evidence\distal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-dcc2b0ce1e\07_arm-dcc2b0ce1e_top.png,"[162, 57, 342, 304]",deterministic_non_gt_render_crop,L3,distal,False
dev_arm-dcc2b0ce1e,L4,link_level_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-dcc2b0ce1e\L4\local_evidence\link_level_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-dcc2b0ce1e\07_arm-dcc2b0ce1e_front.png,"[54, 38, 306, 342]",deterministic_non_gt_render_crop,L4,,False
dev_arm-dcc2b0ce1e,L4,proximal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-dcc2b0ce1e\L4\local_evidence\proximal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-dcc2b0ce1e\07_arm-dcc2b0ce1e_iso.png,"[18, 76, 198, 323]",deterministic_non_gt_render_crop,L4,proximal,False
dev_arm-dcc2b0ce1e,L4,distal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-dcc2b0ce1e\L4\local_evidence\distal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-dcc2b0ce1e\07_arm-dcc2b0ce1e_top.png,"[162, 57, 342, 304]",deterministic_non_gt_render_crop,L4,distal,False
dev_arm-ab15a75247,L0,link_level_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-ab15a75247\L0\local_evidence\link_level_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-ab15a75247\10_arm-ab15a75247_front.png,"[54, 38, 306, 342]",deterministic_non_gt_render_crop,L0,,False
dev_arm-ab15a75247,L0,proximal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-ab15a75247\L0\local_evidence\proximal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-ab15a75247\10_arm-ab15a75247_iso.png,"[18, 76, 198, 323]",deterministic_non_gt_render_crop,L0,proximal,False
dev_arm-ab15a75247,L0,distal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-ab15a75247\L0\local_evidence\distal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-ab15a75247\10_arm-ab15a75247_top.png,"[162, 57, 342, 304]",deterministic_non_gt_render_crop,L0,distal,False
dev_arm-ab15a75247,L2,link_level_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-ab15a75247\L2\local_evidence\link_level_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-ab15a75247\10_arm-ab15a75247_front.png,"[54, 38, 306, 342]",deterministic_non_gt_render_crop,L2,,False
dev_arm-ab15a75247,L2,proximal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-ab15a75247\L2\local_evidence\proximal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-ab15a75247\10_arm-ab15a75247_iso.png,"[18, 76, 198, 323]",deterministic_non_gt_render_crop,L2,proximal,False
dev_arm-ab15a75247,L2,distal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-ab15a75247\L2\local_evidence\distal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-ab15a75247\10_arm-ab15a75247_top.png,"[162, 57, 342, 304]",deterministic_non_gt_render_crop,L2,distal,False
dev_arm-ab15a75247,L4,link_level_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-ab15a75247\L4\local_evidence\link_level_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-ab15a75247\10_arm-ab15a75247_front.png,"[54, 38, 306, 342]",deterministic_non_gt_render_crop,L4,,False
dev_arm-ab15a75247,L4,proximal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-ab15a75247\L4\local_evidence\proximal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-ab15a75247\10_arm-ab15a75247_iso.png,"[18, 76, 198, 323]",deterministic_non_gt_render_crop,L4,proximal,False
dev_arm-ab15a75247,L4,distal_joint_crop,D:\CADtest\papertest\experiments\freecad_robot_link_reconstruction_pilot\runs\R2\dev_arm-ab15a75247\L4\local_evidence\distal_joint_crop.png,D:\CADtest\papertest\go_nogo1\results\prototype_feasibility\renders\arm-ab15a75247\10_arm-ab15a75247_top.png,"[162, 57, 342, 304]",deterministic_non_gt_render_crop,L4,distal,False
