version,case_id,link_id,role,operation_count,revolve_count,loft_count,sweep_count,shell_count,fillet_count,chamfer_count,boolean_count,pattern_count
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,5,1,1,0,0,1,0,1,0
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,5,1,1,0,0,1,0,1,0
R0,dev_arm-dcc2b0ce1e,L4,forearm,5,1,1,0,0,1,0,1,0
R0,dev_arm-ab15a75247,L0,base_or_shoulder,5,1,1,0,0,1,0,1,0
R0,dev_arm-ab15a75247,L2,main_link,5,1,1,0,0,1,0,1,0
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,5,1,1,0,0,1,0,1,0
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,10,3,3,0,0,1,0,2,0
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,10,3,2,0,0,2,0,2,0
R1,dev_arm-dcc2b0ce1e,L4,forearm,10,4,2,0,0,0,0,2,0
R1,dev_arm-ab15a75247,L0,base_or_shoulder,8,3,0,0,0,1,0,2,0
R1,dev_arm-ab15a75247,L2,main_link,9,3,2,0,0,0,0,2,0
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,8,2,0,0,0,1,1,2,0
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,10,3,3,0,0,1,0,2,0
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,9,4,1,0,0,1,0,2,0
R2,dev_arm-dcc2b0ce1e,L4,forearm,10,4,2,0,0,0,0,2,0
R2,dev_arm-ab15a75247,L0,base_or_shoulder,13,6,0,0,0,1,0,3,0
R2,dev_arm-ab15a75247,L2,main_link,9,3,2,0,0,0,0,2,0
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,9,3,0,0,0,1,1,2,0
