version,case_id,link_id,role,status,voxel_iou,chamfer,hd95
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,0.5232876712328767,0.026520924092585732,0.08022716710256242
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,GT_OR_PRED_MESH_MISSING,,,
R0,dev_arm-dcc2b0ce1e,L4,forearm,SUCCESS,0.379047619047619,0.03275290127319716,0.09566225810681285
R0,dev_arm-ab15a75247,L0,base_or_shoulder,SUCCESS,0.13957597173144876,0.060024174248830775,0.16460728472689956
R0,dev_arm-ab15a75247,L2,main_link,SUCCESS,0.12678288431061807,0.1241996904332752,0.29682188273553023
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,0.3003472222222222,0.031189787496913077,0.0741997595675693
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,0.23015873015873015,0.0441678625097389,0.11032075581604953
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-dcc2b0ce1e,L4,forearm,SUCCESS,0.13863636363636364,0.047861742895941396,0.10495941124463189
R1,dev_arm-ab15a75247,L0,base_or_shoulder,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L2,main_link,SUCCESS,0.15331807780320367,0.04550323181149957,0.1130002087758849
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,0.2707736389684814,0.04009109342945219,0.10044495903840452
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,0.14285714285714285,0.04424273870596,0.10501625652344777
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-dcc2b0ce1e,L4,forearm,SUCCESS,0.12170385395537525,0.04789640426527948,0.11461453668371964
R2,dev_arm-ab15a75247,L0,base_or_shoulder,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-ab15a75247,L2,main_link,SUCCESS,0.22459893048128343,0.04531283094931121,0.11618574413624368
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,0.3256172839506173,0.03283845688083139,0.0800374172891228
