version,case_id,link_id,llm_calls,total_tokens,planning_latency_seconds,freecad_execution_time_seconds,cad_operation_count
R0,dev_arm-dcc2b0ce1e,L2,0,0,0,0.43874621391296387,5
R0,dev_arm-dcc2b0ce1e,L3,0,0,0,0.0735936164855957,5
R0,dev_arm-dcc2b0ce1e,L4,0,0,0,0.07428407669067383,5
R0,dev_arm-ab15a75247,L0,0,0,0,0.07040810585021973,5
R0,dev_arm-ab15a75247,L2,0,0,0,0.09348726272583008,5
R0,dev_arm-ab15a75247,L4,0,0,0,0.08902263641357422,5
R1,dev_arm-dcc2b0ce1e,L2,1,6806,91.77534890174866,0.4200313091278076,10
R1,dev_arm-dcc2b0ce1e,L3,1,6914,92.88832259178162,0.33044934272766113,10
R1,dev_arm-dcc2b0ce1e,L4,1,7422,101.45687007904053,0.32383179664611816,10
R1,dev_arm-ab15a75247,L0,1,5976,84.37971830368042,0.038495540618896484,8
R1,dev_arm-ab15a75247,L2,1,6854,97.47914719581604,0.3144559860229492,9
R1,dev_arm-ab15a75247,L4,1,5790,81.24198317527771,0.1691441535949707,8
R2,dev_arm-dcc2b0ce1e,L2,1,7353,97.09343600273132,0.45938801765441895,10
R2,dev_arm-dcc2b0ce1e,L3,1,6173,76.8055489063263,0.2235267162322998,9
R2,dev_arm-dcc2b0ce1e,L4,1,7355,96.77012085914612,0.3332493305206299,10
R2,dev_arm-ab15a75247,L0,1,7324,103.93322920799255,0.06931447982788086,13
R2,dev_arm-ab15a75247,L2,1,5714,74.75130534172058,0.31825947761535645,9
R2,dev_arm-ab15a75247,L4,1,6071,82.50955295562744,0.19066715240478516,9
