version,case_id,link_id,role,status,operation_count,native_success_count,semantic_match_count,fallback_count,fcstd_success,step_success,stl_success,execution_time_seconds,failure_stage,failure_reason
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,3,3,3,0,True,True,True,0.14096283912658691,,
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,SUCCESS,3,3,3,0,True,True,True,0.04330873489379883,,
R0,dev_arm-dcc2b0ce1e,L4,forearm,SUCCESS,3,3,3,0,True,True,True,0.04424166679382324,,
R0,dev_arm-ab15a75247,L0,base_or_shoulder,SUCCESS,3,3,3,0,True,True,True,0.04291582107543945,,
R0,dev_arm-ab15a75247,L2,main_link,SUCCESS,3,3,3,0,True,True,True,0.04083371162414551,,
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,3,3,3,0,True,True,True,0.04171299934387207,,
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,13,13,13,0,True,True,True,4.329101800918579,,
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir.json missing
R1,dev_arm-dcc2b0ce1e,L4,forearm,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir.json missing
R1,dev_arm-ab15a75247,L0,base_or_shoulder,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir.json missing
R1,dev_arm-ab15a75247,L2,main_link,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir.json missing
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,9,9,9,0,True,True,True,0.4131937026977539,,
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,12,12,12,0,True,True,True,4.872336149215698,,
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir.json missing
R2,dev_arm-dcc2b0ce1e,L4,forearm,SUCCESS,11,11,11,0,True,True,True,4.165247917175293,,
R2,dev_arm-ab15a75247,L0,base_or_shoulder,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir.json missing
R2,dev_arm-ab15a75247,L2,main_link,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir.json missing
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,10,10,10,0,True,True,True,1.4259676933288574,,
