version,case_id,link_id,status,model,errors,input_tokens,output_tokens,total_tokens,elapsed_seconds
R1,dev_arm-dcc2b0ce1e,L2,SUCCESS,glm-5.3-flash,[],2765,2177,4942,14.724156141281128
R1,dev_arm-dcc2b0ce1e,L3,MFG_INVALID,glm-5.3-flash,"[""schema: [0.9, 0.0, 0.15] is not of type 'object'""]",2753,1935,4688,34.27550554275513
R1,dev_arm-dcc2b0ce1e,L4,SUCCESS,glm-5.3-flash,[],2784,2227,5011,42.412965536117554
R1,dev_arm-ab15a75247,L0,SUCCESS,glm-5.3-flash,[],2340,2523,4863,41.61968660354614
R1,dev_arm-ab15a75247,L2,FAILURE,glm-5.3-flash,['KeyError: 0'],2432,2900,5332,44.84537100791931
R1,dev_arm-ab15a75247,L4,SUCCESS,glm-5.3-flash,[],2332,2653,4985,43.82014846801758
R2,dev_arm-dcc2b0ce1e,L2,SUCCESS,glm-5.3-flash,[],7061,3490,10551,64.54371047019958
R2,dev_arm-dcc2b0ce1e,L3,SUCCESS,glm-5.3-flash,[],6953,3322,10275,21.06170916557312
R2,dev_arm-dcc2b0ce1e,L4,SUCCESS,glm-5.3-flash,[],7136,4409,11545,72.94387555122375
R2,dev_arm-ab15a75247,L0,MFG_INVALID,glm-5.3-flash,['no feature nodes'],6096,3590,9686,60.36953949928284
R2,dev_arm-ab15a75247,L2,MFG_INVALID,glm-5.3-flash,['no feature nodes'],6168,3221,9389,49.899046897888184
R2,dev_arm-ab15a75247,L4,SUCCESS,glm-5.3-flash,[],6119,3551,9670,62.880831718444824
