version,case_id,link_id,role,joint_side,status,local_chamfer,local_hd95,local_iou
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,proximal,SUCCESS,0.02336310689751943,0.04455873234566825,0.5862068965517241
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,distal,SUCCESS,0.023241267260394174,0.048621527146703765,0.550561797752809
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,proximal,GT_OR_PRED_MESH_MISSING,,,
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,distal,GT_OR_PRED_MESH_MISSING,,,
R0,dev_arm-dcc2b0ce1e,L4,forearm,proximal,SUCCESS,0.021104933777150704,0.04409651918633708,0.6325757575757576
R0,dev_arm-dcc2b0ce1e,L4,forearm,distal,SUCCESS,0.02082853863896899,0.047866741662703154,0.5934065934065934
R0,dev_arm-ab15a75247,L0,base_or_shoulder,proximal,SUCCESS,0.0433494985843034,0.10790867837288416,0.21
R0,dev_arm-ab15a75247,L0,base_or_shoulder,distal,SUCCESS,0.05170762206276007,0.10797039717420688,0.16560509554140126
R0,dev_arm-ab15a75247,L2,main_link,proximal,SUCCESS,0.02217583969552174,0.04134445633341476,0.43272727272727274
R0,dev_arm-ab15a75247,L2,main_link,distal,SUCCESS,0.023243519594667205,0.048011522253314155,0.35517241379310344
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,proximal,SUCCESS,0.05000400612145307,0.12727636502456122,0.12195121951219512
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,distal,SUCCESS,0.05340633907470978,0.1322319486454725,0.12340425531914893
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,proximal,SUCCESS,0.02954634333950962,0.06818989696972406,0.4816326530612245
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,distal,SUCCESS,0.02908419213005129,0.07140237338516173,0.5286885245901639
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,proximal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,distal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-dcc2b0ce1e,L4,forearm,proximal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-dcc2b0ce1e,L4,forearm,distal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L0,base_or_shoulder,proximal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L0,base_or_shoulder,distal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L2,main_link,proximal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L2,main_link,distal,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,proximal,SUCCESS,0.07794082029069692,0.15036558260854654,0.056155507559395246
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,distal,SUCCESS,0.0778490796711692,0.15624682062997833,0.06751054852320675
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,proximal,SUCCESS,0.037253660896686774,0.09199119666330387,0.3744292237442922
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,distal,SUCCESS,0.0339731689912373,0.09468590813362701,0.41232227488151657
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,proximal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,distal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-dcc2b0ce1e,L4,forearm,proximal,SUCCESS,0.03555742339701674,0.07633703540260493,0.33540372670807456
R2,dev_arm-dcc2b0ce1e,L4,forearm,distal,SUCCESS,0.03726765258675214,0.08499556643792311,0.3009118541033435
R2,dev_arm-ab15a75247,L0,base_or_shoulder,proximal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-ab15a75247,L0,base_or_shoulder,distal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-ab15a75247,L2,main_link,proximal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-ab15a75247,L2,main_link,distal,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,proximal,SUCCESS,0.043033225896144174,0.09476653423986037,0.24675324675324675
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,distal,SUCCESS,0.03787905662137519,0.1063227826791055,0.3242424242424242
