version,case_id,link_id,role,expected_count,correct_count,mfr,expected_features,realized_features,missing_features
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,6,1,0.16666666666666666,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;lightening_cut;fillet_group,assembly_union;main_link_body;proximal_joint_housing,elongated_main_body;distal_joint_housing;tapered_transition;lightening_cut;fillet_group
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,6,1,0.16666666666666666,main_housing;proximal_joint_housing;distal_joint_housing;web;recess;fillet_group,assembly_union;main_link_body;proximal_joint_housing,main_housing;distal_joint_housing;web;recess;fillet_group
R0,dev_arm-dcc2b0ce1e,L4,forearm,6,1,0.16666666666666666,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;lightening_cut;fillet_group,assembly_union;main_link_body;proximal_joint_housing,elongated_main_body;distal_joint_housing;tapered_transition;lightening_cut;fillet_group
R0,dev_arm-ab15a75247,L0,base_or_shoulder,6,1,0.16666666666666666,main_housing;flange;proximal_joint_housing;mounting_boss;fillet_group;chamfer_group,assembly_union;main_link_body;proximal_joint_housing,main_housing;flange;mounting_boss;fillet_group;chamfer_group
R0,dev_arm-ab15a75247,L2,main_link,6,1,0.16666666666666666,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;recess;fillet_group,assembly_union;main_link_body;proximal_joint_housing,elongated_main_body;distal_joint_housing;tapered_transition;recess;fillet_group
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,6,0,0.0,palm_plate;tool_flange;mounting_face;gap;mounting_boss;fillet_group,assembly_union;main_link_body;proximal_joint_housing,palm_plate;tool_flange;mounting_face;gap;mounting_boss;fillet_group
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,6,6,1.0,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;lightening_cut;fillet_group,assembly_union;bearing_boss;cover_region;distal_joint_housing;elongated_main_body;fillet_group;lightening_cut;mounting_face;proximal_joint_housing;rib;strengthening_boss;tapered_transition,
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,6,0,0.0,main_housing;proximal_joint_housing;distal_joint_housing;web;recess;fillet_group,,main_housing;proximal_joint_housing;distal_joint_housing;web;recess;fillet_group
R1,dev_arm-dcc2b0ce1e,L4,forearm,6,0,0.0,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;lightening_cut;fillet_group,,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;lightening_cut;fillet_group
R1,dev_arm-ab15a75247,L0,base_or_shoulder,6,0,0.0,main_housing;flange;proximal_joint_housing;mounting_boss;fillet_group;chamfer_group,,main_housing;flange;proximal_joint_housing;mounting_boss;fillet_group;chamfer_group
R1,dev_arm-ab15a75247,L2,main_link,6,0,0.0,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;recess;fillet_group,,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;recess;fillet_group
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,6,5,0.8333333333333334,palm_plate;tool_flange;mounting_face;gap;mounting_boss;fillet_group,assembly_union;chamfer_group;fillet_group;gap;main_link_body;mounting_boss;palm_plate;tool_flange,mounting_face
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,6,6,1.0,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;lightening_cut;fillet_group,assembly_union;bearing_boss;distal_joint_housing;elongated_main_body;fillet_group;flange;lightening_cut;proximal_joint_housing;rib;rounded_section;tapered_transition,
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,6,0,0.0,main_housing;proximal_joint_housing;distal_joint_housing;web;recess;fillet_group,,main_housing;proximal_joint_housing;distal_joint_housing;web;recess;fillet_group
R2,dev_arm-dcc2b0ce1e,L4,forearm,6,6,1.0,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;lightening_cut;fillet_group,assembly_union;chamfer_group;distal_joint_housing;elongated_main_body;fillet_group;lightening_cut;proximal_joint_housing;tapered_transition;tool_flange,
R2,dev_arm-ab15a75247,L0,base_or_shoulder,6,0,0.0,main_housing;flange;proximal_joint_housing;mounting_boss;fillet_group;chamfer_group,,main_housing;flange;proximal_joint_housing;mounting_boss;fillet_group;chamfer_group
R2,dev_arm-ab15a75247,L2,main_link,6,0,0.0,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;recess;fillet_group,,elongated_main_body;proximal_joint_housing;distal_joint_housing;tapered_transition;recess;fillet_group
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,6,5,0.8333333333333334,palm_plate;tool_flange;mounting_face;gap;mounting_boss;fillet_group,assembly_union;chamfer_group;fillet_group;gap;main_link_body;mounting_boss;palm_plate;proximal_joint_housing;tool_flange,mounting_face
