version,case_id,link_id,role,operation_count,revolve_count,loft_count,sweep_count,shell_count,fillet_count,chamfer_count,boolean_count,pattern_count
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,3,1,0,0,0,0,0,1,0
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,3,1,0,0,0,0,0,1,0
R0,dev_arm-dcc2b0ce1e,L4,forearm,3,1,0,0,0,0,0,1,0
R0,dev_arm-ab15a75247,L0,base_or_shoulder,3,1,0,0,0,0,0,1,0
R0,dev_arm-ab15a75247,L2,main_link,3,1,0,0,0,0,0,1,0
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,3,1,0,0,0,0,0,1,0
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,13,3,2,0,0,1,0,2,0
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,0,0,0,0,0,0,0,0,0
R1,dev_arm-dcc2b0ce1e,L4,forearm,0,0,0,0,0,0,0,0,0
R1,dev_arm-ab15a75247,L0,base_or_shoulder,0,0,0,0,0,0,0,0,0
R1,dev_arm-ab15a75247,L2,main_link,0,0,0,0,0,0,0,0,0
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,9,2,0,0,0,1,1,2,0
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,12,5,2,0,0,1,0,2,0
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,0,0,0,0,0,0,0,0,0
R2,dev_arm-dcc2b0ce1e,L4,forearm,11,4,2,0,0,1,1,2,0
R2,dev_arm-ab15a75247,L0,base_or_shoulder,0,0,0,0,0,0,0,0,0
R2,dev_arm-ab15a75247,L2,main_link,0,0,0,0,0,0,0,0,0
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,10,2,0,0,0,1,1,2,0
