version,case_id,link_id,role,status,voxel_iou,chamfer,hd95
R0,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,0.5656108597285068,0.023421201320863012,0.047906070059488666
R0,dev_arm-dcc2b0ce1e,L3,elbow_housing,GT_OR_PRED_MESH_MISSING,,,
R0,dev_arm-dcc2b0ce1e,L4,forearm,SUCCESS,0.6306306306306306,0.020722314433361692,0.044283613038579986
R0,dev_arm-ab15a75247,L0,base_or_shoulder,SUCCESS,0.17906574394463667,0.04817324475804648,0.10795321402827432
R0,dev_arm-ab15a75247,L2,main_link,SUCCESS,0.4068522483940043,0.022708023772242236,0.04499391526362881
R0,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,0.12359550561797752,0.05287893247149409,0.12933693527456075
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,0.46582278481012657,0.03086552610626218,0.07258635459055318
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-dcc2b0ce1e,L4,forearm,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L0,base_or_shoulder,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L2,main_link,GT_OR_PRED_MESH_MISSING,,,
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,0.07099143206854346,0.07674326236963773,0.15414462804649376
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,SUCCESS,0.33714285714285713,0.037534256114581305,0.09469172127234829
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-dcc2b0ce1e,L4,forearm,SUCCESS,0.29135338345864664,0.03808342932678675,0.08542871320808076
R2,dev_arm-ab15a75247,L0,base_or_shoulder,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-ab15a75247,L2,main_link,GT_OR_PRED_MESH_MISSING,,,
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,0.272572402044293,0.04282811473846525,0.10450359012473333
