version,case_id,link_id,stage,text_items,image_items,global_images,local_crop_images,paths_only_prompt,gt_geometry_used
R1,dev_arm-dcc2b0ce1e,L2,mechanical_feature_graph_v2,7,6,6,0,False,False
R1,dev_arm-dcc2b0ce1e,L3,mechanical_feature_graph_v2,7,6,6,0,False,False
R1,dev_arm-dcc2b0ce1e,L4,mechanical_feature_graph_v2,7,6,6,0,False,False
R1,dev_arm-ab15a75247,L0,mechanical_feature_graph_v2,7,6,6,0,False,False
R1,dev_arm-ab15a75247,L2,mechanical_feature_graph_v2,7,6,6,0,False,False
R1,dev_arm-ab15a75247,L4,mechanical_feature_graph_v2,7,6,6,0,False,False
R2,dev_arm-dcc2b0ce1e,L2,local_visual_observations,10,9,6,3,False,False
R2,dev_arm-dcc2b0ce1e,L2,mechanical_feature_graph_v2,10,9,6,3,False,False
R2,dev_arm-dcc2b0ce1e,L3,local_visual_observations,10,9,6,3,False,False
R2,dev_arm-dcc2b0ce1e,L3,mechanical_feature_graph_v2,10,9,6,3,False,False
R2,dev_arm-dcc2b0ce1e,L4,local_visual_observations,10,9,6,3,False,False
R2,dev_arm-dcc2b0ce1e,L4,mechanical_feature_graph_v2,10,9,6,3,False,False
R2,dev_arm-ab15a75247,L0,local_visual_observations,10,9,6,3,False,False
R2,dev_arm-ab15a75247,L0,mechanical_feature_graph_v2,10,9,6,3,False,False
R2,dev_arm-ab15a75247,L2,local_visual_observations,10,9,6,3,False,False
R2,dev_arm-ab15a75247,L2,mechanical_feature_graph_v2,10,9,6,3,False,False
R2,dev_arm-ab15a75247,L4,local_visual_observations,10,9,6,3,False,False
R2,dev_arm-ab15a75247,L4,mechanical_feature_graph_v2,10,9,6,3,False,False
