version,case_id,link_id,role,status,operation_count,native_success_count,semantic_match_count,fallback_count,fcstd_success,step_success,stl_success,execution_time_seconds,failure_stage,failure_reason
R1,dev_arm-dcc2b0ce1e,L2,upper_arm,FAILURE,9,8,8,0,False,False,False,0.6898353099822998,FREECAD_EXECUTION,FreeCADBackendError: native shape is null or invalid
R1,dev_arm-dcc2b0ce1e,L3,elbow_housing,FAILURE,11,10,10,0,False,False,False,0.35720014572143555,FREECAD_EXECUTION,FreeCADBackendError: native shape is null or invalid
R1,dev_arm-dcc2b0ce1e,L4,forearm,FAILURE,10,9,9,0,False,False,False,0.43142247200012207,FREECAD_EXECUTION,FreeCADBackendError: native shape is null or invalid
R1,dev_arm-ab15a75247,L0,base_or_shoulder,FAILURE,11,9,9,0,False,False,False,0.19286179542541504,FREECAD_EXECUTION,FreeCADBackendError: native shape is null or invalid
R1,dev_arm-ab15a75247,L2,main_link,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir_v1_2.json missing
R1,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,SUCCESS,9,9,9,0,True,True,True,0.15954875946044922,,
R2,dev_arm-dcc2b0ce1e,L2,upper_arm,FAILURE,12,11,11,0,False,False,False,1.778188705444336,FREECAD_EXECUTION,FreeCADBackendError: native shape is null or invalid
R2,dev_arm-dcc2b0ce1e,L3,elbow_housing,FAILURE,13,9,9,0,False,False,False,0.8392696380615234,FREECAD_EXECUTION,FreeCADBackendError: native shape is null or invalid
R2,dev_arm-dcc2b0ce1e,L4,forearm,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir_v1_2.json missing
R2,dev_arm-ab15a75247,L0,base_or_shoulder,IR_INCOMPLETE,0,0,0,0,False,False,False,0.0,IR_VALIDATION,executable_cad_ir_v1_2.json missing
R2,dev_arm-ab15a75247,L2,main_link,FAILURE,9,6,6,0,False,False,False,1.269840955734253,FREECAD_EXECUTION,FreeCADBackendError: native shape is null or invalid
R2,dev_arm-ab15a75247,L4,wrist_or_tool_side_link,FAILURE,10,8,8,0,False,False,False,0.16901564598083496,FREECAD_EXECUTION,FreeCADBackendError: native shape is null or invalid
