case_id,version,status,expected_components,reopened_components,valid_components,step_shape_valid,stl_facets,error
dev_arm-ab15a75247,V0,PASS,5,5,5,True,60,
dev_arm-ab15a75247,V1,PASS,5,5,5,True,4526,
dev_arm-ab15a75247,V2,PASS,5,5,5,True,14966,
dev_arm-dcc2b0ce1e,V0,PASS,10,10,10,True,120,
dev_arm-dcc2b0ce1e,V1,PASS,10,10,10,True,12188,
dev_arm-dcc2b0ce1e,V2,PASS,10,10,10,True,31342,
dev_arm-4c7b408826,V0,PASS,10,10,10,True,120,
dev_arm-4c7b408826,V1,PASS,10,10,10,True,12026,
dev_arm-4c7b408826,V2,PASS,10,10,10,True,31746,
dev_arm-43fa322555,V0,PASS,17,17,17,True,204,
dev_arm-43fa322555,V1,PASS,17,17,17,True,18366,
dev_arm-43fa322555,V2,PASS,17,17,17,True,52152,
dev_arm-551a9c392e,V0,PASS,21,21,21,True,252,
dev_arm-551a9c392e,V1,PASS,21,21,21,True,24640,
dev_arm-551a9c392e,V2,PASS,21,21,21,True,66258,
