case_id,version,execution_status,chamfer,hd95,hausdorff_max,voxel_iou,component_meshes,expected_links,canonical_component_correspondence
dev_arm-ab15a75247,V0,SUCCESS,0.004873695915300961,0.14077117707622364,0.24418298861043908,0.1987179487179487,5,5,True
dev_arm-ab15a75247,V1,SUCCESS,0.0018267822412578738,0.09579940161780509,0.15477454283111658,0.32753623188405795,5,5,True
dev_arm-ab15a75247,V2,SUCCESS,0.0015974780656830717,0.08887000562988451,0.14353265675171542,0.32664756446991405,5,5,True
dev_arm-4c7b408826,V0,SUCCESS,0.004443674773368976,0.13433286979660863,0.17630120578185285,0.19130434782608696,10,10,True
dev_arm-4c7b408826,V1,SUCCESS,0.0026510078014278012,0.10959209257264943,0.1437435690053097,0.2915766738660907,10,10,True
dev_arm-4c7b408826,V2,SUCCESS,0.002441059491143808,0.10467283907689946,0.143586966901745,0.30303030303030304,10,10,True
dev_arm-dcc2b0ce1e,V0,SUCCESS,0.004446381261670723,0.12925464507775414,0.1736637842671023,0.2417910447761194,10,10,True
dev_arm-dcc2b0ce1e,V1,SUCCESS,0.0004924200988454797,0.04796159902655928,0.0866951458581466,0.664,10,10,True
dev_arm-dcc2b0ce1e,V2,SUCCESS,0.0004271964785655624,0.040912055264839126,0.08000758900877666,0.615686274509804,10,10,True
dev_arm-43fa322555,V0,SUCCESS,0.0027512611904612367,0.11617097179071523,0.16477562232869444,0.3310104529616725,17,17,True
dev_arm-43fa322555,V1,SUCCESS,0.0005356439148577493,0.04947105284639849,0.0790966155583777,0.5758754863813229,17,17,True
dev_arm-43fa322555,V2,SUCCESS,0.0004880588822710206,0.0469949965177175,0.07584877536066559,0.6136363636363636,17,17,True
dev_arm-551a9c392e,V0,SUCCESS,0.0059581818559857405,0.16360457794533015,0.22528492167599248,0.17326732673267325,21,21,True
dev_arm-551a9c392e,V1,SUCCESS,0.006172624718474312,0.16767115289363665,0.23825411268873872,0.19708029197080293,21,21,True
dev_arm-551a9c392e,V2,SUCCESS,0.005757811623515975,0.16306150770373584,0.2262199978547565,0.2033096926713948,21,21,True
