case_id,version,status,links_expected,links_success,operation_count,fallback_count,component_count,fcstd,step,stl,elapsed_seconds,error_type,error
dev_arm-ab15a75247,V0,SUCCESS,5,5,5,0,5,True,True,True,0.27428174018859863,,
dev_arm-ab15a75247,V1,SUCCESS,5,5,20,0,5,True,True,True,1.0351381301879883,,
dev_arm-ab15a75247,V2,SUCCESS,5,5,30,0,5,True,True,True,1.3941428661346436,,
dev_arm-dcc2b0ce1e,V0,SUCCESS,10,10,10,0,10,True,True,True,0.41709256172180176,,
dev_arm-dcc2b0ce1e,V1,SUCCESS,10,10,40,0,10,True,True,True,2.133452892303467,,
dev_arm-dcc2b0ce1e,V2,SUCCESS,10,10,60,0,10,True,True,True,2.821747064590454,,
dev_arm-4c7b408826,V0,SUCCESS,10,10,10,0,10,True,True,True,0.5568437576293945,,
dev_arm-4c7b408826,V1,SUCCESS,10,10,40,0,10,True,True,True,2.4333088397979736,,
dev_arm-4c7b408826,V2,SUCCESS,10,10,60,0,10,True,True,True,3.240874767303467,,
dev_arm-43fa322555,V0,SUCCESS,17,17,17,0,17,True,True,True,0.8275370597839355,,
dev_arm-43fa322555,V1,SUCCESS,17,17,68,0,17,True,True,True,4.37656831741333,,
dev_arm-43fa322555,V2,SUCCESS,17,17,102,0,17,True,True,True,4.543297529220581,,
dev_arm-551a9c392e,V0,SUCCESS,21,21,21,0,21,True,True,True,0.7284975051879883,,
dev_arm-551a9c392e,V1,SUCCESS,21,21,84,0,21,True,True,True,5.1262030601501465,,
dev_arm-551a9c392e,V2,SUCCESS,21,21,126,0,21,True,True,True,6.2070982456207275,,
