case_id,version,execution_status,interfaces_expected,interfaces_evaluated,joint_center_surface_gap_median,joint_center_surface_gap_p95,disconnected_joint_rate,bbox_overlap_pairs,nonadjacent_bbox_overlap_pairs,bbox_overlap_volume_normalized,component_correspondence,canonical_placement_consistency,axis_angular_error_deg,axis_offset_error_mm,interference_metric_type
dev_arm-ab15a75247,V0,SUCCESS,4,4,0.23411975249598224,0.46053195037490074,0.5,2,0,0.00010158314616096786,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-ab15a75247,V1,SUCCESS,4,4,0.04484363800020036,0.12952706474440928,0.25,5,1,0.0032819266451125624,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-ab15a75247,V2,SUCCESS,4,4,0.03315551497448893,0.09990557922838732,0.25,5,1,0.004615475667150685,True,True,0.0,0.0,AABB_PROXY
dev_arm-4c7b408826,V0,SUCCESS,9,9,0.2359442514497873,0.43897756857362324,1.0,9,3,0.00026576179775764195,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-4c7b408826,V1,SUCCESS,9,9,0.10696514294825377,0.1308827834343697,0.0,14,5,0.0016926716685398459,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-4c7b408826,V2,SUCCESS,9,9,0.0929496676331828,0.11499237197249629,0.0,15,6,0.0035229487688082342,True,True,0.0,0.0,AABB_PROXY
dev_arm-dcc2b0ce1e,V0,SUCCESS,9,9,0.1814889773174196,0.4158623637805784,1.0,8,2,0.0007170841198592243,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-dcc2b0ce1e,V1,SUCCESS,9,9,0.02070649086735079,0.040940851911210774,0.0,17,8,0.002692670507073953,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-dcc2b0ce1e,V2,SUCCESS,9,9,0.025817371991557588,0.04175932593870573,0.0,17,8,0.004983691766009171,True,True,0.0,0.0,AABB_PROXY
dev_arm-43fa322555,V0,SUCCESS,16,16,0.11749465663808317,0.314637571776594,0.5625,22,10,0.0021663810581177725,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-43fa322555,V1,SUCCESS,16,16,0.021132092867573553,0.03335452167417723,0.0,36,20,0.005278859791139646,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-43fa322555,V2,SUCCESS,16,16,0.015886907938027814,0.03467485054941102,0.0,37,21,0.009867719327112045,True,True,0.0,0.0,AABB_PROXY
dev_arm-551a9c392e,V0,SUCCESS,20,20,0.5704011277193113,0.6603838335504665,0.8,34,17,0.004212077275358721,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-551a9c392e,V1,SUCCESS,20,20,0.540168472655024,0.6103604933067733,0.7,46,26,0.013733766003436437,True,True,UNAVAILABLE,UNAVAILABLE,AABB_PROXY
dev_arm-551a9c392e,V2,SUCCESS,20,20,0.5206544954640226,0.5908816579562404,0.7,50,30,0.02182001005943655,True,True,0.0,0.0,AABB_PROXY
