case_id,version,link_id,native_solid_features,has_loft,has_boolean,primitive_proxy,native_types
dev_arm-ab15a75247,V0,L0,1,0,0,1,Part::Box
dev_arm-ab15a75247,V0,L1,1,0,0,1,Part::Box
dev_arm-ab15a75247,V0,L2,1,0,0,1,Part::Box
dev_arm-ab15a75247,V0,L3,1,0,0,1,Part::Box
dev_arm-ab15a75247,V0,L4,1,0,0,1,Part::Box
dev_arm-ab15a75247,V1,L0,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-ab15a75247,V1,L1,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-ab15a75247,V1,L2,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-ab15a75247,V1,L3,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-ab15a75247,V1,L4,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-ab15a75247,V2,L0,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-ab15a75247,V2,L1,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-ab15a75247,V2,L2,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-ab15a75247,V2,L3,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-ab15a75247,V2,L4,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V0,L0,1,0,0,1,Part::Box
dev_arm-4c7b408826,V0,L1,1,0,0,1,Part::Box
dev_arm-4c7b408826,V0,L2,1,0,0,1,Part::Box
dev_arm-4c7b408826,V0,L3,1,0,0,1,Part::Box
dev_arm-4c7b408826,V0,L4,1,0,0,1,Part::Box
dev_arm-4c7b408826,V0,L5,1,0,0,1,Part::Box
dev_arm-4c7b408826,V0,L6,1,0,0,1,Part::Box
dev_arm-4c7b408826,V0,L7,1,0,0,1,Part::Box
dev_arm-4c7b408826,V0,L8,1,0,0,1,Part::Box
dev_arm-4c7b408826,V0,L9,1,0,0,1,Part::Box
dev_arm-4c7b408826,V1,L0,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V1,L1,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V1,L2,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V1,L3,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V1,L4,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V1,L5,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V1,L6,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V1,L7,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V1,L8,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V1,L9,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L0,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L1,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L2,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L3,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L4,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L5,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L6,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L7,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L8,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-4c7b408826,V2,L9,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V0,L0,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V0,L1,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V0,L2,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V0,L3,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V0,L4,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V0,L5,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V0,L6,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V0,L7,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V0,L8,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V0,L9,1,0,0,1,Part::Box
dev_arm-dcc2b0ce1e,V1,L0,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V1,L1,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V1,L2,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V1,L3,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V1,L4,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V1,L5,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V1,L6,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V1,L7,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V1,L8,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V1,L9,5,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L0,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L1,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L2,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L3,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L4,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L5,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L6,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L7,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L8,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-dcc2b0ce1e,V2,L9,9,1,1,0,Part::Loft;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Cylinder;Part::Fuse;Part::Fuse;Part::Fuse;Part::Fuse
dev_arm-43fa322555,V0,L0,1,0,0,1,Part::Box
dev_arm-43fa322555,V0,L1,1,0,0,1,Part::Box
dev_arm-43fa322555,V0,L2,1,0,0,1,Part::Box
