case_id,version,link_id,gt_link_index,status,chamfer,hd95,hausdorff_max,voxel_iou
dev_arm-ab15a75247,V0,L0,0,SUCCESS,0.009359737823905421,0.18585317631357334,0.23664404593421223,0.057692307692307696
dev_arm-ab15a75247,V0,L1,1,SUCCESS,0.004180639080842675,0.12870246626941514,0.16558499028181795,0.045454545454545456
dev_arm-ab15a75247,V0,L2,2,SUCCESS,0.029273352879829913,0.3084235287434866,0.3695461701551721,0.0
dev_arm-ab15a75247,V0,L3,3,SUCCESS,0.03209444301830077,0.4171192456196337,0.46003268694251104,0.15151515151515152
dev_arm-ab15a75247,V0,L4,4,SUCCESS,0.01295028221863327,0.19467562536129265,0.24651849706930412,0.0
dev_arm-ab15a75247,V1,L0,0,SUCCESS,0.004381421163986561,0.12116715362927676,0.1546720163901858,0.23387096774193547
dev_arm-ab15a75247,V1,L1,1,SUCCESS,0.002229627924983212,0.09514266861381467,0.13966093030443458,0.18461538461538463
dev_arm-ab15a75247,V1,L2,2,SUCCESS,0.003021787749215944,0.09693461794098927,0.12502901383194345,0.13761467889908258
dev_arm-ab15a75247,V1,L3,3,SUCCESS,0.0030025316694742453,0.11775107979568673,0.14668856482064813,0.28688524590163933
dev_arm-ab15a75247,V1,L4,4,SUCCESS,0.0013753730006496171,0.07377938586349637,0.14672929949750715,0.22
dev_arm-ab15a75247,V2,L0,0,SUCCESS,0.004089067460184975,0.11271720497953408,0.14560338178929896,0.2
dev_arm-ab15a75247,V2,L1,1,SUCCESS,0.0016302127493608076,0.08229120839821243,0.12523431898801696,0.24615384615384617
dev_arm-ab15a75247,V2,L2,2,SUCCESS,0.003241684122307292,0.09818622213779192,0.1300411367898561,0.1271186440677966
dev_arm-ab15a75247,V2,L3,3,SUCCESS,0.0023841706545560774,0.10662769271289325,0.1368341496754197,0.2845528455284553
dev_arm-ab15a75247,V2,L4,4,SUCCESS,0.0007385934006850627,0.05399563597155336,0.12426669729533335,0.3125
dev_arm-4c7b408826,V0,L0,0,SUCCESS,0.0030648141243844163,0.12132382209287879,0.14522697500132484,0.33663366336633666
dev_arm-4c7b408826,V0,L1,1,SUCCESS,0.00940651601006509,0.19758163131735015,0.23775884492194885,0.08088235294117647
dev_arm-4c7b408826,V0,L2,2,SUCCESS,0.005810188082627338,0.1572152273031455,0.1932588995830033,0.1
dev_arm-4c7b408826,V0,L3,3,SUCCESS,0.01595271051570428,0.22883925021987792,0.25563930729225565,0.0
dev_arm-4c7b408826,V0,L4,4,SUCCESS,0.059673770772084765,0.4355018695963391,0.46326245795512133,0.0
dev_arm-4c7b408826,V0,L5,5,SUCCESS,0.008557303071488501,0.15620410954116942,0.17068317720679763,0.0
dev_arm-4c7b408826,V0,L6,6,SUCCESS,0.013850037889870815,0.1345352622228864,0.13819639149866852,0.0
dev_arm-4c7b408826,V0,L7,7,GT_LINK_MESH_MISSING,,,,
dev_arm-4c7b408826,V0,L8,8,GT_LINK_MESH_MISSING,,,,
dev_arm-4c7b408826,V0,L9,9,GT_LINK_MESH_MISSING,,,,
dev_arm-4c7b408826,V1,L0,0,SUCCESS,0.005385375219040478,0.16616062042648636,0.19335566321812928,0.3225806451612903
dev_arm-4c7b408826,V1,L1,1,SUCCESS,0.005674913418092552,0.13757843113823431,0.1623404222535484,0.07352941176470588
dev_arm-4c7b408826,V1,L2,2,SUCCESS,0.008582524975635341,0.13237014176443165,0.1435412978300301,0.041237113402061855
dev_arm-4c7b408826,V1,L3,3,SUCCESS,0.005023792792762783,0.13222391373936057,0.15892117789415583,0.11363636363636363
dev_arm-4c7b408826,V1,L4,4,SUCCESS,0.00483476174071505,0.14901442364482198,0.18153287344437583,0.16901408450704225
dev_arm-4c7b408826,V1,L5,5,SUCCESS,0.0011776105276698672,0.06686221352181562,0.08114439801804069,0.22580645161290322
dev_arm-4c7b408826,V1,L6,6,SUCCESS,0.0032481980257890817,0.0853579154508167,0.09676672480679242,0.0
dev_arm-4c7b408826,V1,L7,7,GT_LINK_MESH_MISSING,,,,
dev_arm-4c7b408826,V1,L8,8,GT_LINK_MESH_MISSING,,,,
dev_arm-4c7b408826,V1,L9,9,GT_LINK_MESH_MISSING,,,,
dev_arm-4c7b408826,V2,L0,0,SUCCESS,0.005657680205080552,0.18163554378108918,0.20684864830034108,0.33070866141732286
dev_arm-4c7b408826,V2,L1,1,SUCCESS,0.005439132591741436,0.13903306722196493,0.15904170683466823,0.11764705882352941
dev_arm-4c7b408826,V2,L2,2,SUCCESS,0.007028424908901596,0.12155132869489595,0.13560056673913407,0.07368421052631578
dev_arm-4c7b408826,V2,L3,3,SUCCESS,0.0047396962486778,0.1323328639293429,0.15887307987314989,0.13333333333333333
dev_arm-4c7b408826,V2,L4,4,SUCCESS,0.005087641716291649,0.15391479426444274,0.18053623909346575,0.1791044776119403
dev_arm-4c7b408826,V2,L5,5,SUCCESS,0.0010708601792723173,0.059829017750511665,0.0736492438978049,0.24242424242424243
dev_arm-4c7b408826,V2,L6,6,SUCCESS,0.0035458108821344652,0.09021631916607634,0.10366061989434727,0.0
dev_arm-4c7b408826,V2,L7,7,GT_LINK_MESH_MISSING,,,,
dev_arm-4c7b408826,V2,L8,8,GT_LINK_MESH_MISSING,,,,
dev_arm-4c7b408826,V2,L9,9,GT_LINK_MESH_MISSING,,,,
dev_arm-dcc2b0ce1e,V0,L0,0,SUCCESS,0.003518917765749754,0.11540307656935825,0.13123715339609468,0.2872340425531915
dev_arm-dcc2b0ce1e,V0,L1,1,SUCCESS,0.005994762372557203,0.16337579348530568,0.1898106085793157,0.07692307692307693
dev_arm-dcc2b0ce1e,V0,L2,2,SUCCESS,0.024667183961563668,0.3475545107901215,0.40257621674442967,0.08783783783783784
dev_arm-dcc2b0ce1e,V0,L3,3,SUCCESS,0.008875835129842139,0.15670957693961998,0.16932240301939627,0.0
dev_arm-dcc2b0ce1e,V0,L4,4,SUCCESS,0.03079019696145288,0.3145856568193792,0.3500107959097086,0.0
dev_arm-dcc2b0ce1e,V0,L5,5,SUCCESS,0.005648122510126807,0.09887900777301666,0.11066078061173094,0.0
dev_arm-dcc2b0ce1e,V0,L6,6,SUCCESS,0.007812840657852945,0.1120916692343953,0.11842631232913445,0.0
dev_arm-dcc2b0ce1e,V0,L7,7,GT_LINK_MESH_MISSING,,,,
dev_arm-dcc2b0ce1e,V0,L8,8,GT_LINK_MESH_MISSING,,,,
dev_arm-dcc2b0ce1e,V0,L9,9,GT_LINK_MESH_MISSING,,,,
dev_arm-dcc2b0ce1e,V1,L0,0,SUCCESS,0.0035017420003378894,0.15292067022065794,0.1775696583300646,0.3854166666666667
dev_arm-dcc2b0ce1e,V1,L1,1,SUCCESS,0.0037829952951575533,0.1171927818545151,0.13744773957940662,0.02857142857142857
dev_arm-dcc2b0ce1e,V1,L2,2,SUCCESS,0.0004968573624259355,0.049526681780937075,0.06784230968822681,0.7358490566037735
