case_id,version,agent_provider,exact_model_snapshot,agent_calls,input_tokens,output_tokens,total_tokens,planning_wall_seconds,freecad_operations,freecad_elapsed_seconds,fallbacks
dev_arm-ab15a75247,V0,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,5,0.27428174018859863,0
dev_arm-ab15a75247,V1,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,20,1.0351381301879883,0
dev_arm-ab15a75247,V2,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,30,1.3941428661346436,0
dev_arm-dcc2b0ce1e,V0,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,10,0.41709256172180176,0
dev_arm-dcc2b0ce1e,V1,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,40,2.133452892303467,0
dev_arm-dcc2b0ce1e,V2,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,60,2.821747064590454,0
dev_arm-4c7b408826,V0,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,10,0.5568437576293945,0
dev_arm-4c7b408826,V1,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,40,2.4333088397979736,0
dev_arm-4c7b408826,V2,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,60,3.240874767303467,0
dev_arm-43fa322555,V0,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,17,0.8275370597839355,0
dev_arm-43fa322555,V1,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,68,4.37656831741333,0
dev_arm-43fa322555,V2,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,102,4.543297529220581,0
dev_arm-551a9c392e,V0,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21,0.7284975051879883,0
dev_arm-551a9c392e,V1,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,84,5.1262030601501465,0
dev_arm-551a9c392e,V2,interactive_codex_gpt5_family,UNAVAILABLE,UNAVAILABLE_INTERACTIVE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,126,6.2070982456207275,0
