stage,version,case_id,status,items
visual_observer,shared,dev_arm-ab15a75247,SUCCESS,5
planning,V0,dev_arm-ab15a75247,SUCCESS,5
planning,V1,dev_arm-ab15a75247,SUCCESS,5
planning,V2,dev_arm-ab15a75247,SUCCESS,5
visual_observer,shared,dev_arm-4c7b408826,SUCCESS,10
planning,V0,dev_arm-4c7b408826,SUCCESS,10
planning,V1,dev_arm-4c7b408826,SUCCESS,10
planning,V2,dev_arm-4c7b408826,SUCCESS,10
visual_observer,shared,dev_arm-dcc2b0ce1e,SUCCESS,10
planning,V0,dev_arm-dcc2b0ce1e,SUCCESS,10
planning,V1,dev_arm-dcc2b0ce1e,SUCCESS,10
planning,V2,dev_arm-dcc2b0ce1e,SUCCESS,10
visual_observer,shared,dev_arm-43fa322555,SUCCESS,17
planning,V0,dev_arm-43fa322555,SUCCESS,17
planning,V1,dev_arm-43fa322555,SUCCESS,17
planning,V2,dev_arm-43fa322555,SUCCESS,17
visual_observer,shared,dev_arm-551a9c392e,SUCCESS,21
planning,V0,dev_arm-551a9c392e,SUCCESS,21
planning,V1,dev_arm-551a9c392e,SUCCESS,21
planning,V2,dev_arm-551a9c392e,SUCCESS,21
