case_id,version,link_id,planned_visible_features,executed_visible_features,objective_feature_recall,evidence_refs_present
dev_arm-ab15a75247,V0,L0,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V0,L1,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V0,L2,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V0,L3,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V0,L4,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V1,L0,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V1,L1,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V1,L2,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V1,L3,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V1,L4,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V2,L0,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V2,L1,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V2,L2,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V2,L3,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-ab15a75247,V2,L4,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L0,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L1,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L2,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L3,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L4,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L5,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L6,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L7,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L8,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V0,L9,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L0,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L1,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L2,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L3,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L4,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L5,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L6,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L7,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L8,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V1,L9,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L0,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L1,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L2,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L3,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L4,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L5,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L6,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L7,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L8,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-4c7b408826,V2,L9,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L0,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L1,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L2,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L3,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L4,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L5,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L6,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L7,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L8,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V0,L9,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L0,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L1,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L2,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L3,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L4,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L5,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L6,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L7,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L8,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V1,L9,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L0,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L1,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L2,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L3,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L4,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L5,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L6,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L7,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L8,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-dcc2b0ce1e,V2,L9,1,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L0,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L1,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L2,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L3,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L4,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L5,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L6,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L7,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L8,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L9,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L10,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L11,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
dev_arm-43fa322555,V0,L12,0,0,UNAVAILABLE_NO_INDEPENDENT_LABELS,1
