case_id,link_id,view,crop_kind,crop_path,bbox_px,localization_method,gt_geometry_used
dev_arm-ab15a75247,L0,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L0\front_link_crop.png,"[0, 86, 217, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L0,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L0\front_proximal_joint_crop.png,"[0, 86, 163, 312]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L0,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L0\front_distal_joint_crop.png,"[8, 85, 171, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L0,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L0\isometric_link_crop.png,"[10, 0, 182, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L0,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L0\isometric_proximal_joint_crop.png,"[16, 0, 145, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L0,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L0\isometric_distal_joint_crop.png,"[52, 0, 181, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L1,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L1\front_link_crop.png,"[11, 85, 228, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L1,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L1\front_proximal_joint_crop.png,"[8, 85, 171, 311]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L1,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L1\front_distal_joint_crop.png,"[68, 84, 231, 310]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-ab15a75247,L1,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-ab15a75247\crops\L1\isometric_link_crop.png,"[50, 0, 222, 322]",silhouette_bbox_plus_urdf_link_order,False
