part_id,condition,mfr_trace,mechanical_feature_precision_trace,critical_feature_recall_trace,cad_valid,editability_pass
R02_P02,A0,1.0,1.0,1.0,True,True
R02_P02,A1,1.0,1.0,1.0,True,True
R02_P02,A2,1.0,1.0,1.0,True,True
R02_P04,A0,1.0,1.0,1.0,True,True
R02_P04,A1,1.0,1.0,1.0,True,True
R02_P04,A2,1.0,1.0,1.0,True,True
R02_P05,A0,1.0,1.0,1.0,True,True
R02_P05,A1,1.0,1.0,1.0,True,True
R02_P05,A2,1.0,1.0,1.0,True,True
R02_P06,A0,1.0,1.0,1.0,True,True
R02_P06,A1,1.0,1.0,1.0,True,True
R02_P06,A2,1.0,1.0,1.0,True,True
