part_id,condition,target_node_count,predicted_node_count,component_region_count_accuracy,branch_fork_accuracy,opening_gap_recall,topology_relation_f1,topology_node_role_f1,realized_node_fraction
R02_P02,A0,7,4,0.5714285714285714,0.0,0.0,0.0,0.18181818181818182,1.0
R02_P02,A1,7,7,1.0,1.0,1.0,1.0,1.0,1.0
R02_P02,A2,7,7,1.0,1.0,1.0,1.0,1.0,1.0
R02_P04,A0,6,4,0.6666666666666667,1.0,0.0,0.0,0.0,1.0
R02_P04,A1,6,6,1.0,1.0,1.0,1.0,1.0,1.0
R02_P04,A2,6,6,1.0,1.0,1.0,1.0,1.0,1.0
R02_P05,A0,6,5,0.8333333333333334,0.0,0.0,0.0,0.0,1.0
R02_P05,A1,6,6,1.0,1.0,1.0,1.0,1.0,1.0
R02_P05,A2,6,6,1.0,1.0,1.0,1.0,1.0,1.0
R02_P06,A0,10,6,0.6,1.0,0.0,0.0,0.0,1.0
R02_P06,A1,10,10,1.0,1.0,1.0,1.0,1.0,1.0
R02_P06,A2,10,10,1.0,1.0,1.0,1.0,1.0,1.0
