joint_id,a0_connected,a1_connected,a0_gap_mm,a1_gap_mm,a0_radius_mismatch_mm,a1_radius_mismatch_mm,a0_penetration_mm,a1_penetration_mm
J00,True,True,0,0,4,10.5,19.0,19.6875
J01,True,True,0,0,5,6.0,18.0,13.5
J02,True,True,0,0,4,1.5,17.0,10.6875
J03,True,True,0,0,5,4.5,17.5,11.8125
J04,True,True,0,0,7,10.5,12.0,9.75
J05,True,True,0,0,3,1.5,10.0,6.0
J06,True,True,0,0,3,1.5,8.0,6.375
J07,True,True,0,0,3,1.5,9.5,7.3125
J08,False,False,15.5,19.0625,2,5.1000000000000005,0,0
J09,False,False,15.5,19.0625,1,5.1000000000000005,0,0
J10,True,True,0,0,4,7.5,7.0,6.9375
