link_id,status,returncode,elapsed_seconds,operations,fallbacks,error
L00,SUCCESS,0,7.241859674453735,4,0,
L01,SUCCESS,0,7.200227975845337,4,0,
L02,SUCCESS,0,7.241673946380615,5,0,
L03,SUCCESS,0,7.229261636734009,5,0,
L04,SUCCESS,0,7.213663816452026,3,0,
L05,SUCCESS,0,7.306769371032715,6,0,
L06,SUCCESS,0,7.245318412780762,2,0,
L07,SUCCESS,0,7.201299667358398,3,0,
L08,SUCCESS,0,7.187737226486206,5,0,
L09,SUCCESS,0,7.18153190612793,2,0,
L10,SUCCESS,0,7.184880256652832,2,0,
L11,SKIPPED_VIRTUAL_FRAME,0,0,0,0,
