link_id,a1_body_ops,a2_body_ops,a1_final_objects,a2_final_objects,a1_volume_mm3,a2_volume_mm3,volume_ratio_a2_a1,a1_extent_mm,a2_extent_mm,missing_body
L00,1,1,2,2,748286.2490486315,676259.2512979954,0.9037440580496956,"[125.0, 124.96115112304688, 62.61249923706055]","[125.0, 124.96115112304688, 63.04999923706055]",False
L01,1,1,3,3,332137.56566353043,320214.71311626263,0.964102667750187,"[70.0, 69.97824096679688, 100.74347305297852]","[70.0, 69.97824096679688, 96.49479293823242]",False
L02,2,2,4,4,119726.84611636937,115748.29203566759,0.9667697412087946,"[65.0, 63.0, 129.9906759262085]","[66.1500015258789, 63.0, 131.14032077789307]",False
L03,1,1,3,3,155535.47080171717,152869.11701540634,0.9828569407829164,"[127.0, 32.0, 45.0]","[129.55000114440918, 32.0, 45.0]",False
L04,1,1,3,3,224031.26404608603,204975.1340241784,0.9149398629559687,"[87.75, 52.0, 60.0]","[81.77499961853027, 52.0, 60.0]",False
L05,1,1,4,4,6602.238073099037,5184.409254871358,0.7852502738420395,"[11.5, 25.0, 25.0]","[13.375, 25.0, 25.0]",False
L06,1,1,2,2,8475.262744146838,8517.059332816216,1.0049315979847637,"[25.0, 19.97433090209961, 19.94869327545166]","[25.0, 19.97433090209961, 19.94869327545166]",False
L07,1,1,3,3,36537.91706881309,34819.898783678356,0.952979851536169,"[29.75, 18.0, 80.0]","[31.75, 20.679157257080078, 80.0]",False
L08,2,2,6,6,50230.05158110039,43051.52664912879,0.8570870483702111,"[45.5, 62.5, 22.5]","[41.510000228881836, 86.5999984741211, 22.5]",False
L09,1,1,2,2,8753.805438654874,8729.60461117425,0.9972353934925539,"[60.37826108932495, 18.0, 12.0]","[60.736812114715576, 18.0, 12.0]",False
L10,1,1,2,2,8753.805438654874,8729.60461117425,0.9972353934925539,"[60.37826108932495, 18.0, 12.0]","[60.736812114715576, 18.0, 12.0]",False
L11,1,1,2,2,337.11607755587033,281.0127433871581,0.8335785864160862,"[6.0, 6.0, 6.0]","[6.0, 6.0, 6.0]",False
