edge,consumer,fields,source_sha256,status
L0_to_L1,L00,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L01,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L02,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L03,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L04,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L05,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L06,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L07,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L08,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L09,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L10,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L1,L11,parent_joint_record;child_joint_records;canonical_world_transform,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
L0_to_L2,J00,joint topology;origin;axis;limits;world frame,f381d6f7da5fe3a5ee72161825f390c11b9c4dc3d28bdabffc4d2976a5ff6879,CONSUMED
