condition,joint_id,type,parent,child,connected_from_ports,complementary_geometry,adjacent_aabb_distance_mm,adjacent_aabb_overlap_mm3,parent_interface_center_error_mm,child_interface_center_error_mm,parent_axis_angular_error_deg,child_axis_angular_error_deg,coaxiality_axis_offset_mm,interface_center_separation_mm,expected_prismatic_travel_mm,interface_radius_mismatch_mm,realized_radial_clearance_mm,target_gap_error_mm,interface_gap_mm,interface_axial_penetration_mm,adjacent_contact_in_expected_region
A0,J00,revolute,L00,L01,True,False,0.0,98465.38429078,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0,19.0,True
A0,J01,revolute,L01,L02,True,False,0.0,83246.21146735942,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0.0,0,18.0,True
A0,J02,revolute,L02,L03,True,False,0.0,50493.88818487153,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0,17.0,True
A0,J03,revolute,L03,L04,True,False,0.0,52416.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0.0,0,17.5,True
A0,J04,fixed,L04,L05,True,False,0.0,7488.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0.0,0,12.0,True
A0,J05,continuous,L05,L06,True,False,0.0,8352.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0,10.0,True
A0,J06,fixed,L05,L07,True,False,0.0,7722.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0,8.0,True
A0,J07,fixed,L07,L08,True,False,0.0,19175.00375366211,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0,9.5,True
A0,J08,prismatic,L08,L09,False,False,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,2,0.0,0.0,15.5,0,False
A0,J09,prismatic,L08,L10,False,False,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,1,0.0,0.0,15.5,0,False
A0,J10,fixed,L08,L11,True,False,0.0,615.3022770881653,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0,7.0,True
A1,J00,revolute,L00,L01,True,False,0.0,241556.1368000207,0.0,0.0,0.0,0.0,0.0,0.0,0,10.5,0.0,0.0,0,19.6875,True
A1,J01,revolute,L01,L02,True,False,0.0,113364.75319862366,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0,13.5,True
A1,J02,revolute,L02,L03,True,False,0.0,34195.74865722657,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,0,10.6875,True
A1,J03,revolute,L03,L04,True,False,0.0,45360.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,4.5,0.0,0.0,0,11.8125,True
A1,J04,fixed,L04,L05,True,False,0.0,6093.75,0.0,0.0,0.0,0.0,0.0,0.0,0,10.5,0.0,0.0,0,9.75,True
A1,J05,continuous,L05,L06,True,False,0.0,4582.310706306149,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,0,6.0,True
A1,J06,fixed,L05,L07,True,False,0.0,5175.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,0,6.375,True
A1,J07,fixed,L07,L08,True,False,0.0,5619.375,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,0,7.3125,True
A1,J08,prismatic,L08,L09,False,False,0.0,6904.682646274567,0.0,0.0,0.0,0.0,0.0,26.0,26.0,5.1000000000000005,0.0,0.0,19.0625,0,False
A1,J09,prismatic,L08,L10,False,False,0.0,6904.682646274567,0.0,0.0,0.0,0.0,0.0,26.0,26.0,5.1000000000000005,0.0,0.0,19.0625,0,False
A1,J10,fixed,L08,L11,True,False,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.5,0.0,0.0,0,6.9375,True
A2,J00,revolute,L00,L01,True,True,0.0,243699.22042962885,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.2,0,0,True
A2,J01,revolute,L01,L02,True,True,0.0,105193.0401391983,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.2,0,0,True
A2,J02,revolute,L02,L03,True,True,0.0,35597.39156415873,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.2,0,0,True
A2,J03,revolute,L03,L04,True,True,0.0,42552.001647949226,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.2,0,0,True
A2,J04,fixed,L04,L05,True,True,0.0,5468.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.3,0,0,True
A2,J05,continuous,L05,L06,True,True,0.0,5329.426582334325,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.2,0,0,True
A2,J06,fixed,L05,L07,True,True,0.0,6462.236642837524,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.3,0,0,True
A2,J07,fixed,L07,L08,True,True,0.0,5471.705116717767,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.3,0,0,True
A2,J08,prismatic,L08,L09,True,True,0.0,8799.151416778564,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.3,0.2,0,0,True
A2,J09,prismatic,L08,L10,True,True,0.0,8799.151416778564,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.3,0.2,0,0,True
A2,J10,fixed,L08,L11,True,True,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,0.3,0,0,True
