link_id,revision_id,geometry_hash,vertices,faces,tessellation_mm
L00,d10eb7eecc8132ff3d7739726d86f787291452699918086ef0cf2865933e23b8,d10eb7eecc8132ff3d7739726d86f787291452699918086ef0cf2865933e23b8,2320,4658,0.35
L01,1ced74eff6ccf14a517916263a109347a1f3eb57452ac3feef4e9584b498494a,1ced74eff6ccf14a517916263a109347a1f3eb57452ac3feef4e9584b498494a,3622,7244,0.35
L02,8d1116fde461ce8233cd0743b90063a3585a8b82e2a2948865b98004f960b508,8d1116fde461ce8233cd0743b90063a3585a8b82e2a2948865b98004f960b508,3161,6326,0.35
L03,d2dccfdeafe01e36f0ac4c0740a45e298624c365b1dfa72f76da97f5c6c4674c,d2dccfdeafe01e36f0ac4c0740a45e298624c365b1dfa72f76da97f5c6c4674c,3779,7570,0.35
L04,ec9bee11993e80137cd2a754ba4c006afb4801ac543e642abae3e3112777ce71,ec9bee11993e80137cd2a754ba4c006afb4801ac543e642abae3e3112777ce71,2549,5094,0.35
L05,337a8a46a8f4e4bfb958f6ec3a04a96ddb312f7369f50fa7af82360701f60745,337a8a46a8f4e4bfb958f6ec3a04a96ddb312f7369f50fa7af82360701f60745,2769,5533,0.35
L06,0a88959d7b9ca08d08a86833515f6c910ccb9fdc8752002b51a31be0949e304f,0a88959d7b9ca08d08a86833515f6c910ccb9fdc8752002b51a31be0949e304f,2021,4038,0.35
L07,6ee9bbf9be060eb4748ba2a4da2d3094600085102f4ac8ffecf3b6719e3f93ef,6ee9bbf9be060eb4748ba2a4da2d3094600085102f4ac8ffecf3b6719e3f93ef,1008,2004,0.35
L08,6bb310d2252905bb40a59545d26c5ebc99817e461a0a24bd953183cd46d891e0,6bb310d2252905bb40a59545d26c5ebc99817e461a0a24bd953183cd46d891e0,522,1028,0.35
L09,e547d70cc0c788e5ac4aca3c3a9bfbe9b61cd0ff2777cf017c5d722856e17b4b,e547d70cc0c788e5ac4aca3c3a9bfbe9b61cd0ff2777cf017c5d722856e17b4b,774,1548,0.35
L10,60676a24039e290bddab9c88182dd30f2a293b09d9493728cee381f97d6e872f,60676a24039e290bddab9c88182dd30f2a293b09d9493728cee381f97d6e872f,774,1548,0.35
