config_id,exact_collision_free,fast_collision_free,agreement
sobol_000,1,1,1
sobol_001,1,1,1
sobol_002,1,1,1
sobol_003,1,1,1
sobol_004,1,1,1
sobol_005,1,1,1
sobol_006,1,1,1
sobol_007,1,1,1
sobol_008,1,1,1
sobol_009,1,1,1
sobol_010,1,1,1
sobol_011,0,0,1
sobol_012,1,1,1
sobol_013,1,1,1
sobol_014,0,0,1
sobol_015,1,1,1
sobol_016,1,1,1
sobol_017,1,1,1
sobol_018,0,0,1
sobol_019,1,1,1
sobol_020,1,1,1
sobol_021,0,0,1
sobol_022,1,1,1
sobol_023,1,1,1
sobol_024,1,1,1
sobol_025,1,1,1
sobol_026,1,1,1
sobol_027,1,1,1
sobol_028,1,1,1
sobol_029,1,1,1
sobol_030,1,1,1
sobol_031,1,1,1
sobol_032,1,1,1
sobol_033,1,1,1
sobol_034,1,1,1
sobol_035,1,1,1
sobol_036,1,1,1
sobol_037,1,1,1
sobol_038,1,1,1
sobol_039,1,1,1
sobol_040,1,1,1
sobol_041,1,1,1
sobol_042,1,1,1
sobol_043,1,1,1
sobol_044,1,1,1
sobol_045,1,1,1
sobol_046,1,1,1
sobol_047,0,0,1
sobol_048,1,1,1
sobol_049,1,1,1
sobol_050,1,1,1
sobol_051,1,1,1
sobol_052,1,1,1
sobol_053,1,1,1
sobol_054,1,1,1
sobol_055,1,1,1
sobol_056,1,1,1
sobol_057,1,1,1
sobol_058,1,1,1
sobol_059,1,1,1
sobol_060,1,1,1
sobol_061,1,1,1
sobol_062,1,1,1
sobol_063,1,1,1
sobol_064,1,1,1
sobol_065,1,1,1
sobol_066,1,1,1
sobol_067,1,1,1
sobol_068,1,1,1
sobol_069,1,1,1
sobol_070,1,1,1
sobol_071,1,1,1
sobol_072,1,1,1
sobol_073,1,1,1
sobol_074,1,1,1
sobol_075,1,1,1
sobol_076,1,1,1
sobol_077,0,0,1
sobol_078,1,1,1
sobol_079,1,1,1
sobol_080,1,1,1
sobol_081,0,0,1
sobol_082,1,1,1
sobol_083,1,1,1
sobol_084,1,1,1
sobol_085,1,1,1
sobol_086,1,1,1
sobol_087,1,1,1
sobol_088,1,1,1
sobol_089,1,1,1
sobol_090,1,1,1
sobol_091,1,1,1
sobol_092,1,1,1
sobol_093,1,1,1
sobol_094,1,1,1
sobol_095,0,0,1
sobol_096,1,1,1
sobol_097,1,1,1
sobol_098,1,1,1
sobol_099,1,1,1
sobol_100,1,1,1
sobol_101,1,1,1
sobol_102,1,1,1
sobol_103,1,1,1
sobol_104,1,1,1
sobol_105,1,1,1
sobol_106,1,1,1
sobol_107,0,0,1
sobol_108,0,0,1
sobol_109,1,1,1
sobol_110,1,1,1
sobol_111,1,1,1
sobol_112,1,1,1
sobol_113,1,1,1
sobol_114,1,1,1
sobol_115,1,1,1
sobol_116,1,1,1
sobol_117,0,0,1
sobol_118,1,1,1
sobol_119,1,1,1
sobol_120,1,1,1
sobol_121,1,1,1
sobol_122,1,1,1
sobol_123,1,1,1
sobol_124,1,1,1
sobol_125,1,1,1
sobol_126,1,1,1
sobol_127,1,1,1
