pair,exact_collision_poses,fast_collision_poses,exact_repair_target,fast_repair_target
L00|L01,0,0,0,0
L00|L02,0,0,0,0
L00|L03,5,5,1,1
L00|L04,6,6,1,1
L00|L05,1,1,1,1
L00|L06,1,1,1,1
L00|L07,1,1,1,1
L00|L08,1,1,1,1
L00|L09,0,0,0,0
L00|L10,0,0,0,0
L01|L02,0,0,0,0
L01|L03,3,3,1,1
L01|L04,6,6,1,1
L01|L05,4,4,1,1
L01|L06,3,3,1,1
L01|L07,0,0,0,0
L01|L08,3,3,1,1
L01|L09,0,0,0,0
L01|L10,2,2,1,1
L02|L03,0,0,0,0
L02|L04,2,2,1,1
L02|L05,2,2,1,1
L02|L06,3,3,1,1
L02|L07,2,2,1,1
L02|L08,1,1,1,1
L02|L09,0,0,0,0
L02|L10,0,0,0,0
L03|L04,0,0,0,0
L03|L05,0,0,0,0
L03|L06,0,0,0,0
L03|L07,0,0,0,0
L03|L08,0,0,0,0
L03|L09,0,0,0,0
L03|L10,0,0,0,0
L04|L05,0,0,0,0
L04|L06,0,0,0,0
L04|L07,0,0,0,0
L04|L08,0,0,0,0
L04|L09,0,0,0,0
L04|L10,0,0,0,0
L05|L06,0,0,0,0
L05|L07,0,0,0,0
L05|L08,0,0,0,0
L05|L09,0,0,0,0
L05|L10,0,0,0,0
L06|L07,0,0,0,0
L06|L08,0,0,0,0
L06|L09,0,0,0,0
L06|L10,0,0,0,0
L07|L08,0,0,0,0
L07|L09,0,0,0,0
L07|L10,0,0,0,0
L08|L09,0,0,0,0
L08|L10,0,0,0,0
L09|L10,0,0,0,0
