link_a,link_b,events,volume_mm3
L00,L01,13,262648.84281829995
L03,L04,13,57196.6737822155
L06,L07,13,20829.10493063784
L08,L10,13,15899.459299178932
L08,L09,13,15614.952228725655
L02,L03,13,12081.18343938885
L05,L06,13,11531.425231603558
L07,L08,13,9518.896583713451
L04,L07,11,8511.991731293654
L04,L05,11,7800.855715595923
L00,L04,1,4981.966668974249
L00,L07,1,4075.221017519583
L04,L06,13,2966.6552935341015
L01,L04,1,2093.3299627339807
L00,L06,1,1289.0749132207502
L00,L05,1,1107.6037724552689
L05,L07,13,485.42325889126704
L01,L02,13,397.79400485339886
L01,L07,1,99.1126320680968
L00,L08,1,93.91456230662057
L01,L03,1,20.35453455963049
