link_id,carrier_id,classification,included_in_bicr,body_target_object,minimum_distance_mm,intersection_volume_mm3
L00,IF_J00,OVERLAPPING_SEPARATE_SOLID,True,op_004,0.0,567.1654662204219
L01,IF_J00,OVERLAPPING_SEPARATE_SOLID,True,op_005,0.0,20396.174551271626
L01,IF_J01,POSITIVE_GAP,True,op_005,3.0,0.0
L02,IF_J01,OVERLAPPING_SEPARATE_SOLID,True,op_005,0.0,320.2514875378797
L02,IF_J02,OVERLAPPING_SEPARATE_SOLID,True,op_006,0.0,12.26622541814238
L03,IF_J02,OVERLAPPING_SEPARATE_SOLID,True,op_005,0.0,3890.4772183660048
L03,IF_J03,OVERLAPPING_SEPARATE_SOLID,True,op_005,8.881784197001252e-16,212.67440613898572
L04,IF_J03,OVERLAPPING_SEPARATE_SOLID,True,op_005,0.0,3941.057370143227
L04,IF_J04,OVERLAPPING_SEPARATE_SOLID,True,op_005,0.0,105.45442965167086
L05,IF_J04,OVERLAPPING_SEPARATE_SOLID,True,op_008,0.0,500.6330886221444
L05,IF_J05,OVERLAPPING_SEPARATE_SOLID,True,op_008,0.0,22.994583438361232
L05,IF_J06,OVERLAPPING_SEPARATE_SOLID,True,op_008,0.0,0.6053079679799387
L06,IF_J05,OVERLAPPING_SEPARATE_SOLID,True,op_002,0.0,633.3450789637023
L07,IF_J06,OVERLAPPING_SEPARATE_SOLID,True,op_005,0.0,475.99099040345334
L07,IF_J07,OVERLAPPING_SEPARATE_SOLID,True,op_005,0.0,44.06734405278693
L08,IF_J07,POSITIVE_GAP,True,op_012,2.274999999999997,0.0
L08,IF_J08,OVERLAPPING_SEPARATE_SOLID,True,op_012,0.0,110.14655590299273
L08,IF_J09,OVERLAPPING_SEPARATE_SOLID,True,op_011,0.0,110.14655590299273
L08,IF_J10,VIRTUAL_OR_INTERFACE_ONLY,False,,,
L09,IF_J08,OVERLAPPING_SEPARATE_SOLID,True,op_002,0.0,205.3924405291168
L10,IF_J09,OVERLAPPING_SEPARATE_SOLID,True,op_002,0.0,205.3924405291168
L11,,VIRTUAL_OR_INTERFACE_ONLY,False,,,
