link_a,link_b,true_collision_events,total_intersection_volume_mm3,event_delta_vs_d0,volume_delta_vs_d0_mm3,classes
L00,L01,13,303584.0144232329,0,44270.54163741681,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L03,L04,13,57196.6737822155,0,54325.36707785074,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L06,L07,13,20829.10493063784,9,14037.55971117994,MOTION_INDUCED_TRUE|NONADJACENT_TRUE
L08,L10,13,15899.459299178932,13,15899.459299178932,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L08,L09,13,15614.952228725655,13,15614.952228725655,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L02,L03,13,12081.18343938885,0,9316.468605735798,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L05,L06,13,11531.425231603558,13,11531.425231603558,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L07,L08,13,9518.896583713451,0,384.03052979275344,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L04,L06,13,2966.6552935341015,0,0.012575233693496557,MOTION_INDUCED_TRUE|NONADJACENT_TRUE
L05,L07,13,485.42325889126704,0,0.2044806340027776,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L01,L02,13,397.79400485339886,0,0.0001920884200785622,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L04,L07,11,8511.991731293654,-2,-717.5923389253385,MOTION_INDUCED_TRUE|NONADJACENT_TRUE
L04,L05,11,7800.855715595923,-2,-3554.765772719852,ADJACENT_UNINTENDED|MOTION_ADJACENT_UNINTENDED
L00,L07,1,7385.276617835332,0,5965.717517821463,MOTION_INDUCED_TRUE
L00,L05,1,5527.170155122299,0,3178.60314317182,MOTION_INDUCED_TRUE
L01,L04,1,2093.3299627339807,1,2093.3299627339807,MOTION_INDUCED_TRUE
L00,L06,1,1799.1179731176328,0,88.04227220805933,MOTION_INDUCED_TRUE
L00,L08,1,521.8119776387252,0,-978.5018997284146,MOTION_INDUCED_TRUE
L00,L09,1,231.55613342699377,0,-0.0015510478677072115,MOTION_INDUCED_TRUE
L00,L10,1,231.55588923413106,0,0.0008017160661779599,MOTION_INDUCED_TRUE
L01,L07,1,99.1126320680968,0,8.50560866183514e-09,MOTION_INDUCED_TRUE
L01,L03,1,20.35453455963049,0,7.844863720762874e-05,MOTION_INDUCED_TRUE
