condition,link_id,scheduler_state,body_ops_changed,interface_ops_changed,cad_execution_status,native_operations,contract_count
C1,L00,COLLISION_REPLAN,True,False,SUCCESS,4,1
C1,L01,COLLISION_REPLAN,True,False,SUCCESS,5,2
C1,L02,COLLISION_REPLAN,True,False,SUCCESS,6,2
C1,L03,COLLISION_REPLAN,True,False,SUCCESS,5,2
C1,L04,COLLISION_REPLAN,True,False,SUCCESS,5,2
C1,L05,COLLISION_REPLAN,True,False,SUCCESS,8,3
C1,L06,COLLISION_REPLAN,True,False,SUCCESS,2,1
C1,L07,COLLISION_REPLAN,True,False,SUCCESS,5,2
C1,L08,COLLISION_REPLAN,True,False,SUCCESS,12,4
C1,L09,COLLISION_REPLAN,True,False,SUCCESS,2,1
C1,L10,COLLISION_REPLAN,True,False,SUCCESS,2,1
C1,L11,FROZEN,False,False,SUCCESS,2,1
C2,L00,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,4,1
C2,L01,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,5,2
C2,L02,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,6,2
C2,L03,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,5,2
C2,L04,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,5,2
C2,L05,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,8,3
C2,L06,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,2,1
C2,L07,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,5,2
C2,L08,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,12,4
C2,L09,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,2,1
C2,L10,COLLISION_AND_MORPHOLOGY_REPLAN,True,False,SUCCESS,2,1
C2,L11,FROZEN,False,False,SUCCESS,2,1
