link_a,link_b,true_collision_events,total_intersection_volume_mm3,canonical_events,sweep_events,classes
L00,L01,13,310161.05278321507,1,12,ADJACENT_UNINTENDED;MOTION_ADJACENT_UNINTENDED
L03,L04,13,49458.23002742334,1,12,ADJACENT_UNINTENDED;MOTION_ADJACENT_UNINTENDED
L05,L06,13,23792.835486361455,1,12,ADJACENT_UNINTENDED;MOTION_ADJACENT_UNINTENDED
L05,L07,13,21632.23622429462,1,12,ADJACENT_UNINTENDED;MOTION_ADJACENT_UNINTENDED
L06,L07,13,21565.855462675238,1,12,MOTION_INDUCED_TRUE;NONADJACENT_TRUE
L04,L06,13,12770.468909792047,1,12,MOTION_INDUCED_TRUE;NONADJACENT_TRUE
L04,L05,13,11957.217849583343,1,12,ADJACENT_UNINTENDED;MOTION_ADJACENT_UNINTENDED
L04,L07,13,10590.864368370994,1,12,MOTION_INDUCED_TRUE;NONADJACENT_TRUE
L08,L10,13,3414.6893910501362,1,12,ADJACENT_UNINTENDED;MOTION_ADJACENT_UNINTENDED
L08,L09,13,3414.0344924666906,1,12,ADJACENT_UNINTENDED;MOTION_ADJACENT_UNINTENDED
L06,L08,13,99.02437793818581,1,12,MOTION_INDUCED_TRUE;NONADJACENT_TRUE
L07,L08,13,28.745044052711776,1,12,ADJACENT_UNINTENDED;MOTION_ADJACENT_UNINTENDED
L01,L02,11,38869.1411054789,1,10,ADJACENT_UNINTENDED;MOTION_ADJACENT_UNINTENDED
L02,L03,2,664.6445585851638,0,2,MOTION_ADJACENT_UNINTENDED
L01,L04,1,17226.369973182,0,1,MOTION_INDUCED_TRUE
L00,L06,1,7919.120251055552,0,1,MOTION_INDUCED_TRUE
L01,L06,1,6248.517767667363,0,1,MOTION_INDUCED_TRUE
L00,L03,1,4466.552079816316,0,1,MOTION_INDUCED_TRUE
L00,L08,1,3690.244945039992,0,1,MOTION_INDUCED_TRUE
L00,L05,1,1770.3924115637794,0,1,MOTION_INDUCED_TRUE
L00,L07,1,1722.9917521476832,0,1,MOTION_INDUCED_TRUE
L00,L10,1,1478.6379808368274,0,1,MOTION_INDUCED_TRUE
L00,L09,1,1478.6379808368251,0,1,MOTION_INDUCED_TRUE
L00,L04,1,212.67743211511265,0,1,MOTION_INDUCED_TRUE
L01,L03,1,154.24853361221946,0,1,MOTION_INDUCED_TRUE
L01,L08,1,25.09354730622192,0,1,MOTION_INDUCED_TRUE
