candidate_id,phase,theta_json,constraint_component,neighbor,joint_id,pose_q_rad,intersection_volume_mm3,violation_true_false
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L03_J03_00,L03,J03,-2.1467549799530254,0.0,False
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L03_J03_01,L03,J03,-1.498074274628466,0.0,False
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L03_J03_02,L03,J03,-0.849393569303907,0.0,False
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L03_J03_03,L03,J03,-0.20071286397934784,0.0,False
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L03_J03_04,L03,J03,0.4479678413452115,0.0,False
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L03_J03_05,L03,J03,1.0966485466697709,7.597560664347232,True
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L03_J03_06,L03,J03,1.7453292519943295,16.47119744865521,True
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L05_FIXED_J04_00,L05,FIXED_J04,0.0,26.08184282659977,True
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L06_J05_00,L06,J05,0.0,76.50485335669002,True
P0_ALL_LOWER,canonical,"{""distal_height_mm"":8.0,""distal_width_mm"":8.0,""fillet_radius_mm"":1.0,""housing_height_mm"":10.0,""housing_width_mm"":10.0,""proximal_section_length_mm"":18.0,""recess_depth_mm"":4.0,""recess_length_mm"":12.0,""transition_length_mm"":4.0}",L06_J05_01,L06,J05,1.5707963267948966,76.50485335599329,True
