candidate_id,phase,subset,removed_neighbor,remaining_component_count,g_max_mm3,g_sum_mm3,strict_feasible
P0_ALL_LOWER,canonical,FULL,NONE,13,76.50485338020876,356.1700143884876,False
P0_ALL_LOWER,canonical,MINUS_L05,L05,12,76.50485338020876,330.0881715618878,False
P0_ALL_LOWER,canonical,MINUS_L07,L07,12,76.50485338020876,356.1700143884876,False
P0_ALL_LOWER,canonical,MINUS_L06,L06,9,26.08184282659977,50.150600939602214,False
P0_ALL_LOWER,canonical,MINUS_L03,L03,6,76.50485338020876,332.1012562754851,False
P1_ALL_UPPER,canonical,FULL,NONE,13,1398.4366984233438,5639.127365036813,False
P1_ALL_UPPER,canonical,MINUS_L05,L05,12,797.0237673780676,4240.690666613469,False
P1_ALL_UPPER,canonical,MINUS_L07,L07,12,1398.4366984233438,5639.127365036813,False
P1_ALL_UPPER,canonical,MINUS_L06,L06,9,1398.4366984233438,2451.032348717817,False
P1_ALL_UPPER,canonical,MINUS_L03,L03,6,1398.4366984233438,4586.53171474234,False
P2_MIDPOINT,canonical,FULL,NONE,13,492.7093547234853,2330.034542955515,False
P2_MIDPOINT,canonical,MINUS_L05,L05,12,492.7093547234853,2272.8319513652527,False
P2_MIDPOINT,canonical,MINUS_L07,L07,12,492.7093547234853,2330.034542955515,False
P2_MIDPOINT,canonical,MINUS_L06,L06,9,170.9700516784007,359.19712406157515,False
P2_MIDPOINT,canonical,MINUS_L03,L03,6,492.7093547234853,2028.040010484202,False
P3_C1_INITIAL,canonical,FULL,NONE,13,281.97125917524625,1402.2623670200715,False
P3_C1_INITIAL,canonical,MINUS_L05,L05,12,281.97125917524625,1360.0716621802671,False
P3_C1_INITIAL,canonical,MINUS_L07,L07,12,281.97125917524625,1402.2623670200715,False
P3_C1_INITIAL,canonical,MINUS_L06,L06,9,162.07730799671816,274.37733031908635,False
P3_C1_INITIAL,canonical,MINUS_L03,L03,6,281.97125917524625,1170.075741540789,False
P4_C1_VISUAL_WINNER,canonical,FULL,NONE,13,727.9707898709378,3500.9346417733577,False
P4_C1_VISUAL_WINNER,canonical,MINUS_L05,L05,12,727.9707898709378,3040.71935698343,False
P4_C1_VISUAL_WINNER,canonical,MINUS_L07,L07,12,727.9707898709378,3500.9346417733577,False
P4_C1_VISUAL_WINNER,canonical,MINUS_L06,L06,9,460.21528478992786,589.0515248298292,False
P4_C1_VISUAL_WINNER,canonical,MINUS_L03,L03,6,727.9707898709378,3372.0984017334567,False
S000,sobol,FULL,NONE,13,748.7467901607162,3818.7393392383146,False
S000,sobol,MINUS_L05,L05,12,748.7467901607162,3135.8115378840635,False
S000,sobol,MINUS_L07,L07,12,748.7467901607162,3818.7393392383146,False
S000,sobol,MINUS_L06,L06,9,682.9278013542514,823.7522620366203,False
S000,sobol,MINUS_L03,L03,6,748.7467901607162,3677.914878555946,False
S001,sobol,FULL,NONE,13,199.6295031509543,1271.2445032420846,False
S001,sobol,MINUS_L05,L05,12,199.6295031509543,1229.0537984022806,False
S001,sobol,MINUS_L07,L07,12,199.6295031509543,1271.2445032420846,False
S001,sobol,MINUS_L06,L06,9,199.6295031509543,533.141967577725,False
S001,sobol,MINUS_L03,L03,6,184.5256339160899,780.2932405041638,False
S002,sobol,FULL,NONE,13,421.46667352775,1996.948673182293,False
S002,sobol,MINUS_L05,L05,12,421.46667352775,1952.184844313653,False
S002,sobol,MINUS_L07,L07,12,421.46667352775,1996.948673182293,False
S002,sobol,MINUS_L06,L06,9,170.9700516784007,311.0819790712951,False
S002,sobol,MINUS_L03,L03,6,421.46667352775,1730.630522979638,False
S003,sobol,FULL,NONE,13,747.2485545940639,3811.6358323035643,False
S003,sobol,MINUS_L05,L05,12,747.2485545940639,3326.7853981278226,False
S003,sobol,MINUS_L07,L07,12,747.2485545940639,3811.6358323035643,False
S003,sobol,MINUS_L06,L06,9,484.85043417574144,822.6416474094457,False
S003,sobol,MINUS_L03,L03,6,747.2485545940639,3473.8446190698596,False
S004,sobol,FULL,NONE,13,756.6014297702396,3873.033225031569,False
S004,sobol,MINUS_L05,L05,12,756.6014297702396,3252.351706027748,False
S004,sobol,MINUS_L07,L07,12,756.6014297702396,3873.033225031569,False
S004,sobol,MINUS_L06,L06,9,620.6815190038211,846.6275059506106,False
S004,sobol,MINUS_L03,L03,6,756.6014297702396,3647.0872380847795,False
S005,sobol,FULL,NONE,13,201.25832530945425,1219.1958396834948,False
S005,sobol,MINUS_L05,L05,12,201.25832530945425,1177.0051348436905,False
S005,sobol,MINUS_L07,L07,12,201.25832530945425,1219.1958396834948,False
S005,sobol,MINUS_L06,L06,9,201.25832530945425,557.7918566989754,False
S005,sobol,MINUS_L03,L03,6,165.35099575321226,703.5946878243235,False
S006,sobol,FULL,NONE,13,142.21303162491824,718.7938520626543,False
S006,sobol,MINUS_L05,L05,12,142.21303162491824,676.6031472228501,False
S006,sobol,MINUS_L07,L07,12,142.21303162491824,718.7938520626543,False
S006,sobol,MINUS_L06,L06,9,59.9804407114861,149.94172556298128,False
S006,sobol,MINUS_L03,L03,6,142.21303162491824,611.0428313394772,False
S007,sobol,FULL,NONE,13,568.8540596599088,3431.2170727920793,False
S007,sobol,MINUS_L05,L05,12,568.8540596599088,3324.8432403080665,False
S007,sobol,MINUS_L07,L07,12,568.8540596599088,3431.2170727920793,False
S007,sobol,MINUS_L06,L06,9,369.59245894449475,1155.8008341524464,False
S007,sobol,MINUS_L03,L03,6,568.8540596599088,2381.7900711236452,False
S008,sobol,FULL,NONE,13,353.53055008332717,1757.2246759376922,False
S008,sobol,MINUS_L05,L05,12,353.53055008332717,1712.003647168812,False
S008,sobol,MINUS_L07,L07,12,353.53055008332717,1757.2246759376922,False
S008,sobol,MINUS_L06,L06,9,170.9700516784007,343.10247560438415,False
S008,sobol,MINUS_L03,L03,6,353.53055008332717,1459.3432291021884,False
S009,sobol,FULL,NONE,13,506.3096210438293,2468.749362089435,False
S009,sobol,MINUS_L05,L05,12,506.3096210438293,2402.479521312338,False
S009,sobol,MINUS_L07,L07,12,506.3096210438293,2468.749362089435,False
S009,sobol,MINUS_L06,L06,9,163.67377706909954,443.5108779141187,False
S009,sobol,MINUS_L03,L03,6,506.3096210438293,2091.5083249524137,False
S010,sobol,FULL,NONE,13,402.31551605265975,1953.2557691467575,False
S010,sobol,MINUS_L05,L05,12,402.31551605265975,1776.1284989357844,False
S010,sobol,MINUS_L07,L07,12,402.31551605265975,1953.2557691467575,False
S010,sobol,MINUS_L06,L06,9,177.12727021097325,343.9937238078428,False
S010,sobol,MINUS_L03,L03,6,402.31551605265975,1786.389315549888,False
S011,sobol,FULL,NONE,13,603.6765131998416,3596.2210941650624,False
S011,sobol,MINUS_L05,L05,12,603.6765131998416,3175.9081665184153,False
S011,sobol,MINUS_L07,L07,12,603.6765131998416,3596.2210941650624,False
S011,sobol,MINUS_L06,L06,9,420.31292764664704,1181.5150701530488,False
S011,sobol,MINUS_L03,L03,6,603.6765131998416,2835.0189516586606,False
S012,sobol,FULL,NONE,13,440.5062744391287,1916.8232601304194,False
S012,sobol,MINUS_L05,L05,12,440.5062744391287,1860.5040628219833,False
S012,sobol,MINUS_L07,L07,12,440.5062744391287,1916.8232601304194,False
S012,sobol,MINUS_L06,L06,9,66.6038559337737,154.79816237390528,False
S012,sobol,MINUS_L03,L03,6,440.5062744391287,1818.3442950649503,False
S013,sobol,FULL,NONE,13,517.0761740479501,3115.863871937957,False
S013,sobol,MINUS_L05,L05,12,517.0761740479501,3011.7660577074435,False
S013,sobol,MINUS_L07,L07,12,517.0761740479501,3115.863871937957,False
S013,sobol,MINUS_L06,L06,9,342.38076358172145,1047.5718934502538,False
S013,sobol,MINUS_L03,L03,6,517.0761740479501,2172.3897927182165,False
S014,sobol,FULL,NONE,13,276.0039306389015,1295.527805226303,False
S014,sobol,MINUS_L05,L05,12,276.0039306389015,1253.3371003864988,False
S014,sobol,MINUS_L07,L07,12,276.0039306389015,1295.527805226303,False
S014,sobol,MINUS_L06,L06,9,111.61213295569627,191.51208267358416,False
S014,sobol,MINUS_L03,L03,6,276.0039306389015,1146.206427392523,False
S015,sobol,FULL,NONE,13,366.65838792557963,2017.3502619677909,False
S015,sobol,MINUS_L05,L05,12,366.65838792557963,1884.1682556583119,False
S015,sobol,MINUS_L07,L07,12,366.65838792557963,2017.3502619677909,False
S015,sobol,MINUS_L06,L06,9,170.9700516784007,550.7167272510931,False
S015,sobol,MINUS_L03,L03,6,366.65838792557963,1599.8155410261768,False
S016,sobol,FULL,NONE,13,543.3650994487205,2589.856530052624,False
S016,sobol,MINUS_L05,L05,12,543.3650994487205,2383.3491844228947,False
S016,sobol,MINUS_L07,L07,12,543.3650994487205,2589.856530052624,False
S016,sobol,MINUS_L06,L06,9,206.50734562972912,416.3961589109589,False
S016,sobol,MINUS_L03,L03,6,543.3650994487205,2379.9677167713944,False
S017,sobol,FULL,NONE,13,495.1204167308033,2389.709609622444,False
S017,sobol,MINUS_L05,L05,12,495.1204167308033,2322.402459478009,False
S017,sobol,MINUS_L07,L07,12,495.1204167308033,2389.709609622444,False
S017,sobol,MINUS_L06,L06,9,144.1737638509179,409.22794269923173,False
S017,sobol,MINUS_L03,L03,6,495.1204167308033,2047.7888170676476,False
S018,sobol,FULL,NONE,13,432.4599446628306,2099.485136047845,False
S018,sobol,MINUS_L05,L05,12,432.4599446628306,1812.0168404538013,False
S018,sobol,MINUS_L07,L07,12,432.4599446628306,2099.485136047845,False
S018,sobol,MINUS_L06,L06,9,287.46829559404415,369.6453773882334,False
S018,sobol,MINUS_L03,L03,6,432.4599446628306,2017.308054253656,False
S019,sobol,FULL,NONE,13,336.0276117552987,2166.0494465503994,False
S019,sobol,MINUS_L05,L05,12,336.0276117552987,2123.8452427215157,False
S019,sobol,MINUS_L07,L07,12,336.0276117552987,2166.0494465503994,False
S019,sobol,MINUS_L06,L06,9,336.0276117552987,955.3649978861597,False
S019,sobol,MINUS_L03,L03,6,302.67111256170745,1252.888652493123,False
S020,sobol,FULL,NONE,13,434.46758571877234,1970.2947116691344,False
S020,sobol,MINUS_L05,L05,12,434.46758571877234,1924.451024625284,False
S020,sobol,MINUS_L07,L07,12,434.46758571877234,1970.2947116691344,False
S020,sobol,MINUS_L06,L06,9,119.97682581642142,232.42436879404565,False
S020,sobol,MINUS_L03,L03,6,434.46758571877234,1783.7140299189393,False
S021,sobol,FULL,NONE,13,309.70426922592907,2007.2453972625826,False
S021,sobol,MINUS_L05,L05,12,309.70426922592907,1967.7576596030133,False
S021,sobol,MINUS_L07,L07,12,309.70426922592907,2007.2453972625826,False
S021,sobol,MINUS_L06,L06,9,309.70426922592907,867.5416899729089,False
S021,sobol,MINUS_L03,L03,6,284.9259268224187,1179.1914449492433,False
S022,sobol,FULL,NONE,13,528.8464423401354,2654.149361979662,False
S022,sobol,MINUS_L05,L05,12,528.8464423401354,2360.1611383798354,False
S022,sobol,MINUS_L07,L07,12,528.8464423401354,2654.149361979662,False
S022,sobol,MINUS_L06,L06,9,293.9882235998268,538.7636176803454,False
S022,sobol,MINUS_L03,L03,6,528.8464423401354,2409.3739678991433,False
S023,sobol,FULL,NONE,13,410.1904952105117,2105.9207014981125,False
S023,sobol,MINUS_L05,L05,12,410.1904952105117,1998.9998249675225,False
S023,sobol,MINUS_L07,L07,12,410.1904952105117,2105.9207014981125,False
S023,sobol,MINUS_L06,L06,9,170.9700516784007,465.15874021746083,False
S023,sobol,MINUS_L03,L03,6,410.1904952105117,1747.6828378112423,False
S024,sobol,FULL,NONE,13,163.03095678029806,806.6959967007366,False
S024,sobol,MINUS_L05,L05,12,163.03095678029806,765.8800548527881,False
S024,sobol,MINUS_L07,L07,12,163.03095678029806,806.6959967007366,False
S024,sobol,MINUS_L06,L06,9,66.6038559337737,154.5721696716133,False
S024,sobol,MINUS_L03,L03,6,163.03095678029806,692.9397688770717,False
S025,sobol,FULL,NONE,13,775.9345096455387,4682.593655782951,False
S025,sobol,MINUS_L05,L05,12,775.9345096455387,3940.684186414746,False
S025,sobol,MINUS_L07,L07,12,775.9345096455387,4682.593655782951,False
S025,sobol,MINUS_L06,L06,9,741.9094693682047,1578.8556172007964,False
S025,sobol,MINUS_L03,L03,6,775.9345096455387,3845.647507950359,False
S026,sobol,FULL,NONE,13,596.3897597388196,2742.1035910182864,False
S026,sobol,MINUS_L05,L05,12,596.3897597388196,2627.615129234419,False
S026,sobol,MINUS_L07,L07,12,596.3897597388196,2742.1035910182864,False
S026,sobol,MINUS_L06,L06,9,168.08697664455897,356.5445520630109,False
S026,sobol,MINUS_L03,L03,6,596.3897597388196,2500.047500739143,False
S027,sobol,FULL,NONE,13,231.90679687961565,1501.3654886106165,False
S027,sobol,MINUS_L05,L05,12,231.90679687961565,1459.1747837708124,False
S027,sobol,MINUS_L07,L07,12,231.90679687961565,1501.3654886106165,False
S027,sobol,MINUS_L06,L06,9,231.90679687961565,638.5779959108387,False
S027,sobol,MINUS_L03,L03,6,215.6968731749445,904.978197539582,False
S028,sobol,FULL,NONE,13,174.87112429749874,999.7462499193439,False
S028,sobol,MINUS_L05,L05,12,174.87112429749874,957.5555450795397,False
S028,sobol,MINUS_L07,L07,12,174.87112429749874,999.7462499193439,False
S028,sobol,MINUS_L06,L06,9,170.9700516784007,300.2617527293491,False
S028,sobol,MINUS_L03,L03,6,174.87112429749874,741.6752020297989,False
S029,sobol,FULL,NONE,13,691.1889657241853,3710.013097879199,False
S029,sobol,MINUS_L05,L05,12,691.1889657241853,3084.384449658044,False
S029,sobol,MINUS_L07,L07,12,691.1889657241853,3710.013097879199,False
S029,sobol,MINUS_L06,L06,9,625.6286482211549,945.2573039411592,False
S029,sobol,MINUS_L03,L03,6,691.1889657241853,3390.384442159195,False
S030,sobol,FULL,NONE,13,730.2167479490508,3338.1541088039357,False
S030,sobol,MINUS_L05,L05,12,730.2167479490508,3001.7484058701025,False
S030,sobol,MINUS_L07,L07,12,730.2167479490508,3338.1541088039357,False
S030,sobol,MINUS_L06,L06,9,336.40570293383297,417.28716327926713,False
S030,sobol,MINUS_L03,L03,6,730.2167479490508,3257.2726484585014,False
S031,sobol,FULL,NONE,13,286.29593944662025,1892.1420881090323,False
S031,sobol,MINUS_L05,L05,12,286.29593944662025,1849.9513832692282,False
S031,sobol,MINUS_L07,L07,12,286.29593944662025,1892.1420881090323,False
S031,sobol,MINUS_L06,L06,9,269.0383150356653,746.9583303225517,False
S031,sobol,MINUS_L03,L03,6,286.29593944662025,1187.3744626262849,False
S032,sobol,FULL,NONE,13,366.32173562983894,1768.6922903986924,False
S032,sobol,MINUS_L05,L05,12,366.32173562983894,1726.5015855588883,False
S032,sobol,MINUS_L07,L07,12,366.32173562983894,1768.6922903986924,False
S032,sobol,MINUS_L06,L06,9,170.9700516784007,303.4053478793369,False
S032,sobol,MINUS_L03,L03,6,366.32173562983894,1507.4776473591596,False
S033,sobol,FULL,NONE,13,270.3988270885105,1339.8719336828603,False
S033,sobol,MINUS_L05,L05,12,270.3988270885105,1297.681228843056,False
S033,sobol,MINUS_L07,L07,12,270.3988270885105,1339.8719336828603,False
S033,sobol,MINUS_L06,L06,9,124.95304499902747,258.27662532881834,False
S033,sobol,MINUS_L03,L03,6,270.3988270885105,1123.786013193846,False
S034,sobol,FULL,NONE,13,502.8895136941365,2391.6000512973887,False
S034,sobol,MINUS_L05,L05,12,502.8895136941365,2161.3980576761687,False
S034,sobol,MINUS_L07,L07,12,502.8895136941365,2391.6000512973887,False
S034,sobol,MINUS_L06,L06,9,230.20199362121983,380.0420207022427,False
S034,sobol,MINUS_L03,L03,6,502.8895136941365,2241.7600242163658,False
