candidate_id,seed_id,coordinate,direction,base_id,g_sum_mm3,g_max_mm3,strict_feasible,status
L0_0_N,S204,housing_width_mm,-1,S204,589.4896306518209,102.85469683495539,False,EVALUATED
L0_0_P,S204,housing_width_mm,1,S204,590.7557840275408,103.17123517888638,False,EVALUATED
L0_1_N,S204,housing_height_mm,-1,L0_0_N,542.282827280532,102.73494519846462,False,EVALUATED
L0_1_P,S204,housing_height_mm,1,L0_0_N,639.7755565857124,118.97725599837253,False,EVALUATED
L0_2_N,S204,proximal_section_length_mm,-1,L0_1_N,539.8366871682881,102.12341016989967,False,EVALUATED
L0_2_P,S204,proximal_section_length_mm,1,L0_1_N,544.9530596451167,103.40250328996571,False,EVALUATED
L0_3_N,S204,transition_length_mm,-1,L0_2_N,532.401660636537,100.26465353702562,False,EVALUATED
L0_3_P,S204,transition_length_mm,1,L0_2_N,546.1898928517705,103.71171159105043,False,EVALUATED
L0_4_N,S204,distal_width_mm,-1,L0_3_N,471.8336339908498,85.13473964880419,False,EVALUATED
L0_4_P,S204,distal_width_mm,1,L0_3_N,601.3715496498465,117.5071257903605,False,EVALUATED
L0_5_N,S204,distal_height_mm,-1,L0_4_N,466.11271505276545,83.70512191855067,False,EVALUATED
L0_5_P,S204,distal_height_mm,1,L0_4_N,533.8490661644566,100.63054808197205,False,EVALUATED
L1_0_N,S040,housing_width_mm,-1,S040,598.8730885869466,109.02938962049477,False,EVALUATED
L1_0_P,S040,housing_width_mm,1,S040,596.4343457864345,109.02938962049477,False,EVALUATED
L1_1_N,S040,housing_height_mm,-1,L1_0_P,549.5375746456025,97.62378771717475,False,EVALUATED
L1_1_P,S040,housing_height_mm,1,L1_0_P,639.6861782660405,153.17129172685435,False,EVALUATED
L1_2_N,S040,proximal_section_length_mm,-1,L1_1_N,544.3852502468297,96.66378281906913,False,EVALUATED
L1_2_P,S040,proximal_section_length_mm,1,L1_1_N,555.4531795780265,98.66860600477598,False,EVALUATED
L1_3_N,S040,transition_length_mm,-1,L1_2_N,516.2218154650749,90.8613744885139,False,EVALUATED
L1_3_P,S040,transition_length_mm,1,L1_2_N,573.4612365441276,102.02427387456878,False,EVALUATED
L1_4_N,S040,distal_width_mm,-1,L1_3_N,454.98723015209146,76.41438779246837,False,EVALUATED
L1_4_P,S040,distal_width_mm,1,L1_3_N,599.0848218946954,110.02025600743933,False,EVALUATED
L1_5_N,S040,distal_height_mm,-1,L1_4_N,406.1913783494074,66.6038559337737,False,EVALUATED
L1_5_P,S040,distal_height_mm,1,L1_4_N,513.340867258121,91.03570391005542,False,EVALUATED
L2_0_N,S209,housing_width_mm,-1,S209,721.398318247533,121.45238868077172,False,EVALUATED
L2_0_P,S209,housing_width_mm,1,S209,789.1467964975568,152.21676545803462,False,EVALUATED
