candidate_id,phase,status,g_sum_mm3,g_max_mm3,strict_feasible,runtime_seconds,error
P0_ALL_LOWER,canonical,EVALUATED,356.1700143884876,76.50485338020876,False,1.2637387000140734,
P1_ALL_UPPER,canonical,EVALUATED,5639.127365036814,1398.4366984233438,False,1.2843263000249863,
P2_MIDPOINT,canonical,EVALUATED,2330.034542955515,492.7093547234853,False,1.2420342999976128,
P3_C1_INITIAL,canonical,EVALUATED,1402.2623670200715,281.97125917524625,False,1.2485898000304587,
P4_C1_VISUAL_WINNER,canonical,EVALUATED,3500.9346417733577,727.9707898709378,False,1.280612199974712,
P3_REPEAT_REPRODUCIBILITY,repeat,EVALUATED,1402.2623670200715,281.97125917524625,False,1.2654974000179209,
S000,sobol,EVALUATED,3818.739339238315,748.7467901607162,False,1.2137019999790937,
S001,sobol,EVALUATED,1271.2445032420846,199.6295031509543,False,1.0815984000219032,
S002,sobol,EVALUATED,1996.948673182293,421.46667352775,False,1.2685863999649882,
S003,sobol,EVALUATED,3811.6358323035643,747.2485545940639,False,1.2793838999932632,
S004,sobol,EVALUATED,3873.0332250315687,756.6014297702396,False,1.2233662999933586,
S005,sobol,EVALUATED,1219.1958396834948,201.25832530945425,False,1.3764947000308894,
S006,sobol,EVALUATED,718.7938520626543,142.21303162491824,False,1.0803465999779291,
S007,sobol,EVALUATED,3431.2170727920793,568.8540596599088,False,1.4193041999824345,
S008,sobol,EVALUATED,1757.2246759376922,353.53055008332717,False,1.5064306000131182,
S009,sobol,EVALUATED,2468.749362089435,506.3096210438293,False,1.1354735000059009,
S010,sobol,EVALUATED,1953.2557691467578,402.31551605265975,False,1.2919467000174336,
S011,sobol,EVALUATED,3596.221094165063,603.6765131998416,False,1.4092444999841973,
S012,sobol,EVALUATED,1916.8232601304194,440.5062744391287,False,1.3715320999617688,
S013,sobol,EVALUATED,3115.8638719379564,517.0761740479501,False,1.4398843999952078,
S014,sobol,EVALUATED,1295.527805226303,276.0039306389015,False,1.1273987999884412,
S015,sobol,EVALUATED,2017.3502619677906,366.65838792557963,False,1.4267839000094682,
S016,sobol,EVALUATED,2589.856530052624,543.3650994487205,False,1.466947800014168,
S017,sobol,EVALUATED,2389.709609622444,495.1204167308033,False,1.2425612999941222,
S018,sobol,EVALUATED,2099.485136047845,432.4599446628306,False,1.221363399992697,
S019,sobol,EVALUATED,2166.0494465503994,336.0276117552987,False,1.624567599967122,
