subset,path,repeat,location,source_mm3,witness_mm3,raw_removed_mm3,normalized_removed_mm3,raw_relief_ratio,normalized_relief_ratio,epsilon_zero_mm3,normalization_applied,engineering_status
FULL,UNION_THEN_SINGLE_CUT,0,memory,13154.148181032444,11852.112265718826,1302.0359153136178,1302.0359153136178,0.09898291378464794,0.09898291378464794,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,UNION_THEN_SINGLE_CUT,0,BREP_reopen,13154.148181032444,11852.112265718793,1302.0359153136505,1302.0359153136505,0.09898291378465042,0.09898291378465042,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,UNION_THEN_SINGLE_CUT,0,FCStd_reopen,13154.148181032444,11852.112265718828,1302.035915313616,1302.035915313616,0.0989829137846478,0.0989829137846478,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,UNION_THEN_SINGLE_CUT,1,memory,13154.148181032444,11852.112265718826,1302.0359153136178,1302.0359153136178,0.09898291378464794,0.09898291378464794,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,UNION_THEN_SINGLE_CUT,1,BREP_reopen,13154.148181032444,11852.112265718793,1302.0359153136505,1302.0359153136505,0.09898291378465042,0.09898291378465042,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,UNION_THEN_SINGLE_CUT,1,FCStd_reopen,13154.148181032444,11852.112265718828,1302.035915313616,1302.035915313616,0.0989829137846478,0.0989829137846478,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,ORDERED_SEQUENTIAL_CUT,0,memory,13154.148181032444,11852.112083964104,1302.0360970683396,1302.0360970683396,0.09898292760194109,0.09898292760194109,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,ORDERED_SEQUENTIAL_CUT,0,BREP_reopen,13154.148181032444,11852.112083964075,1302.0360970683687,1302.0360970683687,0.09898292760194331,0.09898292760194331,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,ORDERED_SEQUENTIAL_CUT,0,FCStd_reopen,13154.148181032444,11852.112083964106,1302.0360970683378,1302.0360970683378,0.09898292760194095,0.09898292760194095,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,ORDERED_SEQUENTIAL_CUT,1,memory,13154.148181032444,11852.112083964104,1302.0360970683396,1302.0360970683396,0.09898292760194109,0.09898292760194109,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,ORDERED_SEQUENTIAL_CUT,1,BREP_reopen,13154.148181032444,11852.112083964075,1302.0360970683687,1302.0360970683687,0.09898292760194331,0.09898292760194331,0.013154148181032443,False,NONNEGATIVE_RETAINED
FULL,ORDERED_SEQUENTIAL_CUT,1,FCStd_reopen,13154.148181032444,11852.112083964106,1302.0360970683378,1302.0360970683378,0.09898292760194095,0.09898292760194095,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,UNION_THEN_SINGLE_CUT,0,memory,13154.148181032444,13025.315072459227,128.83310857321703,128.83310857321703,0.009794105007801817,0.009794105007801817,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,UNION_THEN_SINGLE_CUT,0,BREP_reopen,13154.148181032444,13025.315072459223,128.83310857322067,128.83310857322067,0.009794105007802095,0.009794105007802095,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,UNION_THEN_SINGLE_CUT,0,FCStd_reopen,13154.148181032444,13025.315072459227,128.83310857321703,128.83310857321703,0.009794105007801817,0.009794105007801817,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,UNION_THEN_SINGLE_CUT,1,memory,13154.148181032444,13025.315072459227,128.83310857321703,128.83310857321703,0.009794105007801817,0.009794105007801817,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,UNION_THEN_SINGLE_CUT,1,BREP_reopen,13154.148181032444,13025.315072459223,128.83310857322067,128.83310857322067,0.009794105007802095,0.009794105007802095,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,UNION_THEN_SINGLE_CUT,1,FCStd_reopen,13154.148181032444,13025.315072459227,128.83310857321703,128.83310857321703,0.009794105007801817,0.009794105007801817,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,ORDERED_SEQUENTIAL_CUT,0,memory,13154.148181032444,13025.315072459227,128.83310857321703,128.83310857321703,0.009794105007801817,0.009794105007801817,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,ORDERED_SEQUENTIAL_CUT,0,BREP_reopen,13154.148181032444,13025.315072459223,128.83310857322067,128.83310857322067,0.009794105007802095,0.009794105007802095,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,ORDERED_SEQUENTIAL_CUT,0,FCStd_reopen,13154.148181032444,13025.315072459227,128.83310857321703,128.83310857321703,0.009794105007801817,0.009794105007801817,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,ORDERED_SEQUENTIAL_CUT,1,memory,13154.148181032444,13025.315072459227,128.83310857321703,128.83310857321703,0.009794105007801817,0.009794105007801817,0.013154148181032443,False,NONNEGATIVE_RETAINED
L03,ORDERED_SEQUENTIAL_CUT,1,BREP_reopen,13154.148181032444,13025.315072459223,128.83310857322067,128.83310857322067,0.009794105007802095,0.009794105007802095,0.013154148181032443,False,NONNEGATIVE_RETAINED
