operation,requested_type,executed_type,semantic_match,recompute_success,save_success,reopen_success,step_success,stl_success,failure_stage,failure_reason
Revolve,revolve,Part::Revolution,True,True,True,True,True,True,,
Loft,loft,Part::Loft,True,True,True,True,True,True,,
Sweep / Pipe,sweep,Part::Sweep,True,True,True,True,True,True,,
Shell / Thickness,shell,Part::Thickness,True,True,True,True,True,True,,
Boolean Union,boolean_union,Part::Fuse,True,True,True,True,True,True,,
Boolean Cut,boolean_cut,Part::Cut,True,True,True,True,True,True,,
Fillet,fillet,Part::Fillet,True,True,True,True,True,True,,
Chamfer,chamfer,Part::Chamfer,True,True,True,True,True,True,,
Pattern,pattern,Part::FeaturePython,True,True,True,True,True,True,,
Mirror,mirror,Part::Mirroring,True,True,True,True,True,True,,
