entity_id,dataset_id,graph_valid,joint_types,manufacturer,max_chain_depth,metadata_matched,n_actuated_joints,n_collision_mesh_refs,n_graph_roots,n_joints,n_links,n_links_with_mesh_visual,n_links_with_visual,n_primitive_visuals,n_resolved_visual_mesh_refs,n_visual_mesh_refs,name,nonfixed_visual_coverage,parse_error,parse_ok,qc_grade,relative_path,resolution_methods,resolved_visual_meshes,robot_xml_name,source,source_link,type,urdf_path,variant,visual_mesh_resolution_rate,xacro_generated,grade_rank,original_rank,native_rank,n_available_records,available_sources,eligible_entity,manual_exclusion_reason,loaded_meshes,failed_meshes,mesh_load_errors,feature_ok,total_faces,total_vertices,total_surface_area,watertight_mesh_fraction,total_mesh_bodies,normal_entropy,dihedral_q90_deg,sharp_edge_rate_15deg,sharp_edge_rate_30deg,preliminary_complexity_score,complexity_stratum,blind_id,audit_order
arm-25d4f5567f,107,True,"{""fixed"": 2, ""revolute"": 6}",Schunk,8.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,LWA 4P,1.0,,True,A,random\xacro_generated\schunk_modular_robotics\schunk_description\urdf\schunk_lwa4p.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4p\\arm_1_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4p\\arm_2_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4p\\arm_3_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4p\\arm_4_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4p\\arm_5_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4p\\arm_6_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4p\\arm_base_link.stl""]",lwa4p,random,https://github.com/ipa320/schunk_modular_robotics/tree/b2d73bdd333eceda0e91b4f8d4e8881433dc243a/schunk_description,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\random\xacro_generated\schunk_modular_robotics\schunk_description\urdf\schunk_lwa4p.urdf,original,1.0,True,2,1,0,3,"[""random""]",True,,7.0,0.0,[],True,29093.0,14592.0,0.6133351865330591,0.7142857142857143,7.0,0.8786376073370564,22.481846299159752,0.1422033960584167,0.0866553520164195,0.1135842724616786,medium,G1-036F5E,1
arm-447dd175af,45,True,"{""fixed"": 4, ""revolute"": 6}",Universal Robots,8.0,True,6.0,7.0,1.0,10.0,11.0,7.0,7.0,0.0,7.0,7.0,UR3,1.0,,True,A,matlab\ur_description\urdf\universalUR3.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\ur_description\\meshes\\ur3\\visual\\base.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\ur_description\\meshes\\ur3\\visual\\forearm.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\ur_description\\meshes\\ur3\\visual\\shoulder.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\ur_description\\meshes\\ur3\\visual\\upperarm.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\ur_description\\meshes\\ur3\\visual\\wrist1.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\ur_description\\meshes\\ur3\\visual\\wrist2.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\ur_description\\meshes\\ur3\\visual\\wrist3.dae""]",ur3,matlab,https://se.mathworks.com/matlabcentral/fileexchange/98714-robotics-system-toolbox-robot-library-data,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\ur_description\urdf\universalUR3.urdf,original,1.0,False,2,1,1,3,"[""matlab"", ""robotics-toolbox"", ""ros-industrial""]",True,,7.0,0.0,[],True,67274.0,50139.0,0.5022387514434197,0.0,5915.0,0.9000634357140743,44.7568308386656,0.2804581696670552,0.1504476826223323,0.6349268237411962,high,G1-14B739,2
arm-d8cf128269,111,True,"{""fixed"": 2, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,IRB 140,1.0,,True,A,robotics-toolbox\abb_irb140\urdf\irb140.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_6.stl""]",abb_irb140,robotics-toolbox,https://github.com/petercorke/robotics-toolbox-python/tree/07ad1259338d6dfd41af6e5e50973e315284a912/rtb-data/rtbdata/xacro/abb_irb140,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\urdf\irb140.urdf,original,1.0,False,2,1,1,1,"[""robotics-toolbox""]",True,,7.0,0.0,[],True,19652.0,9827.0,28.08539053492061,0.8571428571428571,8.0,0.7315255747459376,89.27485860647053,0.4382770286530926,0.3380910534637693,0.5780345529633112,high,G1-155831,3
arm-fbeebf16bf,26,True,"{""continuous"": 4, ""fixed"": 5, ""revolute"": 4}",Kinova Robotics,10.0,True,8.0,11.0,1.0,13.0,14.0,11.0,13.0,2.0,17.0,17.0,Mico M1N6S200,1.0,,True,A,matlab\kinova_description\urdf\kinovaMicoM1N6S200.urdf,"{""ancestor_suffix"": 17}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\arm_mico.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\base.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\finger_distal.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\finger_proximal.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\forearm_mico.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\hand_2finger.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\ring_big.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\ring_small.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\shoulder.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\kinova_description\\meshes\\wrist.dae""]",m1n6s200,matlab,https://se.mathworks.com/matlabcentral/fileexchange/98714-robotics-system-toolbox-robot-library-data,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\kinova_description\urdf\kinovaMicoM1N6S200.urdf,original,1.0,False,2,1,1,2,"[""matlab"", ""oems""]",True,,10.0,0.0,[],True,101212.0,50624.0,0.3150161447432617,0.9,12.0,0.8285077676932291,15.326717846247888,0.0471348257591018,0.0449486084110517,-0.3316369377774557,medium,G1-18AAC1,4
arm-1998f45a5c,73,True,"{""continuous"": 3, ""fixed"": 3, ""revolute"": 7}",Kinova Robotics,10.0,True,10.0,11.0,1.0,13.0,14.0,11.0,11.0,0.0,17.0,17.0,Jaco J2S6S200,1.0,,True,A,oems\xacro_generated\kinova_robotics\kinova_description\urdf\j2s6s200_standalone.urdf,"{""ancestor_suffix"": 17}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\arm.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\base.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\finger_distal.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\finger_proximal.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\forearm.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\hand_2finger.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\ring_big.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\ring_small.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\shoulder.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\wrist_spherical_1.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\oems\\xacro_generated\\kinova_robotics\\kinova_description\\meshes\\wrist_spherical_2.dae""]",j2s6s200,oems,https://github.com/Kinovarobotics/kinova-ros/tree/09521579f49ffc8af88aafd749450ae9ed718ec9/kinova_description,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\oems\xacro_generated\kinova_robotics\kinova_description\urdf\j2s6s200_standalone.urdf,original,1.0,True,2,1,0,1,"[""oems""]",True,,11.0,0.0,[],True,111992.0,56016.0,0.3845003285894872,0.9090909090909092,13.0,0.8294934751006027,13.743371983802946,0.0402271550218778,0.0376210701279969,-0.3526206482719295,low,G1-1B3FD8,5
arm-ab859c237c,126,True,"{""continuous"": 1, ""fixed"": 4, ""prismatic"": 2, ""revolute"": 5}",Trossen Robotics,9.0,True,8.0,10.0,1.0,12.0,13.0,10.0,10.0,0.0,10.0,10.0,ReactorX-150,1.0,,True,A,robotics-toolbox\xacro_generated\interbotix_descriptions\urdf\rx150.urdf,"{""ancestor_suffix"": 10}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\xacro_generated\\interbotix_descriptions\\meshes\\meshes_rx150\\RXA-150-M-1-Base.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\xacro_generated\\interbotix_descriptions\\meshes\\meshes_rx150\\RXA-150-M-2-Shoulder.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\xacro_generated\\interbotix_descriptions\\meshes\\meshes_rx150\\RXA-150-M-3-UA.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\xacro_generated\\interbotix_descriptions\\meshes\\meshes_rx150\\RXA-150-M-4-Forearm.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\xacro_generated\\interbotix_descriptions\\meshes\\meshes_rx150\\RXA-150-M-5-Wrist.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\xacro_generated\\interbotix_descriptions\\meshes\\meshes_rx150\\RXA-150-M-6-Gripper.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\xacro_generated\\interbotix_descriptions\\meshes\\meshes_rx150\\RXA-150-M-7-Gripper-Prop.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\xacro_generated\\interbotix_descriptions\\meshes\\meshes_rx150\\RXA-150-M-8-Gripper-Bar.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\xacro_generated\\interbotix_descriptions\\meshes\\meshes_rx150\\RXA-150-M-9-Finger.stl""]",rx150,robotics-toolbox,https://github.com/petercorke/robotics-toolbox-python/tree/07ad1259338d6dfd41af6e5e50973e315284a912/rtb-data/rtbdata/xacro/interbotix_descriptions,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\xacro_generated\interbotix_descriptions\urdf\rx150.urdf,original,1.0,True,2,1,0,1,"[""robotics-toolbox""]",True,,9.0,0.0,[],True,11194.0,5687.0,311005.0282576084,0.8888888888888888,21.0,0.552600633038827,90.00000058209041,0.2734152530594506,0.236945471116947,-0.4763924973033819,low,G1-1BB9C4,6
arm-6e913f41ef,117,True,"{""fixed"": 2, ""revolute"": 7}",KUKA,8.0,True,7.0,8.0,1.0,9.0,10.0,8.0,8.0,0.0,8.0,8.0,LBR iiwa 14 R820,1.0,,True,A,robotics-toolbox\kuka_description\kuka_lbr_iiwa\urdf\lbr_iiwa_14_r820.urdf,"{""ancestor_suffix"": 8}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\kuka_description\\kuka_lbr_iiwa\\meshes\\lbr_iiwa_14_r820\\visual\\base_link.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\kuka_description\\kuka_lbr_iiwa\\meshes\\lbr_iiwa_14_r820\\visual\\link_1.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\kuka_description\\kuka_lbr_iiwa\\meshes\\lbr_iiwa_14_r820\\visual\\link_2.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\kuka_description\\kuka_lbr_iiwa\\meshes\\lbr_iiwa_14_r820\\visual\\link_3.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\kuka_description\\kuka_lbr_iiwa\\meshes\\lbr_iiwa_14_r820\\visual\\link_4.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\kuka_description\\kuka_lbr_iiwa\\meshes\\lbr_iiwa_14_r820\\visual\\link_5.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\kuka_description\\kuka_lbr_iiwa\\meshes\\lbr_iiwa_14_r820\\visual\\link_6.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\kuka_description\\kuka_lbr_iiwa\\meshes\\lbr_iiwa_14_r820\\visual\\link_7.dae""]",kuka_lbr_iiwa_14_r820,robotics-toolbox,https://github.com/petercorke/robotics-toolbox-python/tree/07ad1259338d6dfd41af6e5e50973e315284a912/rtb-data/rtbdata/xacro/kuka_description/kuka_lbr_iiwa,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\kuka_description\kuka_lbr_iiwa\urdf\lbr_iiwa_14_r820.urdf,original,1.0,False,2,1,1,2,"[""robotics-toolbox"", ""ros-industrial""]",True,,8.0,0.0,[],True,73108.0,38928.0,1.014538539271401,0.25,164.0,0.7987774876438624,23.725358619385062,0.0901509255783789,0.0640363773923056,-0.3074205270016573,medium,G1-23E8B8,7
arm-b7a6f7cec6,205,True,"{""fixed"": 3, ""revolute"": 6}",Fanuc,7.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,M-6iB/6S,1.0,,True,A,ros-industrial\xacro_generated\fanuc\fanuc_m6ib_support\urdf\m6ib6s.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\fanuc\\fanuc_m6ib_support\\meshes\\m6ib6s\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\fanuc\\fanuc_m6ib_support\\meshes\\m6ib6s\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\fanuc\\fanuc_m6ib_support\\meshes\\m6ib\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\fanuc\\fanuc_m6ib_support\\meshes\\m6ib\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\fanuc\\fanuc_m6ib_support\\meshes\\m6ib\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\fanuc\\fanuc_m6ib_support\\meshes\\m6ib\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\fanuc\\fanuc_m6ib_support\\meshes\\m6ib\\visual\\link_6.stl""]",fanuc_m6ib6s,ros-industrial,https://github.com/ros-industrial/fanuc/tree/74d7d441311590d3950b03da9a1a86409332c2e8/fanuc_m6ib_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\fanuc\fanuc_m6ib_support\urdf\m6ib6s.urdf,original,1.0,True,2,1,0,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,2188.0,1108.0,1.574035370771719,1.0,7.0,0.7445528367103088,42.84583240664327,0.2425832871082289,0.1444180298455936,-0.0882395679177207,medium,G1-280DD8,8
arm-d55f01b988,33,True,"{""fixed"": 2, ""prismatic"": 2, ""revolute"": 4}",ROBOTIS,6.0,True,6.0,7.0,1.0,8.0,9.0,7.0,8.0,1.0,7.0,7.0,Open Manipulator,1.0,,True,A,matlab\open_manipulator_description\urdf\robotisOpenManipulator.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\open_manipulator_description\\meshes\\chain_link1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\open_manipulator_description\\meshes\\chain_link2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\open_manipulator_description\\meshes\\chain_link3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\open_manipulator_description\\meshes\\chain_link4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\open_manipulator_description\\meshes\\chain_link5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\open_manipulator_description\\meshes\\chain_link_grip_l.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\open_manipulator_description\\meshes\\chain_link_grip_r.stl""]",open_manipulator,matlab,https://se.mathworks.com/matlabcentral/fileexchange/98714-robotics-system-toolbox-robot-library-data,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\open_manipulator_description\urdf\robotisOpenManipulator.urdf,original,1.0,False,2,1,1,3,"[""matlab"", ""oems""]",True,,7.0,0.0,[],True,81644.0,40215.0,254669.35428410783,0.8571428571428571,33.0,0.7229118051245733,89.99985277322278,0.4627016335313829,0.3814991937161368,0.596972310822427,high,G1-2A6406,9
arm-21b8992ec4,108,True,"{""fixed"": 3, ""revolute"": 7}",Schunk,10.0,True,7.0,8.0,1.0,10.0,11.0,8.0,8.0,0.0,8.0,8.0,LWA 4D,1.0,,True,A,random\xacro_generated\schunk_modular_robotics\schunk_description\urdf\schunk_lwa4d.urdf,"{""ancestor_suffix"": 8}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4d\\arm_1_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4d\\arm_2_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4d\\arm_3_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4d\\arm_4_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4d\\arm_5_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4d\\arm_6_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4d\\arm_7_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\random\\xacro_generated\\schunk_modular_robotics\\schunk_description\\meshes\\lwa4d\\arm_podest_link.stl""]",lwa4d,random,https://github.com/ipa320/schunk_modular_robotics/tree/b2d73bdd333eceda0e91b4f8d4e8881433dc243a/schunk_description,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\random\xacro_generated\schunk_modular_robotics\schunk_description\urdf\schunk_lwa4d.urdf,original,1.0,True,2,1,0,1,"[""random""]",True,,8.0,0.0,[],True,12698.0,6363.0,0.9401358740198956,0.75,11.0,0.7753079225989896,86.02160765061485,0.3314744465738228,0.323872808764943,0.5195682748360367,high,G1-2E5FC2,10
