dataset_id,graph_valid,joint_types,manufacturer,max_chain_depth,metadata_matched,n_actuated_joints,n_collision_mesh_refs,n_graph_roots,n_joints,n_links,n_links_with_mesh_visual,n_links_with_visual,n_primitive_visuals,n_resolved_visual_mesh_refs,n_visual_mesh_refs,name,nonfixed_visual_coverage,parse_error,parse_ok,qc_grade,relative_path,resolution_methods,resolved_visual_meshes,robot_xml_name,source,source_link,type,urdf_path,variant,visual_mesh_resolution_rate,xacro_generated,grade_rank,original_rank,native_rank,entity_id,n_available_records,available_sources,eligible_entity,manual_exclusion_reason,loaded_meshes,failed_meshes,mesh_load_errors,feature_ok,total_faces,total_vertices,total_surface_area,watertight_mesh_fraction,total_mesh_bodies,normal_entropy,dihedral_q90_deg,sharp_edge_rate_15deg,sharp_edge_rate_30deg,preliminary_complexity_score,complexity_stratum,p_n_links_with_mesh_visual,p_n_visual_mesh_refs,p_loaded_meshes,p_n_actuated_joints,p_max_chain_depth,p_n_joints,assembly_complexity_v2,kinematic_complexity_v2,geometry_complexity_v2,orientation_module_v2,curvature_module_v2,overall_complexity_v2
157,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,CRB 15000,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_crb15000_support\urdf\crb15000_5_95.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_crb15000_support\\meshes\\crb15000_5_95\\visual\\link_6.stl""]",abb_crb15000_5_95,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_crb15000_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_crb15000_support\urdf\crb15000_5_95.urdf,original,1.0,True,2,1,0,arm-fdadfa8bdd,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,52539.0,31699.0,0.9187670001433748,0.0,17.0,0.8392132536700998,34.135401142682944,0.1472480269046617,0.0965466169137496,0.0451614852846438,medium,0.375886524822695,0.36879432624113473,0.46099290780141844,0.39361702127659576,0.5319148936170213,0.44680851063829785,0.4018912529550827,0.4574468085106383,0.5870764381402679,0.7541371158392435,0.42001576044129235,0.48213816653532965
4,True,"{""fixed"": 2, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,IRB 120,1.0,,True,A,matlab\abb_irb120_support\urdf\abbIrb120.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_6.stl""]",abb_irb120_3_58,matlab,https://se.mathworks.com/matlabcentral/fileexchange/98714-robotics-system-toolbox-robot-library-data,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb120_support\urdf\abbIrb120.urdf,original,1.0,False,2,1,1,arm-f7b0b901d3,1,"[""matlab""]",True,,7.0,0.0,[],True,39982.0,19856.0,1.3960620752962185,0.5714285714285714,87.0,0.6967849681870395,86.39278437622696,0.322183929123618,0.2200306442057868,0.1835361167420732,medium,0.375886524822695,0.36879432624113473,0.46099290780141844,0.39361702127659576,0.1524822695035461,0.1276595744680851,0.4018912529550827,0.22458628841607564,0.42001576044129235,0.05319148936170213,0.7868400315208826,0.34883110060415023
160,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,IRB 120-3/0.6,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_irb120_support\urdf\irb120_3_58.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_6.stl""]",abb_irb120_3_58,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_irb120_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb120_support\urdf\irb120_3_58.urdf,original,1.0,True,2,1,0,arm-7d8304122a,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,39982.0,19856.0,1.3960620752962185,0.5714285714285714,87.0,0.6967849681870395,86.39278437622696,0.322183929123618,0.2200306442057868,0.1835361167420732,medium,0.375886524822695,0.36879432624113473,0.46099290780141844,0.39361702127659576,0.5319148936170213,0.44680851063829785,0.4018912529550827,0.4574468085106383,0.42001576044129235,0.05319148936170213,0.7868400315208826,0.42645127396900445
158,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,IRB 1200-5/0.9,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_irb1200_support\urdf\irb1200_5_90.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\base_link.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_1.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_2.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_3.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_4.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_5.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_6.dae""]",abb_irb1200_5_90,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_irb1200_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\urdf\irb1200_5_90.urdf,original,1.0,True,2,1,0,arm-d23914e41d,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,92843.0,49586.0,1.4114082270743695,0.4285714285714285,466.0,0.7595311669047922,46.17479226164665,0.2584591621622683,0.1141109142825642,0.0280819512516537,medium,0.375886524822695,0.36879432624113473,0.46099290780141844,0.39361702127659576,0.5319148936170213,0.44680851063829785,0.4018912529550827,0.4574468085106383,0.6970055161544524,0.8274231678486997,0.5665878644602048,0.5187811925400577
159,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,IRB 1200-7/0.7,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_irb1200_support\urdf\irb1200_7_70.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\base_link.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_1.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_4.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_5.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_5_90\\visual\\link_6.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_7_70\\visual\\link_2.dae"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb1200_support\\meshes\\irb1200_7_70\\visual\\link_3.dae""]",abb_irb1200_7_70,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_irb1200_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb1200_support\urdf\irb1200_7_70.urdf,original,1.0,True,2,1,0,arm-402d7168a6,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,78918.0,42559.0,1.3498742827185433,0.4285714285714285,434.0,0.7711762314396198,60.45651438277347,0.2631680815575545,0.1317277426717762,0.1856572055406159,high,0.375886524822695,0.36879432624113473,0.46099290780141844,0.39361702127659576,0.5319148936170213,0.44680851063829785,0.4018912529550827,0.4574468085106383,0.7450748620961387,0.8936170212765958,0.5965327029156816,0.5348043078539532
5,True,"{""fixed"": 2, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,IRB 120T,1.0,,True,A,matlab\abb_irb120_support\urdf\abbIrb120T.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_6.stl""]",abb_irb120t_3_58,matlab,https://se.mathworks.com/matlabcentral/fileexchange/98714-robotics-system-toolbox-robot-library-data,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb120_support\urdf\abbIrb120T.urdf,original,1.0,False,2,1,1,arm-936a2bbc83,1,"[""matlab""]",True,,7.0,0.0,[],True,39982.0,19856.0,1.3960620752962185,0.5714285714285714,87.0,0.6967849681870395,86.39278437622696,0.322183929123618,0.2200306442057868,0.1835361167420732,medium,0.375886524822695,0.36879432624113473,0.46099290780141844,0.39361702127659576,0.1524822695035461,0.1276595744680851,0.4018912529550827,0.22458628841607564,0.42001576044129235,0.05319148936170213,0.7868400315208826,0.34883110060415023
161,True,"{""fixed"": 3, ""revolute"": 6}",ABB,8.0,True,6.0,7.0,1.0,9.0,10.0,7.0,7.0,0.0,7.0,7.0,IRB 120T-3/0.6,1.0,,True,A,ros-industrial\xacro_generated\abb\abb_irb120_support\urdf\irb120t_3_58.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\ros-industrial\\xacro_generated\\abb\\abb_irb120_support\\meshes\\irb120_3_58\\visual\\link_6.stl""]",abb_irb120t_3_58,ros-industrial,https://github.com/ros-industrial/abb_experimental/tree/97cdd97b5d7882d349d8b2674eb74c110a78cccb/abb_irb120_support,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_irb120_support\urdf\irb120t_3_58.urdf,original,1.0,True,2,1,0,arm-30008f0a9e,1,"[""ros-industrial""]",True,,7.0,0.0,[],True,39982.0,19856.0,1.3960620752962185,0.5714285714285714,87.0,0.6967849681870395,86.39278437622696,0.322183929123618,0.2200306442057868,0.1835361167420732,medium,0.375886524822695,0.36879432624113473,0.46099290780141844,0.39361702127659576,0.5319148936170213,0.44680851063829785,0.4018912529550827,0.4574468085106383,0.42001576044129235,0.05319148936170213,0.7868400315208826,0.42645127396900445
111,True,"{""fixed"": 2, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,IRB 140,1.0,,True,A,robotics-toolbox\abb_irb140\urdf\irb140.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_6.stl""]",abb_irb140,robotics-toolbox,https://github.com/petercorke/robotics-toolbox-python/tree/07ad1259338d6dfd41af6e5e50973e315284a912/rtb-data/rtbdata/xacro/abb_irb140,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\urdf\irb140.urdf,original,1.0,False,2,1,1,arm-d8cf128269,1,"[""robotics-toolbox""]",True,,7.0,0.0,[],True,19652.0,9827.0,28.08539053492061,0.8571428571428571,8.0,0.7315255747459376,89.27485860647053,0.4382770286530926,0.3380910534637693,0.5780345529633112,high,0.375886524822695,0.36879432624113473,0.46099290780141844,0.39361702127659576,0.1524822695035461,0.1276595744680851,0.4018912529550827,0.22458628841607564,0.7966903073286051,0.710401891252955,0.8829787234042552,0.47438928289992116
112,True,"{""fixed"": 2, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,8.0,9.0,7.0,7.0,0.0,7.0,7.0,IRB 140T,1.0,,True,A,robotics-toolbox\abb_irb140\urdf\irb140QT.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_2.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\robotics-toolbox\\abb_irb140\\meshes\\irb140\\visual\\link_6.stl""]",abb_irb140,robotics-toolbox,https://github.com/petercorke/robotics-toolbox-python/tree/07ad1259338d6dfd41af6e5e50973e315284a912/rtb-data/rtbdata/xacro/abb_irb140,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\abb_irb140\urdf\irb140QT.urdf,original,1.0,False,2,1,1,arm-f86e598566,1,"[""robotics-toolbox""]",True,,7.0,0.0,[],True,19652.0,9827.0,28.08539053492061,0.8571428571428571,8.0,0.7315255747459376,89.27485860647053,0.4382770286530926,0.3380910534637693,0.5780345529633112,high,0.375886524822695,0.36879432624113473,0.46099290780141844,0.39361702127659576,0.1524822695035461,0.1276595744680851,0.4018912529550827,0.22458628841607564,0.7966903073286051,0.710401891252955,0.8829787234042552,0.47438928289992116
6,True,"{""fixed"": 1, ""revolute"": 6}",ABB,7.0,True,6.0,7.0,1.0,7.0,8.0,7.0,7.0,0.0,7.0,7.0,IRB 1600,1.0,,True,A,matlab\abb_irb1600_support\urdf\abbIrb1600.urdf,"{""ancestor_suffix"": 7}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\base_link.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_1.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_3.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_4.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_5.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600\\visual\\link_6.stl"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\matlab\\abb_irb1600_support\\meshes\\irb1600_6_12\\visual\\link_2.stl""]",abb_irb1600_6_12,matlab,https://se.mathworks.com/matlabcentral/fileexchange/98714-robotics-system-toolbox-robot-library-data,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb1600_support\urdf\abbIrb1600.urdf,original,1.0,False,2,1,1,arm-4e79777e86,1,"[""matlab""]",True,,6.0,1.0,"[""link_3.stl: ModuleNotFoundError: No module named 'networkx'""]",True,14656.0,7917.0,2.3788163228100063,0.0,6.0,0.7021424687185407,88.13182065287192,0.3647474632079543,0.3270952435051631,0.3029058175069395,high,0.375886524822695,0.36879432624113473,0.12056737588652482,0.39361702127659576,0.1524822695035461,0.04609929078014184,0.2884160756501182,0.19739952718676124,0.6138691883372734,0.39834515366430256,0.8293932230102442,0.3665615970580509
