prototype_index,entity_id,manufacturer,name,source,urdf_path,n_links_parsed,n_joints_parsed,mesh_references,mesh_references_resolved,mesh_resolution_rate,loaded_visual_links,moving_link_visual_rate,face_count,robot_diagonal,axis_checks,axis_plausible_rate,max_axis_aabb_distance_ratio,multi_pose_finite,multi_pose_motion_ratio,multi_pose_bounded,mesh_quality_pass,urdf_quality_pass,mesh_urdf_consistency_pass,evaluator_pass,multimodal_pass,visual_review_pass,automated_complete,complete_case,render_paths,prompt_text,failures,failed_gates,link_names_valid,joint_names_valid,joint_endpoints_valid,joint_types_valid,joint_limits_valid,tree_valid,root_count,root_link,evaluator_identity_ok,evaluator_corruption_detected,identity_cd,identity_hd95,identity_similarity,corrupt_cd,corrupt_hd95,corrupt_similarity,identity_part_cd_max,identity_part_iou_min,corrupt_part_cd_mean,corrupt_part_iou_mean,identity_partmatch_f1,identity_graph_f1,identity_joint_type_accuracy,identity_axis_error,identity_origin_error,identity_multipose_transform_error,corrupt_partmatch_f1,corrupt_graph_f1,corrupt_joint_type_accuracy,corrupt_axis_error,corrupt_origin_error,corrupt_multipose_transform_error
1,arm-fdadfa8bdd,ABB,CRB 15000,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_crb15000_support\urdf\crb15000_5_95.urdf,10,9,7,7,1.0,7,1.0,52539,1.2139735794368125,8,1.0,0.07990288837706226,True,0.4993055260459156,True,True,True,True,True,True,True,True,True,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.",[],[],True,True,True,True,True,True,1,base_link,True,True,0.0,0.0,1.0,0.009147082541996771,0.01,0.8328167484771658,0.0,1.0,0.03604061958252623,0.30700944973979605,1.0,1.0,1.0,0.0,0.0,0.0,0.923076923076923,0.9411764705882353,0.8888888888888888,0.011111111111111112,0.0013488595327075695,0.7014598405514222
2,arm-f7b0b901d3,ABB,IRB 120,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb120_support\urdf\abbIrb120.urdf,9,8,7,7,1.0,7,1.0,39982,0.9380736911834071,8,1.0,0.16523222285080388,True,0.6265484546003847,True,True,True,True,True,True,True,True,True,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_iso.png""]","Generate a complete articulated robot arm with 9 links and 8 joints (6 actuated; 2 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.",[],[],True,True,True,True,True,True,1,base_link,True,True,0.0,0.0,1.0,0.009412211366065234,0.01000000000000001,0.8284123615925122,0.0,1.0,0.03922376321091654,0.3613008949136976,1.0,1.0,1.0,0.0,0.0,0.0,0.923076923076923,0.9333333333333333,0.875,0.0125,0.0011725921139792588,0.29727235795195
3,arm-4c7b408826,Fanuc,LR Mate 200iB/3L,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\fanuc\fanuc_lrmate200ib_support\urdf\lrmate200ib3l.urdf,10,9,7,7,1.0,7,1.0,25109,1.182243846279309,8,1.0,0.09736630610172906,True,1.1590553079031187,True,True,True,True,True,True,True,True,True,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.",[],[],True,True,True,True,True,True,1,base_link,True,True,0.0,0.0,1.0,0.009395145418291197,0.010000000000000009,0.8286951626944211,0.0,1.0,0.03885277886712224,0.3256087310159192,1.0,1.0,1.0,0.0,0.0,0.0,0.923076923076923,0.9411764705882353,0.8888888888888888,0.011111111111111112,0.0013136042736436766,0.541589551078874
4,arm-cb42051aad,Fanuc,LR Mate 200iC,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\fanuc\fanuc_lrmate200ic_support\urdf\lrmate200ic.urdf,10,9,7,7,1.0,7,1.0,20341,1.016617389139592,8,1.0,0.1711558336894208,True,1.0692714997560102,True,True,True,True,True,True,True,True,True,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.",[],[],True,True,True,True,True,True,1,base_link,True,True,0.0,0.0,1.0,0.00946519032519881,0.01000000000000001,0.8275350579679094,0.0,1.0,0.041996950334392755,0.2964076569963981,1.0,1.0,1.0,0.0,0.0,0.0,0.923076923076923,0.9411764705882353,0.8888888888888888,0.011111111111111112,0.0011295748768217688,0.4679433225790156
5,arm-43fa322555,Franka Emika,FR3,oems,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\oems\xacro_generated\franka_emika\franka_description\robots\fr3\fr3.urdf,17,16,8,8,1.0,8,1.0,126586,1.1892464039468678,16,1.0,0.21862584554949,True,0.6979900939371788,True,True,True,True,True,True,True,True,True,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_iso.png""]","Generate a complete articulated robot arm with 17 links and 16 joints (7 actuated; 9 fixed, 7 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.",[],[],True,True,True,True,True,True,1,fr3_link0,True,True,0.0,0.0,1.0,0.00902828860103161,0.010000000000000005,0.8347977725549334,0.0,1.0,0.03545817171786078,0.34658141666374676,1.0,1.0,1.0,0.0,0.0,0.0,0.9333333333333333,0.967741935483871,0.9375,0.0062500000000000056,0.0007432790024667924,0.3576383206231088
6,arm-07307859e2,Franka Emika,Panda,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\franka_description\robots\frankaEmikaPanda.urdf,12,11,11,11,1.0,11,1.0,134912,1.1897594799911628,11,1.0,0.21853156457428535,True,0.41480098775722263,True,True,True,True,True,True,True,True,True,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_iso.png""]","Generate a complete articulated robot arm with 12 links and 11 joints (9 actuated; 2 fixed, 2 prismatic, 7 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.",[],[],True,True,True,True,True,True,1,panda_link0,True,True,0.0,0.0,1.0,0.00890167026324944,0.010000000000000005,0.8369144656723028,0.0,1.0,0.045941717818294266,0.4048275401798323,1.0,1.0,1.0,0.0,0.0,0.0,0.9523809523809523,0.9523809523809523,0.9090909090909091,0.009090909090909092,0.0010815995272646936,0.4517952383481029
7,arm-dcc2b0ce1e,KUKA,KR 10 R1100 sixx,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\kuka\kuka_kr10_support\urdf\kr10r1100sixx.urdf,10,9,7,7,1.0,7,1.0,59781,1.5206415285384896,8,1.0,0.09154030939057348,True,0.8638794065230805,True,True,True,True,True,True,True,True,True,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.",[],[],True,True,True,True,True,True,1,base_link,True,True,0.0,0.0,1.0,0.00901730366156635,0.01000000000000001,0.8349811967631788,0.0,1.0,0.054143235853192355,0.4121907975410978,1.0,1.0,1.0,0.0,0.0,0.0,0.923076923076923,0.9411764705882353,0.8888888888888888,0.011111111111111112,0.0016896016983760996,0.738063526039628
8,arm-3ce41d3c31,KUKA,KR 10 R900-2,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\kuka\kuka_kr10_support\urdf\kr10r900_2.urdf,10,9,7,7,1.0,7,1.0,20336,1.355428647672726,8,1.0,0.15124365540206403,True,0.8076530547190716,True,True,True,True,True,True,True,True,True,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.",[],[],True,True,True,True,True,True,1,base_link,True,True,0.0,0.0,1.0,0.009077422578715333,0.010000000000000026,0.8339778367854302,0.0,1.0,0.040672594707313894,0.32882814312934777,1.0,1.0,1.0,0.0,0.0,0.0,0.923076923076923,0.9411764705882353,0.8888888888888888,0.011111111111111112,0.0015060318307474733,0.6166988011030853
9,arm-23fbd5742a,Kinova Robotics,Gen3,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\kortex_description\urdf\kinovaGen3.urdf,9,8,9,8,0.8888888888888888,8,1.0,86722,1.1989307522680486,8,1.0,0.0020849893046803467,True,0.42072859710116284,True,False,True,True,True,True,True,False,False,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_iso.png""]","Generate a complete articulated robot arm with 9 links and 8 joints (7 actuated; 4 continuous, 1 fixed, 3 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.","[""empty:EndEffector_Link.STL""]","[""mesh_quality""]",True,True,True,True,True,True,1,base_link,True,True,0.0,0.0,1.0,0.00859692594121716,0.01,0.8420309406292907,0.0,1.0,0.045324440301888966,0.41567086540742093,1.0,1.0,1.0,0.0,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.0125,0.0014986634403350609,0.4812230306388725
10,arm-ab15a75247,Lynxmotion,AL5D,robotics-toolbox,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\al5d_description\urdf\al5d_robot.urdf,5,4,5,5,1.0,5,1.0,58951,0.4187241293179906,4,1.0,0.06272292313837313,True,0.6886772503065043,True,True,True,True,True,True,True,True,True,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_iso.png""]","Generate a complete articulated robot arm with 5 links and 4 joints (4 actuated; 4 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose.",[],[],True,True,True,True,True,True,1,base,True,True,0.0,0.0,1.0,0.00903298058458898,0.010000000000000004,0.8347194390819335,0.0,1.0,0.023304431562827677,0.26897064826916184,1.0,1.0,1.0,0.0,0.0,0.0,0.888888888888889,0.8571428571428571,0.75,0.025,0.0010468103232949765,0.05116665760781989
