prototype_index,entity_id,manufacturer,name,source,urdf_path,render_paths,prompt_text
1,arm-fdadfa8bdd,ABB,CRB 15000,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\abb\abb_crb15000_support\urdf\crb15000_5_95.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-fdadfa8bdd\\01_arm-fdadfa8bdd_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
2,arm-f7b0b901d3,ABB,IRB 120,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\abb_irb120_support\urdf\abbIrb120.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-f7b0b901d3\\02_arm-f7b0b901d3_iso.png""]","Generate a complete articulated robot arm with 9 links and 8 joints (6 actuated; 2 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
3,arm-4c7b408826,Fanuc,LR Mate 200iB/3L,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\fanuc\fanuc_lrmate200ib_support\urdf\lrmate200ib3l.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-4c7b408826\\03_arm-4c7b408826_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
4,arm-cb42051aad,Fanuc,LR Mate 200iC,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\fanuc\fanuc_lrmate200ic_support\urdf\lrmate200ic.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-cb42051aad\\04_arm-cb42051aad_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
5,arm-43fa322555,Franka Emika,FR3,oems,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\oems\xacro_generated\franka_emika\franka_description\robots\fr3\fr3.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-43fa322555\\05_arm-43fa322555_iso.png""]","Generate a complete articulated robot arm with 17 links and 16 joints (7 actuated; 9 fixed, 7 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
6,arm-07307859e2,Franka Emika,Panda,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\franka_description\robots\frankaEmikaPanda.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-07307859e2\\06_arm-07307859e2_iso.png""]","Generate a complete articulated robot arm with 12 links and 11 joints (9 actuated; 2 fixed, 2 prismatic, 7 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
7,arm-dcc2b0ce1e,KUKA,KR 10 R1100 sixx,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\kuka\kuka_kr10_support\urdf\kr10r1100sixx.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-dcc2b0ce1e\\07_arm-dcc2b0ce1e_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
8,arm-3ce41d3c31,KUKA,KR 10 R900-2,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\kuka\kuka_kr10_support\urdf\kr10r900_2.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3ce41d3c31\\08_arm-3ce41d3c31_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
9,arm-23fbd5742a,Kinova Robotics,Gen3,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\kortex_description\urdf\kinovaGen3.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-23fbd5742a\\09_arm-23fbd5742a_iso.png""]","Generate a complete articulated robot arm with 9 links and 8 joints (7 actuated; 4 continuous, 1 fixed, 3 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
10,arm-ab15a75247,Lynxmotion,AL5D,robotics-toolbox,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\al5d_description\urdf\al5d_robot.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-ab15a75247\\10_arm-ab15a75247_iso.png""]","Generate a complete articulated robot arm with 5 links and 4 joints (4 actuated; 4 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
