dataset_id,graph_valid,joint_types,manufacturer,max_chain_depth,metadata_matched,n_actuated_joints,n_collision_mesh_refs,n_graph_roots,n_joints,n_links,n_links_with_mesh_visual,n_links_with_visual,n_primitive_visuals,n_resolved_visual_mesh_refs,n_visual_mesh_refs,name,nonfixed_visual_coverage,parse_error,parse_ok,qc_grade,relative_path,resolution_methods,resolved_visual_meshes,robot_xml_name,source,source_link,type,urdf_path,variant,visual_mesh_resolution_rate,xacro_generated
0,True,"{""fixed"": 5, ""revolute"": 16}",Wonik Robotics,6,True,16,0,1,21,22,21,21,0,21,21,Allegro hand - left,1.0,,True,A,drake\allegro_hand_description\urdf\allegro_hand_description_left.urdf,"{""ancestor_suffix"": 21}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\base_link_left.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_0.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_1.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_12.0_left.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_13.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_14.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_15.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_15.0_tip.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_2.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_3.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_3.0_tip.obj""]",allegro_hand_left,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/manipulation/models/allegro_hand_description,end effector,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\allegro_hand_description\urdf\allegro_hand_description_left.urdf,original,1.0,False
1,True,"{""fixed"": 5, ""revolute"": 16}",Wonik Robotics,6,True,16,0,1,21,22,21,21,0,21,21,Allegro hand - right,1.0,,True,A,drake\allegro_hand_description\urdf\allegro_hand_description_right.urdf,"{""ancestor_suffix"": 21}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\base_link.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_0.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_1.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_12.0_right.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_13.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_14.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_15.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_15.0_tip.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_2.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_3.0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\allegro_hand_description\\meshes\\link_3.0_tip.obj""]",allegro_hand_right,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/manipulation/models/allegro_hand_description,end effector,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\allegro_hand_description\urdf\allegro_hand_description_right.urdf,original,1.0,False
247,True,"{""fixed"": 39, ""revolute"": 30}",Boston Dynamics,19,True,30,28,1,69,70,32,36,16,32,32,Atlas,1.0,,True,A,drake\atlas\urdf\atlas_convex_hull.urdf,"{""ancestor_suffix"": 32}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\GRIPPER_OPEN_chull.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\head_camera_chull.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\head_chull.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_foot.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_lglut.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_lleg.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_talus.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_uglut.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_uleg.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\ltorso.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\mtorso.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\pelvis.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_clav.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_farm.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_foot.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_hand.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_larm.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_lglut.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_lleg.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_scap.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_talus.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_uarm.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_uglut.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_uleg.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\utorso.obj""]",atlas,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/examples/atlas,humanoid robot,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\atlas\urdf\atlas_convex_hull.urdf,convex hull,1.0,False
248,True,"{""fixed"": 29, ""revolute"": 30}",Boston Dynamics,19,True,30,0,1,59,60,30,34,20,30,30,Atlas,0.967742,,True,A,drake\atlas\urdf\atlas_minimal_contact.urdf,"{""ancestor_suffix"": 30}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\head.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\head_camera.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_foot.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_lglut.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_lleg.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_talus.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_uglut.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\l_uleg.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\ltorso.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\mtorso.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\pelvis.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_clav.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_farm.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_foot.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_hand.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_larm.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_lglut.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_lleg.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_scap.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_talus.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_uarm.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_uglut.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\r_uleg.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\utorso.obj""]",atlas,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/examples/atlas,humanoid robot,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\atlas\urdf\atlas_minimal_contact.urdf,minimal contact,1.0,False
2,True,"{""continuous"": 18, ""fixed"": 3, ""revolute"": 12}",Robotiq,5,True,30,0,1,33,34,13,34,21,13,13,3F gripper,0.419355,,True,C,drake\atlas\urdf\robotiq.urdf,"{""ancestor_suffix"": 13}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_0.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_1.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_2.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_3.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\palm.STL""]",s-model_articulated,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/examples/atlas,end effector,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\atlas\urdf\robotiq.urdf,original,1.0,False
249,True,"{""fixed"": 3, ""revolute"": 9}",Robotiq,4,True,9,0,1,12,13,13,13,0,13,13,3F gripper,1.0,,True,A,drake\atlas\urdf\robotiq_simple.urdf,"{""ancestor_suffix"": 13}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_0.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_1.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_2.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_3.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\palm.STL""]",s-model_articulated,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/examples/atlas,end effector,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\atlas\urdf\robotiq_simple.urdf,articulated,1.0,False
250,True,"{""continuous"": 9, ""fixed"": 3, ""prismatic"": 1}",Robotiq,4,True,10,0,1,13,14,13,14,1,13,13,3F gripper,1.0,,True,A,drake\atlas\urdf\robotiq_tendons.urdf,"{""ancestor_suffix"": 13}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_0.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_1.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_2.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\link_3.STL"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\atlas\\urdf\\meshes\\s-model_articulated\\visual\\palm.STL""]",s-model_articulated,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/examples/atlas,end effector,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\atlas\urdf\robotiq_tendons.urdf,tendons,1.0,False
252,True,"{""fixed"": 6, ""revolute"": 14}",KUKA,9,True,14,2,1,20,21,16,16,0,30,30,Dual LBR iiwa 14,1.0,,True,A,drake\iiwa_description\urdf\dual_iiwa14_polytope_collision.urdf,"{""ancestor_suffix"": 30}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\band.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\kuka.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_1.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_2_grey.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_2_orange.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_3.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_4_grey.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_4_orange.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_5.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_6_grey.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_6_orange.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_7.obj""]",dual_iiwa14,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/manipulation/models/iiwa_description,dual arm robot,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\iiwa_description\urdf\dual_iiwa14_polytope_collision.urdf,polytope collision,1.0,False
253,True,"{""fixed"": 3, ""revolute"": 7}",KUKA,9,True,7,0,1,10,11,8,8,0,15,15,LBR iiwa 14,1.0,,True,A,drake\iiwa_description\urdf\iiwa14_no_collision.urdf,"{""ancestor_suffix"": 15}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\band.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\kuka.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_1.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_2_grey.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_2_orange.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_3.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_4_grey.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_4_orange.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_5.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_6_grey.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_6_orange.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_7.obj""]",iiwa14,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/manipulation/models/iiwa_description,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\iiwa_description\urdf\iiwa14_no_collision.urdf,no collision,1.0,False
254,True,"{""fixed"": 3, ""revolute"": 7}",KUKA,9,True,7,1,1,10,11,8,8,0,15,15,LBR iiwa 14,1.0,,True,A,drake\iiwa_description\urdf\iiwa14_polytope_collision.urdf,"{""ancestor_suffix"": 15}","[""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\band.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\kuka.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_0.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_1.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_2_grey.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_2_orange.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_3.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_4_grey.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_4_orange.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_5.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_6_grey.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_6_orange.obj"", ""D:\\CADtest\\papertest\\go_nogo1\\sources\\urdf_files_dataset\\urdf_files\\drake\\iiwa_description\\meshes\\visual\\link_7.obj""]",iiwa14,drake,https://github.com/RobotLocomotion/drake/tree/a037acf09ae797fb1d4ea850dd847337a98b7f26/manipulation/models/iiwa_description,robotic arm,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\drake\iiwa_description\urdf\iiwa14_polytope_collision.urdf,polytope collision,1.0,False
