entity_id,manufacturer,name,product_family,source,complexity_stratum,v3_split,split_seed,split_manifest_hash
arm-f7b0b901d3,ABB,IRB 120,ABB|irb 120,matlab,medium,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-7d8304122a,ABB,IRB 120-3/0.6,ABB|irb 120,ros-industrial,medium,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-d23914e41d,ABB,IRB 1200-5/0.9,ABB|irb 1200,ros-industrial,medium,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-402d7168a6,ABB,IRB 1200-7/0.7,ABB|irb 1200,ros-industrial,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-936a2bbc83,ABB,IRB 120T,ABB|irb 120t,matlab,medium,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-30008f0a9e,ABB,IRB 120T-3/0.6,ABB|irb 120t,ros-industrial,medium,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-d8cf128269,ABB,IRB 140,ABB|irb 140,robotics-toolbox,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-f86e598566,ABB,IRB 140T,ABB|irb 140,robotics-toolbox,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-4e79777e86,ABB,IRB 1600,ABB|irb 1600,matlab,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-c92ba5c644,ABB,IRB 1600-6/1.2,ABB|irb 1600,ros-industrial,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-674fb8e440,ABB,IRB 1600-8/1.45,ABB|irb 1600,ros-industrial,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-8fcf241b6f,ABB,IRB 52-7/1.2,ABB|irb 52,ros-industrial,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-91f018718c,ABB,IRB 52-7/1.45,ABB|irb 52,ros-industrial,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-065970a45f,ABB,IRB 5400,ABB|irb 5400,ros-industrial,medium,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-6af92e32a6,ABB,IRB 6600-255/2.55,ABB|irb 6600,ros-industrial,medium,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-19acb3833f,Fanuc,CR-35iA,Fanuc|cr-35ia,ros-industrial,low,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-8802f2b8b4,Fanuc,CR-7iA,Fanuc|cr-7ia,ros-industrial,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-3acdb3f5e2,Fanuc,CR-7iA/L,Fanuc|cr-7ia,ros-industrial,high,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-98c28568ba,Fanuc,CRX-10iA/L,Fanuc|crx-10ia,ros-industrial,low,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-cf88bb5d3f,Fanuc,LR Mate 200i,Fanuc|lr mate 200i,ros-industrial,low,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-fa86494fa0,Fanuc,LR Mate 200iB,Fanuc|lr mate 200i,matlab,low,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-4c7b408826,Fanuc,LR Mate 200iB/3L,Fanuc|lr mate 200i,ros-industrial,low,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-cb42051aad,Fanuc,LR Mate 200iC,Fanuc|lr mate 200i,ros-industrial,low,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-de1be0b74e,Fanuc,LR Mate 200iC/5F,Fanuc|lr mate 200i,ros-industrial,low,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
arm-53f9b9bc6b,Fanuc,LR Mate 200iC/5H,Fanuc|lr mate 200i,ros-industrial,low,development,20260807,c9c04b30c31ed857caca9dd3512de95fd0e7f7f29fc818f970623919fb79020a
