pilot_index,case_id,entity_id,manufacturer,name,links,joints,actuated_dof,local_urdf,local_urdf_sha256,mesh_files,prompt_sha256,render_hashes
1,case_01_arm-fdadfa8bdd,arm-fdadfa8bdd,ABB,CRB 15000,10,9,6,D:\CADtest\papertest\go_nogo2\data\pilot10\case_01_arm-fdadfa8bdd\urdf\model.urdf,7f9c58ac6b5edcf12d020b43753d718b0b1e48985b6d9ad3758950443544507b,14,9895affa90dc76fb870cb4a40d6fbc2fac40816061b8519a530781cfc5d9b80e,"{""front"": ""1624d49c12748fd4a9ff32a4176ce9ab8f9eadcf02d69ab99cfa398e4cb753ed"", ""iso"": ""6646d2e61eaf0fa4d63c7c49c5bf973ec41df896ae39cb829de54195fad4835c"", ""left"": ""54d015edbe841f9b6090fc29f7bffcda1f7e60cedc8a81991961b1b6a26015f5"", ""rear"": ""f434bdb7e75e1bcd3abed1bf64a4d91efbefa77b36c5a2ba577537eb8fec77d0"", ""right"": ""953e09da3972cbbfb84454a8273cd57ddd58755e21772291b485e064959ca7d5"", ""top"": ""3b3348eac54be7a32051a8835ed9ad7676e5cde5b04161c0d86b548433a77ec7""}"
2,case_02_arm-4c7b408826,arm-4c7b408826,Fanuc,LR Mate 200iB/3L,10,9,6,D:\CADtest\papertest\go_nogo2\data\pilot10\case_02_arm-4c7b408826\urdf\model.urdf,1dfc026c2027ad171272c7f5d03bc5f77482d6d642a0bf53e1db949fd4bd6e89,14,a98532e734378258d099c820d86493506f2066e9c0cb06faff3e6f23875e2c3b,"{""front"": ""992a729e9fe0686d17e35902b3fbc76d423c811b8a796bde20658d3bf0531458"", ""iso"": ""239542b688798b8ca081d470fd86357e624db3c4e30f8ab59d4418db5a739cbe"", ""left"": ""ef2ee4c92ba9803d98705406c23ec6413af325cf6dc59b6c2072401e755465d8"", ""rear"": ""e5e52ea087c9affc0630050bb3a4111bf66456b85e582d4b4a897247ed16d42f"", ""right"": ""65ec4a5245580c44e3ecd7e2419095ec3467713ac76a4a77d44dcc51b3042171"", ""top"": ""5664ece7bc809df64953602b9fe0166d44541f40ef215859489bae0cb76af726""}"
3,case_03_arm-43fa322555,arm-43fa322555,Franka Emika,FR3,17,16,7,D:\CADtest\papertest\go_nogo2\data\pilot10\case_03_arm-43fa322555\urdf\model.urdf,8048a84b0a9cff06c8b458ced8e2f7bea46bf4bdfab8495dc3cbcb93087c938d,16,a7bc1663c74736e5347967e0288cc0688c69a0ea7054c11f532c2866bc8d2a9a,"{""front"": ""a69e904cd75db372c87fb910ab3f332fde9e9e52cd21ccf9116b61f791e60886"", ""iso"": ""4ae399aed29cfb820c081257ae8e8d21fbcd55b51b5431f5078846eb7b4883e4"", ""left"": ""e1cdf2ff328c435a804ec65a07b1c3a2a40a33b6f2ee90ac13ab38358f8dea63"", ""rear"": ""8aab1b37d5dc0e6b2da858acf7df892f08f69c901d9917eb6a9319d3b2de8c97"", ""right"": ""72408d0a830a825c52bd1b4e68a1832499e3ddfbd7d81b783273c8cc831a6300"", ""top"": ""9c114a794b175844b2612fc9b47e8a0f58cb0404b97c31733fd3d21b7ce17616""}"
4,case_04_arm-dcc2b0ce1e,arm-dcc2b0ce1e,KUKA,KR 10 R1100 sixx,10,9,6,D:\CADtest\papertest\go_nogo2\data\pilot10\case_04_arm-dcc2b0ce1e\urdf\model.urdf,98c92c2ee64fb0b821cfd6c140455cb27d29a4df8f55dc505c0b24661947dc00,14,2775564381653fe14386982c42b2621dbefce48388a0ee010d7d6c8646bc272b,"{""front"": ""e14c82823a6fb7bb39c1a776cc37539b67c5e0f59f6e99efc7bb668853d4a3be"", ""iso"": ""1a71c209745b6379a37a68288ad8b0f2e7d806e7244d8181fec5ae7f144dd39a"", ""left"": ""1620c15b8ffee2b05e74ead0ec7d77c96710afb9782ad41bdee1450ae04497cb"", ""rear"": ""0476c3da88ad3a7a14f3be94ef104586b05407bcbb16356328ac3db796848f5b"", ""right"": ""899eaa82eb891709e3ea17567da1df87db5ea5847543e577029f8c9d20f69247"", ""top"": ""f7b30914bcb578f4103fb61b0f7f3b1c66e5fa76c5ffd5d6a89fd4d4d850255e""}"
5,case_05_arm-ab15a75247,arm-ab15a75247,Lynxmotion,AL5D,5,4,4,D:\CADtest\papertest\go_nogo2\data\pilot10\case_05_arm-ab15a75247\urdf\model.urdf,3daf9ca6c25af0754cfd4398b3b22034dff3795fd0e5b9b454fb9862aefc61b7,5,4407b15a25eb5f79b1d2cf5eed66cd6821f4b68bcdbaf415ec6cbeca3909797e,"{""front"": ""25d5ac840de06c56129fd0062bfddf15b1db5ffd70785e4ccdf475aee6ae4329"", ""iso"": ""e9f948bf0876c90f7115f9f2a76898d9ef692f302e60dbc9fd735d44792c53c4"", ""left"": ""f50314df28ad7517d6b56cef535fe8c391734087082981d4090147bcc10fe8ce"", ""rear"": ""e3aa96f6150ac4a6bf9e3acc893a4700664ad0dc74dd8547aafedbab2ae40e54"", ""right"": ""57777e818cf749b801f530e7711d6aadaa21d16171134589a6dd9b0db795c93a"", ""top"": ""03f631835fefeb6ab75177a9dbf93575589cec1b87b49aefcf81d48fc8fdecfb""}"
6,case_06_arm-42e898b1a2,arm-42e898b1a2,Mecademic Robotics,Meca500-R3,7,6,6,D:\CADtest\papertest\go_nogo2\data\pilot10\case_06_arm-42e898b1a2\urdf\model.urdf,4280560e913551242ca546cccffa76678c459d11699ae32676a6c308c40dff9e,14,983a29b1b5463ab10ce6e309f536c755875c4ed764d4504b405adfc2428f4f59,"{""front"": ""372fcc856fe44ccc2fd9b925fd6ff4a24dbad4c184cae1f0c76c1428777c7ce7"", ""iso"": ""c683e34276fd3bf314d41c1832b7d4d7e45ecfbed5cfda2b2f7387ac162b6e40"", ""left"": ""c0da0da476896909b3d7931b71f543bb7f114c455ad0a7d41e83ada8a5a36ccf"", ""rear"": ""9b79ede5b4760c0806657ee36b4bde246447b25dad3737391e28b4acd5db94ee"", ""right"": ""a92ffe9edd990e030484b1519d52e8ffd16eeef71e2422a2dbbf704dc3f10475"", ""top"": ""d13549844d9a14fb9c43206dd35a18d3f3e93d73b0e23575c9a14b6cc9f87538""}"
7,case_07_arm-10f5f05385,arm-10f5f05385,Quanser,QArm,6,5,4,D:\CADtest\papertest\go_nogo2\data\pilot10\case_07_arm-10f5f05385\urdf\model.urdf,e85b4559da07616c31c97e07a456e97775887be1bd7f00c980e0853a53b54120,5,505021afa3f05e320b19b8b26b5faaaf53271514721c91b42dcccfbdf58fed21,"{""front"": ""88cac06b8a87c313bbd38587f26eabdf1e1cf70fec7311838dc11e93ef6e55d0"", ""iso"": ""64849af84d32bd5dde1d590ebdad3917a590c8e32c8f91848f868e32fca3d549"", ""left"": ""31c5f9141ed65393ac5faf2f85be0a2af9a81d3926794b4ba3a6842cc92bd3ad"", ""rear"": ""540c12b0485c806be399386b575d4fbe136663a343700bfb5f865c942aafd23f"", ""right"": ""ede0022ecb0429c329b3999676880f6160cd32239477dd5b78c6df5c0d94d68c"", ""top"": ""c595db835b0774a2d03450d4e33d590f379eeb38b27fe5bd3ce7227e0711307e""}"
8,case_08_arm-d55f01b988,arm-d55f01b988,ROBOTIS,Open Manipulator,9,8,6,D:\CADtest\papertest\go_nogo2\data\pilot10\case_08_arm-d55f01b988\urdf\model.urdf,17aa51d1702eb32472fdd967e49246e902eb8a85636ee5475235b313f4428c7e,7,096a0ce983ae14978dbc17d8fad8913e1a2105adfd3b42db23ce578ba775d250,"{""front"": ""0b79c13363f511e5767a2143186f6aa9b7df224f1bfda71703b0cc929cc60e72"", ""iso"": ""0806f1b7861f8be30992180d7e999b0852231120cf6cbfc0bcafbe96a31d162a"", ""left"": ""a08607ac13b020abf06969b5cc4aafae6944b92b2c1a8b2e928a157f3bb2cc0a"", ""rear"": ""a08b4963eb9adbe08319df3c6f78728e5cb6d03245e691ef7c747c854d5f091e"", ""right"": ""f0498882e9b0f728028484760e23b53bdf17a7539e15d03df26b5c8d56bfd6e7"", ""top"": ""7003cdd7287dff9a3f8283e39b91adbf1a24ac381ef5a689b2c7e3158295193c""}"
9,case_09_arm-551a9c392e,arm-551a9c392e,Rethink Robotics,Sawyer,21,20,8,D:\CADtest\papertest\go_nogo2\data\pilot10\case_09_arm-551a9c392e\urdf\model.urdf,c41c7b2e142bf0a64665f5b2587e2ab3bc69cd24a113c9e01ce5c711b8931ce7,10,89fdb77f263fe2a37bc9902cacf7d3d522f277d0ac51ea53194257fe1e9975c7,"{""front"": ""d2825c13d534f818fd625fb627271c3892cdd64d29f160bc04f32afd08d28dea"", ""iso"": ""cd0de0e4c21742840ef4c477f17c40ae14e40a332cfd2ff25d729d508e4aa387"", ""left"": ""94c8350a047c217fc213ae9ee4ec00a2a28b415b7968461ac59a8d4e5af2ada5"", ""rear"": ""05fe71817ab0bae188c726c5aba78912d0c0bf26f37a36f7853a1f30c887767c"", ""right"": ""3491e34e905a9401faeea5355a8f66c14594578214c0d1d9948a29d2220c0a60"", ""top"": ""26167ef51ab1848dc9e89b49d557c59784ff8ed71f15ef4c020996d6eea6215b""}"
10,case_10_arm-21b8992ec4,arm-21b8992ec4,Schunk,LWA 4D,11,10,7,D:\CADtest\papertest\go_nogo2\data\pilot10\case_10_arm-21b8992ec4\urdf\model.urdf,f4fbd3ae2deb67aeaa7fcec7373d50817b67c65b1705c4ac4a2a2386275442f4,13,6eb4e0a9b0dd6b9fb986a95a1616820095df115e7f95c5c9fb57458f8963d298,"{""front"": ""a6751112048b7a16097d936b47be3a985da8f6fb9b023ec9db5172573402f21a"", ""iso"": ""018bed581f299175392157fbf5ac2802aac72ee2765a4fbf0655f6bac04218be"", ""left"": ""f15247566de719c481a3bf369bd142bd3ba4837f50121016b029e438e5967def"", ""rear"": ""c96d831e5fe2da81929dec4947e9cfde98352b783046a65bead68e1606b1e060"", ""right"": ""758ca22ba534492dba35a06e5c1f7e102b1d88513e6d67df052cc3e0e7e789b7"", ""top"": ""68ad06f502df1267dc912f4b82fe417c34dc6b83b9122f24b47952964aba3369""}"
