method,case_id,pilot_index,manufacturer,name,run_status,reason,model,attempts,simultaneous_success,gt_link_count,pred_link_count,matched_parts,part_precision,part_recall,part_f1,assembly_graph_precision,assembly_graph_recall,assembly_graph_f1
direct_frontier_mllm,case_01_arm-fdadfa8bdd,1,ABB,CRB 15000,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
direct_frontier_mllm,case_02_arm-4c7b408826,2,Fanuc,LR Mate 200iB/3L,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
direct_frontier_mllm,case_03_arm-43fa322555,3,Franka Emika,FR3,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
direct_frontier_mllm,case_04_arm-dcc2b0ce1e,4,KUKA,KR 10 R1100 sixx,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
direct_frontier_mllm,case_05_arm-ab15a75247,5,Lynxmotion,AL5D,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
direct_frontier_mllm,case_06_arm-42e898b1a2,6,Mecademic Robotics,Meca500-R3,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
direct_frontier_mllm,case_07_arm-10f5f05385,7,Quanser,QArm,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
direct_frontier_mllm,case_08_arm-d55f01b988,8,ROBOTIS,Open Manipulator,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
direct_frontier_mllm,case_09_arm-551a9c392e,9,Rethink Robotics,Sawyer,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
direct_frontier_mllm,case_10_arm-21b8992ec4,10,Schunk,LWA 4D,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_01_arm-fdadfa8bdd,1,ABB,CRB 15000,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_02_arm-4c7b408826,2,Fanuc,LR Mate 200iB/3L,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_03_arm-43fa322555,3,Franka Emika,FR3,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_04_arm-dcc2b0ce1e,4,KUKA,KR 10 R1100 sixx,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_05_arm-ab15a75247,5,Lynxmotion,AL5D,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_06_arm-42e898b1a2,6,Mecademic Robotics,Meca500-R3,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_07_arm-10f5f05385,7,Quanser,QArm,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_08_arm-d55f01b988,8,ROBOTIS,Open Manipulator,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_09_arm-551a9c392e,9,Rethink Robotics,Sawyer,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
cadir_simplecad,case_10_arm-21b8992ec4,10,Schunk,LWA 4D,NOT_RUN,missing_openai_api_key,,0,,,,,,,,,,
articad,case_01_arm-fdadfa8bdd,1,ABB,CRB 15000,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
articad,case_02_arm-4c7b408826,2,Fanuc,LR Mate 200iB/3L,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
articad,case_03_arm-43fa322555,3,Franka Emika,FR3,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
articad,case_04_arm-dcc2b0ce1e,4,KUKA,KR 10 R1100 sixx,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
articad,case_05_arm-ab15a75247,5,Lynxmotion,AL5D,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
articad,case_06_arm-42e898b1a2,6,Mecademic Robotics,Meca500-R3,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
articad,case_07_arm-10f5f05385,7,Quanser,QArm,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
articad,case_08_arm-d55f01b988,8,ROBOTIS,Open Manipulator,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
articad,case_09_arm-551a9c392e,9,Rethink Robotics,Sawyer,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
articad,case_10_arm-21b8992ec4,10,Schunk,LWA 4D,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
assemcad,case_01_arm-fdadfa8bdd,1,ABB,CRB 15000,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
assemcad,case_02_arm-4c7b408826,2,Fanuc,LR Mate 200iB/3L,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
assemcad,case_03_arm-43fa322555,3,Franka Emika,FR3,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
assemcad,case_04_arm-dcc2b0ce1e,4,KUKA,KR 10 R1100 sixx,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
assemcad,case_05_arm-ab15a75247,5,Lynxmotion,AL5D,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
assemcad,case_06_arm-42e898b1a2,6,Mecademic Robotics,Meca500-R3,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
assemcad,case_07_arm-10f5f05385,7,Quanser,QArm,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,,,
