method,category,failure_pattern,case_count
articad,availability_blocker,blocked_no_runnable_official_implementation_verified,10
assemcad,availability_blocker,blocked_no_runnable_official_implementation_verified,10
cadir_simplecad,model_failure,invalid_cad,1
cadir_simplecad,model_failure,poor_curved_geometry,9
cadir_simplecad,model_failure,poor_geometry,6
cadir_simplecad,model_failure,wrong_joint_axis,5
cadir_simplecad,model_failure,wrong_joint_origin,9
cadir_simplecad,model_failure,wrong_joint_type,7
cadir_simplecad,model_failure,wrong_motion,9
cadir_simplecad,model_failure,wrong_topology,7
direct_frontier_mllm,model_failure,invalid_cad,4
direct_frontier_mllm,model_failure,poor_curved_geometry,6
direct_frontier_mllm,model_failure,poor_geometry,6
direct_frontier_mllm,model_failure,wrong_joint_axis,3
direct_frontier_mllm,model_failure,wrong_joint_origin,6
direct_frontier_mllm,model_failure,wrong_joint_type,4
direct_frontier_mllm,model_failure,wrong_motion,6
direct_frontier_mllm,model_failure,wrong_topology,4
