method,case_id,pilot_index,manufacturer,name,run_status,reason,model,attempts,latency_seconds,simultaneous_success,matched_joints,joint_type_accuracy,axis_error_degrees_median,axis_error_degrees_mean,joint_origin_error_normalized_median,joint_origin_error_normalized_mean
direct_frontier_mllm,case_01_arm-fdadfa8bdd,1,ABB,CRB 15000,SUCCESS,,qwen3.7-plus,1,172.34076169999025,False,6.0,0.6666666666666666,90.0,60.0,0.16196985291587046,0.22639547350374167
direct_frontier_mllm,case_02_arm-4c7b408826,2,Fanuc,LR Mate 200iB/3L,SUCCESS,,qwen3.7-plus,1,94.75514919999114,False,6.0,0.6666666666666666,0.0,30.0,0.1341067361530047,0.16793039195853152
direct_frontier_mllm,case_03_arm-43fa322555,3,Franka Emika,FR3,FAILURE,"BlueprintError: expected 7 actuated DOF, got 9",qwen3.7-plus,1,97.2784427000006,False,,,,,,
direct_frontier_mllm,case_04_arm-dcc2b0ce1e,4,KUKA,KR 10 R1100 sixx,SUCCESS,,qwen3.7-plus,1,89.34499309999228,False,6.0,0.6666666666666666,0.0,30.0,0.21865771370822062,0.24476608125582208
direct_frontier_mllm,case_05_arm-ab15a75247,5,Lynxmotion,AL5D,SUCCESS,,qwen3.7-plus,1,65.4343799999915,False,4.0,1.0,90.0,67.5,0.3514136141194589,0.3468620326719394
direct_frontier_mllm,case_06_arm-42e898b1a2,6,Mecademic Robotics,Meca500-R3,SUCCESS,,qwen3.7-plus,1,127.70800909999525,False,6.0,1.0,0.0,30.0,0.2526390567958742,0.2706195919211389
direct_frontier_mllm,case_07_arm-10f5f05385,7,Quanser,QArm,SUCCESS,,qwen3.7-plus,1,87.6262621999922,False,3.0,0.4,90.0,90.0,0.31024006180568364,0.31084703426659543
direct_frontier_mllm,case_08_arm-d55f01b988,8,ROBOTIS,Open Manipulator,FAILURE,"BlueprintError: expected 6 actuated DOF, got 8",qwen3.7-plus,1,231.19122959999368,False,,,,,,
direct_frontier_mllm,case_09_arm-551a9c392e,9,Rethink Robotics,Sawyer,FAILURE,"BlueprintError: expected 21 links, got 22",qwen3.7-plus,1,100.63297399999283,False,,,,,,
direct_frontier_mllm,case_10_arm-21b8992ec4,10,Schunk,LWA 4D,FAILURE,BlueprintError: joints/7/axis must be non-zero,qwen3.7-plus,1,53.91412620000483,False,,,,,,
cadir_simplecad,case_01_arm-fdadfa8bdd,1,ABB,CRB 15000,SUCCESS,,qwen3.7-plus,3,218.36291859998892,False,6.0,0.6666666666666666,90.0,60.0,0.12102605564849164,0.21507356234710087
cadir_simplecad,case_02_arm-4c7b408826,2,Fanuc,LR Mate 200iB/3L,SUCCESS,,qwen3.7-plus,1,130.56621409999207,False,6.0,0.6666666666666666,0.0,30.0,0.16501792185884212,0.18553600948975701
cadir_simplecad,case_03_arm-43fa322555,3,Franka Emika,FR3,SUCCESS,,qwen3.7-plus,2,248.14282590000948,False,7.0,0.4375,0.0,38.57142857142857,0.2547831963118866,0.2127276753375034
cadir_simplecad,case_04_arm-dcc2b0ce1e,4,KUKA,KR 10 R1100 sixx,SUCCESS,,qwen3.7-plus,1,81.97161749999213,False,6.0,0.6666666666666666,0.0,30.0,0.1851961535222213,0.2458147937507997
cadir_simplecad,case_05_arm-ab15a75247,5,Lynxmotion,AL5D,SUCCESS,,qwen3.7-plus,1,40.40317299999879,False,4.0,1.0,90.0,67.5,0.3514136141194589,0.3468620326719394
cadir_simplecad,case_06_arm-42e898b1a2,6,Mecademic Robotics,Meca500-R3,SUCCESS,,qwen3.7-plus,1,57.85205670000869,False,6.0,1.0,45.0,45.0,0.2383162167791044,0.25154893058991395
cadir_simplecad,case_07_arm-10f5f05385,7,Quanser,QArm,SUCCESS,,qwen3.7-plus,1,195.58022230000643,False,3.0,0.4,90.0,90.0,0.3389000191035387,0.3029677703684733
cadir_simplecad,case_08_arm-d55f01b988,8,ROBOTIS,Open Manipulator,FAILURE,"BlueprintError: expected 6 actuated DOF, got 7",qwen3.7-plus,3,366.2235789999977,False,,,,,,
cadir_simplecad,case_09_arm-551a9c392e,9,Rethink Robotics,Sawyer,SUCCESS,,qwen3.7-plus,1,97.03105419999338,False,3.0,0.15,0.0,30.0,0.08738862116048703,0.0934772665656526
cadir_simplecad,case_10_arm-21b8992ec4,10,Schunk,LWA 4D,SUCCESS,,qwen3.7-plus,2,261.99496630000067,False,6.0,0.4,45.0,45.0,0.1004692637793039,0.1253681682811314
articad,case_01_arm-fdadfa8bdd,1,ABB,CRB 15000,NOT_RUN,blocked_no_runnable_official_implementation_verified,,0,,,,,,,,
