variant,failure_pattern,case_count
motion_aware,invalid_cad,4
motion_aware,missing_parts,11
motion_aware,poor_curved_geometry,11
motion_aware,poor_geometry,11
motion_aware,wrong_joint_axis,5
motion_aware,wrong_joint_origin,10
motion_aware,wrong_joint_type,11
motion_aware,wrong_motion,10
motion_aware,wrong_topology,11
multipose_concat,missing_parts,15
multipose_concat,poor_curved_geometry,15
multipose_concat,poor_geometry,13
multipose_concat,wrong_joint_axis,8
multipose_concat,wrong_joint_origin,15
multipose_concat,wrong_joint_type,15
multipose_concat,wrong_motion,15
multipose_concat,wrong_topology,15
multiview_static,invalid_cad,1
multiview_static,missing_parts,13
multiview_static,poor_curved_geometry,14
multiview_static,poor_geometry,12
multiview_static,transport_api_timeout,1
multiview_static,wrong_joint_axis,7
multiview_static,wrong_joint_origin,14
multiview_static,wrong_joint_type,14
multiview_static,wrong_motion,14
multiview_static,wrong_topology,14
single_view,missing_parts,14
single_view,poor_curved_geometry,15
single_view,poor_geometry,15
single_view,wrong_joint_axis,8
single_view,wrong_joint_origin,13
single_view,wrong_joint_type,15
single_view,wrong_motion,15
single_view,wrong_topology,15
