case_id,source_case,poses,images
dev_arm-0573e1e127,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-0573e1e127,3,12
dev_arm-07307859e2,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-07307859e2,3,12
dev_arm-10f5f05385,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-10f5f05385,3,12
dev_arm-21b8992ec4,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-21b8992ec4,3,12
dev_arm-3ce41d3c31,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-3ce41d3c31,3,12
dev_arm-42e898b1a2,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-42e898b1a2,3,12
dev_arm-43fa322555,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-43fa322555,3,12
dev_arm-4c7b408826,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-4c7b408826,3,12
dev_arm-551a9c392e,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-551a9c392e,3,12
dev_arm-ab15a75247,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-ab15a75247,3,12
dev_arm-cb42051aad,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-cb42051aad,3,12
dev_arm-d55f01b988,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-d55f01b988,3,12
dev_arm-dcc2b0ce1e,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-dcc2b0ce1e,3,12
dev_arm-f7b0b901d3,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-f7b0b901d3,3,12
dev_arm-fdadfa8bdd,D:\CADtest\papertest\go_nogo3\data\dev15\dev_arm-fdadfa8bdd,3,12
