case_id,overall_height_home_mm,max_reach_mm
dev_arm-0573e1e127,1045.0,1044.9
dev_arm-07307859e2,1114.7,1224.9
dev_arm-10f5f05385,553.0,731.0
dev_arm-21b8992ec4,1113.4,1139.4
dev_arm-3ce41d3c31,490.5,1362.1
dev_arm-42e898b1a2,331.0,462.8
dev_arm-43fa322555,1114.7,1124.4
dev_arm-4c7b408826,741.9,1155.5
dev_arm-551a9c392e,1522.4,1294.8
dev_arm-ab15a75247,247.2,392.6
dev_arm-cb42051aad,764.5,1034.1
dev_arm-d55f01b988,244.3,397.5
dev_arm-dcc2b0ce1e,522.2,1552.7
dev_arm-f7b0b901d3,699.6,936.9
dev_arm-fdadfa8bdd,951.7,1310.7
