case_id,source_urdf,source_urdf_sha256,pose,link_count,visual_link_count,vertices,faces,assembled_stl,assembled_stl_sha256
dev_arm-0573e1e127,go_nogo3/data/dev15/dev_arm-0573e1e127/urdf/model.urdf,9adf012ea3a14c6b2c7a884011f9f90a0a254d82a934f84821665a34f1d2a25f,canonical/home: all joint values = 0,10,7,18800,37580,ground_truth_assembled_home.stl,6630a11ed542b82495410ee01fe45319aadced528ea09e5a71c69173307fe8de
dev_arm-07307859e2,go_nogo3/data/dev15/dev_arm-07307859e2/urdf/model.urdf,85aae5238a470458785ce98cc0c488de52cefee76c336da514741b3459c10c79,canonical/home: all joint values = 0,12,11,69731,134912,ground_truth_assembled_home.stl,700501e76f283a2c4eff6dfbf4f1ce134439ade83ab8dde6149bd8b263fb37b7
dev_arm-10f5f05385,go_nogo3/data/dev15/dev_arm-10f5f05385/urdf/model.urdf,8c271d3cdc6a7434bea750681564f3bb50db768f89f85c26cb1ce1bfd832d62b,canonical/home: all joint values = 0,6,5,180433,362839,ground_truth_assembled_home.stl,a840dfe23be8e8e995d469d5c109491fe1cc8aab867e212a483b2c4d9e9c915c
dev_arm-21b8992ec4,go_nogo3/data/dev15/dev_arm-21b8992ec4/urdf/model.urdf,ec61af7539ab741f8301e4a63c70bbf47194595096757f14a0d5985b49977a65,canonical/home: all joint values = 0,11,8,6363,12698,ground_truth_assembled_home.stl,514269eabb7a2d6943e32d1a62ed3a64946df30bf4f6d2a61f09a3c70b4edb9e
dev_arm-3ce41d3c31,go_nogo3/data/dev15/dev_arm-3ce41d3c31/urdf/model.urdf,48bf1982e374ab0fffd33a0ecd8d6c1628b049ebc4cc36e4da1433f4148e104b,canonical/home: all joint values = 0,10,7,10176,20336,ground_truth_assembled_home.stl,85f3894019c6f2971e63249aeb2662fad8108b3ec673f9f297e4be4c7f876bf4
dev_arm-42e898b1a2,go_nogo3/data/dev15/dev_arm-42e898b1a2/urdf/model.urdf,3222250bf200d21ed5319ce278709c028f6576d64d8bd06a2d5d54a22bf0491b,canonical/home: all joint values = 0,7,7,28436,57662,ground_truth_assembled_home.stl,047f0e92592fa45b53a3e49a4d13796ba7701facfae08ce051512b74fc5d82af
dev_arm-43fa322555,go_nogo3/data/dev15/dev_arm-43fa322555/urdf/model.urdf,90ca181adc57718bec89e7659037f57242944fc04470d13f2690397884fde3a2,canonical/home: all joint values = 0,17,8,65436,126586,ground_truth_assembled_home.stl,c18ecac4e806efdf2a8baec4a2b9862251805dee19f3d82ad34808683b1c6e97
dev_arm-4c7b408826,go_nogo3/data/dev15/dev_arm-4c7b408826/urdf/model.urdf,eb26a9e23eda93f4983b4b98caad2b61e7a65f5fd0b346faec3237910654b9a9,canonical/home: all joint values = 0,10,7,12569,25109,ground_truth_assembled_home.stl,fa79a6d16a1e5ac07adff8dc7f34fe542dcc54cc808cd5c0ea3d0e42de1720a7
dev_arm-551a9c392e,go_nogo3/data/dev15/dev_arm-551a9c392e/urdf/model.urdf,5e1a803024b3d817c53671e0fd1ffee10765c2934931ba11d5d2a09323004734,canonical/home: all joint values = 0,21,10,133100,227815,ground_truth_assembled_home.stl,d111e301e1f528e925bc2b2e526392c6e5535bd18642a0b420e685e2f4f968b8
dev_arm-ab15a75247,go_nogo3/data/dev15/dev_arm-ab15a75247/urdf/model.urdf,58c2c81d0bb2d2546cc7a1701881a15026663a1d3e3371be40b361f2b0f2dcf4,canonical/home: all joint values = 0,5,5,28995,58951,ground_truth_assembled_home.stl,cca96ae3cbef048229c7c54a50abc62cc625703234931e93131e71f16d743b56
dev_arm-cb42051aad,go_nogo3/data/dev15/dev_arm-cb42051aad/urdf/model.urdf,272fb61bd51bd1a15bef43b1daba011e1013811cc4da0aaf6028d9e0ce4c4954,canonical/home: all joint values = 0,10,7,10191,20341,ground_truth_assembled_home.stl,08b7ac1952ab23268f6078da2b05034c8f85cdc51b5e89fdad6eb0b3c23ee14d
dev_arm-d55f01b988,go_nogo3/data/dev15/dev_arm-d55f01b988/urdf/model.urdf,41db9f2b509644fc909d37f0fb4fd65eaa9b1e1371a77c23bf8ee640002fd4f3,canonical/home: all joint values = 0,9,7,40215,81643,ground_truth_assembled_home.stl,76570bb6631c7d5eb34f6f4057c1e271109b936dd168bdce5a940e0c2120455f
dev_arm-dcc2b0ce1e,go_nogo3/data/dev15/dev_arm-dcc2b0ce1e/urdf/model.urdf,bef561c70e8394329f2429a64dd00fb4635f412ad639404789dfedb874ad53c3,canonical/home: all joint values = 0,10,7,29944,59781,ground_truth_assembled_home.stl,0b2c7bd64e4ae0a75ed0f2f9f950dc33bffe545817b56dc26b91fe6522616359
dev_arm-f7b0b901d3,go_nogo3/data/dev15/dev_arm-f7b0b901d3/urdf/model.urdf,b564040d9970f275684a5f41338521752ff0d066250dd30aef7be81631148dd0,canonical/home: all joint values = 0,9,7,19856,39982,ground_truth_assembled_home.stl,f92f5d428cc3a43fdd7ae1e37f8cb6cdf368e14e785db914c3385535586a873f
dev_arm-fdadfa8bdd,go_nogo3/data/dev15/dev_arm-fdadfa8bdd/urdf/model.urdf,c514699762dd91515d450ca27082567a355a8b86b6fbd4fb7d795be4bdbfc956,canonical/home: all joint values = 0,10,7,31699,52539,ground_truth_assembled_home.stl,617a3b8dc371e2bd680f973d5b584f92b572428dde277d51f0612b884e3eb264
