actual_components,actual_joints,case_id,condition,expected_components,expected_joints,reason,valid
7,6,dev_arm-0573e1e127,B,7,6,,True
7,6,dev_arm-07307859e2,B,7,6,,True
6,5,dev_arm-10f5f05385,B,6,5,,True
7,6,dev_arm-21b8992ec4,B,7,6,,True
7,6,dev_arm-3ce41d3c31,B,7,6,,True
6,5,dev_arm-42e898b1a2,B,6,5,,True
7,6,dev_arm-43fa322555,B,7,6,,True
7,6,dev_arm-4c7b408826,B,7,6,,True
7,6,dev_arm-551a9c392e,B,7,6,,True
7,6,dev_arm-cb42051aad,B,7,6,,True
7,6,dev_arm-d55f01b988,B,7,6,,True
7,6,dev_arm-f7b0b901d3,B,7,6,,True
7,6,dev_arm-fdadfa8bdd,B,7,6,,True
10,9,dev_arm-0573e1e127,D,10,9,,True
12,11,dev_arm-07307859e2,D,12,11,,True
6,5,dev_arm-10f5f05385,D,6,5,,True
11,10,dev_arm-21b8992ec4,D,11,10,,True
10,9,dev_arm-3ce41d3c31,D,10,9,,True
7,6,dev_arm-42e898b1a2,D,7,6,,True
17,16,dev_arm-43fa322555,D,17,16,,True
10,9,dev_arm-4c7b408826,D,10,9,,True
21,20,dev_arm-551a9c392e,D,21,20,,True
5,4,dev_arm-ab15a75247,D,5,4,,True
10,9,dev_arm-cb42051aad,D,10,9,,True
9,8,dev_arm-d55f01b988,D,9,8,,True
10,9,dev_arm-dcc2b0ce1e,D,10,9,,True
9,8,dev_arm-f7b0b901d3,D,9,8,,True
10,9,dev_arm-fdadfa8bdd,D,10,9,,True
